frame,time_video_s,center_x_mm,center_y_mm,heading_rad,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active,time_log_s,log_x_mm,log_y_mm,position_error_mm,video_speed_true_mm_s,log_speed_mm_s
32,1.066488918513581,136.21939086914062,47.308441162109375,1.5991732576568474,30.553991704533974,0,False,0.0033960151940488513,128.6987701103728,55.78037857619552,11.328435909047728,238.321135295365,10.962539594679564
33,1.0998166972171306,136.24563598632812,48.32056427001953,1.5991732576568474,32.46745970996508,0,False,0.00766880733552956,128.7031815955118,55.96319873810387,10.737712971126353,253.2461857377276,68.7833453038277
34,1.13314447592068,136.24180603027344,49.47246170043945,1.5991732576568474,40.07037146524398,0,False,0.01194159947701024,128.71328650949877,56.376960678307874,10.21521964081396,312.54889742890305,122.98836690404357
35,1.1664722546242294,136.21939086914062,50.99134826660156,1.5964957742251218,50.773323254494045,0,False,0.016214391618490948,128.73039503565948,57.06128443096417,9.639978404194428,396.0319213850535,199.6442767017461
36,1.1998000333277787,136.173583984375,52.85609817504883,1.59624862554441,59.09384190872868,0,False,0.02048718375997163,128.75513922273882,58.042365258665896,9.051557266241936,460.93196688808365,265.581357225385
37,1.2331278120313283,136.07113647460938,54.927490234375,1.594505911006463,64.3953462665028,0,False,0.024759975901452336,128.78871206855612,59.35651566197323,8.523495261228916,502.2837008787218,337.77342573313103
38,1.2664555907348776,136.02386474609375,57.14579391479492,1.5904579664275627,74.43869665734752,0,False,0.02903276804293302,128.82823393351705,60.872213260398766,8.103289698029668,580.6218339273106,372.3381725458284
39,1.2997833694384269,136.00381469726562,59.88878631591797,1.5904579664275627,83.5771420482455,0,False,0.0333055601844137,128.87381083043277,62.61530001338365,7.633533394406512,651.9017079763149,446.39085217567884
40,1.3331111481419764,135.99618530273438,62.71660614013672,1.5904579664275627,88.52231390530812,0,False,0.037578352325894404,128.9252187584346,64.63980192469917,7.327840739014839,690.4740484614033,504.8591473236031
41,1.3664389268455257,135.9469757080078,65.78901672363281,1.5909707121196208,97.66894983789008,0,False,0.04185114446737509,128.98347204358214,66.92879377155981,7.056165743762752,761.8178087355426,575.8103087419456
42,1.3997667055490752,135.92221069335938,69.22636413574219,1.5913390057369905,104.98605718330342,0,False,0.046123936608855796,129.05095830770014,69.49376595114745,6.876453524769125,818.8912460297666,629.0794900235645
43,1.4330944842526245,135.9190673828125,72.786865234375,1.5913390057369905,111.6570862764443,0,False,0.050396728750336475,129.12891578493432,72.36597844871557,6.803183402533723,870.9252729562655,710.0348559695175
44,1.466422262956174,135.79843139648438,76.66790008544922,1.5909707121196208,120.90717148650009,0,False,0.05466952089181718,129.21492053230324,75.55911086899042,6.676228637885791,943.0759375947007,786.1453554816185
45,1.4997500416597234,135.67489624023438,80.84230041503906,1.5908141589778464,130.10471325857156,0,False,0.05894231303329787,129.30666294332661,79.02513423716283,6.622423139747414,1014.8167634168582,833.6932659994702
46,1.533077820363273,135.6416015625,85.33868408203125,1.5908141589778464,138.52518173246094,0,False,0.06321510517477857,129.4066337022234,82.82176836577109,6.723815058539288,1080.4964175131952,932.0238744263777
47,1.5664055990668222,135.61947631835938,90.07560729980469,1.5905980079661004,147.50512717988627,0,False,0.06748789731625925,129.51217700433673,86.9162540657939,6.876090296695927,1150.539992003113,985.6725268010888
48,1.5997333777703717,135.52496337890625,95.17002868652344,1.5895307897780098,150.26871352418095,0,False,0.07176068945773996,129.6210382255961,91.25163836459036,7.08590960504769,1172.0959654886115,1042.3929119786126
49,1.633061156473921,135.384521484375,100.08909606933594,1.5880730923303181,157.3690111834358,0,False,0.07603348159922065,129.73566122121142,95.87213616065964,7.0492817466839695,1227.4782872307992,1127.345487490867
50,1.6663889351774706,135.37301635742188,105.658447265625,1.587417649482408,157.3690111834358,0,False,0.08030627374070134,129.85852893686206,100.81601020113293,7.338853332440912,1227.4782872307992,1184.8513987986512
51,1.6997167138810199,135.2103271484375,111.3791275024414,1.5862202994527723,157.3690111834358,0,False,0.08457906588218203,129.98870799145382,106.04602962449019,7.463728263836159,1227.4782872307992,1270.203359369325
52,1.7330444925845694,135.04330444335938,117.57264709472656,1.5853903727151302,169.39885611912422,0,False,0.08885185802366274,130.1273170496716,111.58202916012439,7.74947967887356,1321.3110777291688,1349.1394012456267
53,1.7663722712881187,135.00479125976562,123.43707275390625,1.5826447864741529,178.81121425564342,0,False,0.09312465016514342,130.27629636247732,117.42526531558985,7.648561477106518,1394.7274711940186,1384.8736882528126
54,1.7997000499916682,135.00479125976562,129.75755310058594,1.583932529038806,180.92560234975315,0,False,0.09739744230662413,130.43553522712273,123.57948992253819,7.68417629442434,1411.2196983280746,1476.6504093601927
55,1.8330278286952175,135.00479125976562,132.58860778808594,1.5853903727151302,180.92560234975315,1659,True,0.1016702344481048,130.6017009351804,130.03254268011676,5.0912349427848635,1411.2196983280746,1552.744827484682
56,1.8663556073987668,134.79795837402344,138.30859375,1.5853903727151302,182.80496547575717,2131,True,0.10594302658958549,130.77448550715334,136.78454250052624,4.302448851696249,1425.878730710906,1603.1261583272446
57,1.8996833861023164,134.56405639648438,145.7552719116211,1.583932529038806,197.64351314413295,2162,True,0.1102158187310662,130.95195187001082,143.81355402906763,4.100922755380632,1541.619402524237,1685.1463132546821
58,1.9330111648058657,134.79795837402344,153.2019500732422,1.583932529038806,197.64351314413295,2336,True,0.11448861087254687,131.1355660628708,151.1265376188921,4.2095669963146465,1541.619402524237,1736.0289210612336
59,1.9663389435094152,134.79795837402344,159.84136962890625,1.5477139088573055,211.35581370755736,2278,True,0.11876140301402759,131.3196307312749,158.506118057266,3.725809972324977,1648.5753469189474,1720.8812970941808
60,1.9996667222129645,135.357177734375,163.45751953125,1.3138113103809341,213.95612494178488,2255,True,0.12303419515550827,131.50592374935806,165.8382589131395,4.527701101175788,1668.857774545922,1709.3932444886323
61,2.032994500916514,136.37498474121094,174.72433471679688,1.293488393177744,213.95612494178488,2526,True,0.12730698729698897,131.77660160848296,173.0639990504995,4.8889510081546455,1668.857774545922,1681.281547726821
62,2.0663222796200635,138.45054626464844,180.51222229003906,1.0026646994116928,213.95612494178488,2579,True,0.13157977943846969,132.27451033374481,180.2019964194468,6.183822435241597,1668.857774545922,1660.1716887997304
63,2.0996500583236126,138.45054626464844,181.2989501953125,1.0026646994116928,213.95612494178488,2306,True,0.13585257157995034,133.12323110774753,187.1850389776346,7.938912263926606,1668.857774545922,1660.3192002721764
64,2.132977837027162,147.35057067871094,192.18487548828125,0.6957478570281493,213.95612494178488,2925,True,0.14012536372143106,134.4696744093112,194.128633200543,13.026729549162093,1668.857774545922,1641.84641351842
65,2.1663056157307117,147.35057067871094,192.4423828125,0.6957478570281493,201.20614153123753,2610,True,0.14439815586291174,136.42885037069087,200.9198773499386,13.825768988339098,1569.4079039436526,1657.3534402252403
66,2.199633394434261,148.79454040527344,199.41860961914062,0.4639606730103989,188.50863824139967,2893,True,0.14867094800439246,139.08800555363393,207.45957345025556,12.60451975123967,1470.3673782829173,1658.8207187156838
67,2.2329611731378103,148.79454040527344,207.0345916748047,0.4639606730103989,188.50863824139967,2824,True,0.1529437401458731,142.49258534635766,213.593261803392,9.095646839022383,1470.3673782829173,1606.1528056621976
68,2.26628895184136,150.15704345703125,211.90966796875,0.4379582217425675,188.50863824139967,2741,True,0.15721653228735383,146.62961287582127,219.14374434059746,8.04826860007649,1470.3673782829173,1602.9312622575724
69,2.2996167305449093,156.32025146484375,214.90293884277344,0.132042663068867,188.50863824139967,2889,True,0.16148932442883454,151.43856588193267,224.01179047982365,10.334506871457103,1470.3673782829173,1607.4427257249326
70,2.332944509248459,163.23025512695312,214.90293884277344,-0.209612133154476,201.20614153123753,3401,True,0.16576211657031523,156.87327738289096,228.14924232896595,14.692709827898245,1569.4079039436526,1599.51905802158
71,2.366272287952008,166.64779663085938,216.69973754882812,-0.209612133154476,188.50863824139967,3357,True,0.17003490871179588,162.81655580560272,231.45640070813923,15.245901542987966,1470.3673782829173,1587.4133574559157
72,2.3996000666555575,170.71395874023438,216.69973754882812,-0.209612133154476,163.3463037728061,2965,True,0.1743077008532766,169.1294867754811,233.850902301428,17.224198204210065,1274.1011694278875,1570.2374048435838
73,2.432927845359107,174.94940185546875,227.4024200439453,-0.14612376919726638,157.26647451153246,2558,True,0.1785804929947573,175.692879124653,235.3169400963514,7.949363880822902,1226.6785011899533,1580.1446954353753
74,2.4662556240626565,188.06114196777344,227.4024200439453,-0.14612376919726638,139.01124291368816,1605,True,0.18285328513623803,182.34928053639908,235.82894880323528,10.17996797354308,1084.2876947267678,1546.9541134169936
75,2.4995834027662056,189.21466064453125,227.4024200439453,-0.14612376919726638,137.39563364111703,2335,True,0.18712607727771866,188.94312394352204,235.38196707349493,7.984165765863654,1071.6859424007127,1545.4227805982655
76,2.532911181469755,192.43515014648438,221.89694213867188,-0.9299831216411155,139.01124291368816,2986,True,0.19139886941919937,195.38496064414718,233.99860510338272,12.45598765588565,1084.2876947267678,1544.7519564047018
77,2.5662389601733047,194.56956481933594,219.97293090820312,-0.9812776121718747,139.01124291368816,2787,True,0.19567166156068008,201.53910931205502,231.72521988636623,13.663485889854204,1084.2876947267678,1525.9441101429672
78,2.5995667388768537,201.18023681640625,218.83428955078125,-0.985557575209504,139.01124291368816,2526,True,0.19994445370216074,207.29175218050028,228.61517830898458,11.533273817347169,1084.2876947267678,1516.8727846574184
79,2.6328945175804033,202.89212036132812,217.20021057128906,-0.985557575209504,139.01124291368816,2845,True,0.20421724584364145,212.5074961255871,224.73984711309015,12.218902171241124,1084.2876947267678,1537.2810586256458
80,2.666222296283953,207.201416015625,213.0157470703125,-0.9299831216411155,190.792280931092,2208,True,0.20849003798512217,217.13991391191286,220.15118256402346,12.234712097937912,1488.1797912625175,1519.6479923618497
81,2.6995500749875023,220.73934936523438,211.31336975097656,-0.985557575209504,190.792280931092,2453,True,0.21276283012660285,221.0956489686193,214.96369324932425,3.6676710662164833,1488.1797912625175,1534.893498319191
82,2.7328778536910514,228.59271240234375,209.01473999023438,-1.0505502377388636,190.792280931092,2999,True,0.2170356222680835,224.32894317351165,209.28464446811543,4.272303414308932,1488.1797912625175,1537.1441623711753
83,2.766205632394601,228.59271240234375,200.9906005859375,-1.0505502377388636,192.00629662442114,3095,True,0.22130841440956422,226.83030259198472,203.189303836854,2.817868755857977,1497.649113670485,1544.6936937126397
84,2.7995334110981505,225.2737579345703,196.73809814453125,-1.4349458165904057,194.5905068809405,2111,True,0.22558120655104494,228.62944075237579,196.80696979737723,3.3563895003829063,1517.8059536713358,1573.4427124726012
85,2.8328611898017,223.83892059326172,189.10794067382812,-1.5370154692904279,194.5905068809405,2717,True,0.22985399869252565,229.8003258526636,190.20489737802123,6.061490466683805,1517.8059536713358,1576.500020429287
86,2.866188968505249,223.83892059326172,184.662841796875,-1.6188197414049235,194.5905068809405,2467,True,0.23412679083400628,230.43010214991776,183.51543516203532,6.690307638552719,1517.8059536713358,1568.5251668458561
87,2.8995167472087986,223.83892059326172,177.96376037597656,-1.6188197414049235,201.49989964243846,2268,True,0.238399582975487,230.6455581322775,176.73312232404467,6.9169924535452205,1571.69921721102,1591.3903672304612
88,2.932844525912348,224.77879333496094,171.26467895507812,-1.5841799814982396,201.49989964243846,2443,True,0.2426723751169677,230.58452032776435,169.8704488788124,5.970790853859321,1571.69921721102,1626.6164548496724
89,2.9661723046158976,224.77879333496094,160.85543823242188,-1.6050455100657512,202.33168258025958,0,False,0.24694516725844842,230.37852744696636,162.98711401643166,5.9917496420737475,1578.1871241260246,1613.28125
90,2.9995000833194467,224.77879333496094,154.328125,-1.5841799814982396,211.6415340209226,0,False,0.2512179593999291,230.12443243400253,156.07070883878976,5.622495514663701,1650.803965363196,1621.7697691410406
91,3.0328278620229963,224.77879333496094,146.50584411621094,-1.5817345065217812,211.6415340209226,0,False,0.25549075154140977,229.85681803311144,149.13322327182112,5.717469375725713,1650.803965363196,1624.5749406348941
92,3.066155640726546,224.43109130859375,140.2094268798828,-1.5762358506196985,211.6415340209226,0,False,0.2597635436828905,229.58083292940452,142.20966533293569,5.524562664155608,1650.803965363196,1619.087719988709
93,3.099483419430095,224.2686309814453,133.66403198242188,-1.5745999614227564,202.33168258025958,0,False,0.26403633582437114,229.30607208498742,135.3066988051217,5.298506125508799,1578.1871241260246,1614.0449072790755
94,3.1328111981336444,224.04818725585938,126.72833251953125,-1.5726139609969125,200.28989026364417,0,False,0.2683091279658518,229.03645093686754,128.42478239091952,5.268843964039776,1562.2611440564244,1608.256609174913
95,3.166138976837194,224.04818725585938,119.55867004394531,-1.5726139609969125,193.860221438373,0,False,0.27258192010733256,228.77056380098423,121.5503520523118,5.125196333448715,1512.1097272193094,1614.8095326126202
96,3.1994667555407434,223.86312866210938,113.37918090820312,-1.5726139609969125,192.81125479759407,0,False,0.27685471224881325,228.50599213807826,114.65126147498036,4.813976550094331,1503.9277874212337,1625.0588051363766
97,3.2327945342442925,223.76760864257812,106.85380554199219,-1.5704235275984344,192.34761544768955,0,False,0.28112750439029394,228.24746280278424,107.85817154805808,4.59106135559707,1500.3114004919785,1585.5710746926802
98,3.266122312947842,223.74508666992188,100.69912719726562,-1.5704235275984344,190.65120473217348,0,False,0.2854002965317746,228.0033918847208,101.17354173804634,4.284650797776627,1487.0793969109532,1548.816541727555
99,3.2994500916513916,223.5934600830078,94.03395080566406,-1.5718367672550229,190.24074862559755,0,False,0.2896730886732553,227.77990005671225,94.62026235091992,4.227297112994392,1483.8778392796607,1509.6157059093255
100,3.332777870354941,223.44850158691406,87.78067016601562,-1.5737158440668606,182.91607446870734,0,False,0.29394588081473605,227.56910049721333,88.23880878294673,4.145989190999301,1426.7453808559171,1464.6851976994221
101,3.36610564905849,223.3653564453125,81.84371185302734,-1.5750057003290072,178.15361644359493,0,False,0.2982186729562167,227.35734604107273,81.980431236746,3.9943301218780527,1389.5982082600403,1478.4868378974766
102,3.3994334277620397,223.3062744140625,75.9065933227539,-1.5761941594576712,175.24249899220703,0,False,0.3024914650976974,227.13148546696067,75.7550455244916,3.828211897788897,1366.8914921392147,1443.212823236724
103,3.4327612064655892,223.24435424804688,70.1634521484375,-1.582241415138707,172.4050630799783,0,False,0.3067642572391781,226.902605019509,69.68837857190134,3.6889691798693667,1344.7594920238307,1394.4273134966281
104,3.4660889851691388,223.23899841308594,64.41546630859375,-1.5826740338746448,172.3985875546692,0,False,0.3110370493806588,226.6720662339381,63.72192360023774,3.5024214696241778,1344.7089829264198,1378.4362220011944
105,3.499416763872688,223.01861572265625,58.76496887207031,-1.5826740338746448,171.0392770376118,0,False,0.3153098415221395,226.44451264194504,57.86320845654242,3.5425896669816925,1334.106360893372,1366.3212998821778
106,3.5327445425762374,222.75692749023438,52.9338264465332,-1.583547342305568,166.44556870996553,0,False,0.31958263366362016,226.22694395689155,52.17603696822905,3.551796611899448,1298.2754359377311,1313.3315671346445
107,3.566072321279787,222.7198944091797,47.674468994140625,-1.5826740338746448,152.4168058451257,0,False,0.3238554258051009,226.01834208158152,46.63586557346461,3.4580997835535334,1188.8510855919806,1271.9431451929477
108,3.5994000999833364,222.67630004882812,42.77471923828125,-1.5826740338746448,148.69998160685003,0,False,0.3281282179465816,225.81263744581958,41.22655043262156,3.497633331066146,1159.8598565334303,1241.01079223842
109,3.6327278786868855,222.57794189453125,37.7638053894043,-1.5824849765923568,140.88103877578087,0,False,0.3324010100880622,225.60717367440844,35.96585427096243,3.5226230852199194,1098.8721024510908,1225.5711412881512
110,3.666055657390435,222.50051879882812,33.385860443115234,-1.5824849765923568,118.9107781919009,0,False,0.33667380222954296,225.4031843029528,30.859750145365837,3.8479475393033824,927.504069896827,1151.6070981025064
