frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,45.24677276611328,69.51107788085938,47.29951095581055,14.964113235473633,46.27313995361328,42.23759460449219,1.6097606342744666,54.58839797973633,0.7602371089513774,0,False
1,0.03343587000133744,True,45.20991134643555,69.5130386352539,47.29951095581055,14.997166633605957,46.25471115112305,42.25510215759277,1.60931549940659,54.55634689331055,0.6419265035418509,0,False
2,0.06687174000267487,True,45.17304992675781,69.51499938964844,47.29951095581055,15.030220031738281,46.27313995361328,42.27260971069336,1.6097606342744666,54.524898529052734,0.5236158981323242,0,False
3,0.1003076100040123,True,45.171546936035156,69.51499938964844,47.29951095581055,15.030220031738281,46.27313995361328,42.27260971069336,1.6097606342744666,54.524898529052734,0.5728621867114554,0,False
4,0.13374348000534975,True,45.080081939697266,69.54190826416016,47.57679748535156,15.0700101852417,46.32843780517578,42.30805587768555,1.61660271954761,54.560855865478516,0.6221084752905867,0,False
5,0.16717935000668716,True,45.077301025390625,69.60394287109375,47.60152053833008,15.0700101852417,46.32843780517578,42.322120666503906,1.6170771414400007,54.560855865478516,0.6221084752905867,0,False
6,0.2006152200080246,True,45.043846130371094,69.60394287109375,47.60152053833008,15.0700101852417,46.32843780517578,42.322120666503906,1.6175143391812994,54.563358306884766,0.8667206273047678,0,False
7,0.23405109000936203,True,45.01844787597656,69.60394287109375,47.60152053833008,15.049201011657715,46.30077362060547,42.322120666503906,1.6175143391812994,54.609066009521484,0.8667206273047678,0,False
8,0.2674869600106995,True,45.01844787597656,69.55302429199219,47.566612243652344,15.00402545928955,46.29253005981445,42.30111312866211,1.6175143391812994,54.609066009521484,0.8300045013427734,0,False
9,0.3009228300120369,True,45.01844787597656,69.54472351074219,47.52861785888672,15.001348495483398,46.28794860839844,42.26559829711914,1.6165215641948225,54.595664978027344,0.750803215517349,0,False
10,0.3343587000133743,True,45.01897048950195,69.53297424316406,47.354366302490234,15.001348495483398,46.21570587158203,42.25972366333008,1.6139383919075012,54.563358306884766,0.750803215517349,0,False
11,0.3677945700147118,True,45.04728317260742,69.3553466796875,47.354366302490234,15.001348495483398,46.21570587158203,42.2371826171875,1.6139383919075012,54.30751419067383,0.750803215517349,0,False
12,0.4012304400160492,True,45.07065200805664,69.3553466796875,47.354366302490234,15.064825057983398,46.21570587158203,42.2371826171875,1.6132382968388357,54.30751419067383,0.8300045013427734,0,False
13,0.43466631001738665,True,45.07704162597656,69.3553466796875,47.38357925415039,15.064825057983398,46.271209716796875,42.2371826171875,1.6127605903983837,54.30751419067383,0.8300045013427734,0,False
14,0.46810218001872406,True,45.104164123535156,69.44872283935547,47.376399993896484,15.070049285888672,46.26487731933594,42.24732971191406,1.6116698411106873,54.4035530090332,0.750803215517349,0,False
15,0.5015380500200615,True,45.15335464477539,69.44872283935547,47.38357925415039,15.064825057983398,46.271209716796875,42.24732971191406,1.6116698411106873,54.42881393432617,0.3370788040161133,0,False
16,0.534973920021399,True,45.16128921508789,69.44872283935547,47.38357925415039,14.998344421386719,46.27243423461914,42.24732971191406,1.6116698411106873,54.51051712036133,0.3167235367289241,0,False
17,0.5684097900227364,True,45.20195388793945,69.36367797851562,47.5727424621582,14.854460716247559,46.38734817504883,42.10906982421875,1.6132247500298813,54.51793670654297,0.3167235367289241,0,False
18,0.6018456600240738,True,45.22617721557617,69.36367797851562,47.5727424621582,14.854460716247559,46.39945983886719,42.10906982421875,1.6136887998083704,54.51793670654297,0.3167235367289241,0,False
19,0.6352815300254112,True,45.22617721557617,69.36367797851562,47.5727424621582,14.854460716247559,46.39945983886719,42.10906982421875,1.613723055059819,54.55831527709961,0.3167235367289241,0,False
20,0.6687174000267486,True,45.22617721557617,69.36367797851562,47.5727424621582,14.854460716247559,46.40389633178711,42.10906982421875,1.613723055059819,54.55831527709961,0.5941885077536576,0,False
21,0.7021532700280861,True,45.21479415893555,69.32225799560547,47.5727424621582,14.854460716247559,46.40389633178711,42.08835983276367,1.613924361429581,54.51793670654297,0.5941885077536576,0,False
22,0.7355891400294235,True,45.21479415893555,69.29689025878906,47.58742904663086,14.854460716247559,46.40808868408203,42.148582458496094,1.613924361429581,54.34657669067383,0.5941885077536576,0,False
23,0.769025010030761,True,45.19621276855469,69.28435516357422,47.58742904663086,14.854460716247559,46.40808868408203,42.148582458496094,1.613924361429581,54.32160186767578,0.9027486509820929,0,False
24,0.8024608800320984,True,45.17487335205078,69.28435516357422,47.58742904663086,15.000273704528809,46.40808868408203,42.148582458496094,1.6140194007287412,54.32160186767578,1.692820098439566,0,False
