frame,time_video_s,center_x_mm,center_y_mm,heading_rad,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active,time_log_s,log_x_mm,log_y_mm,position_error_mm,video_speed_true_mm_s,log_speed_mm_s
31,1.0376221716427902,135.40042114257812,136.6497039794922,1.5891757386147043,40.60376637294005,0,False,0.004020195451444601,127.42271779541898,149.31241613588352,14.966229647138762,312.6490010716384,33.970776679526594
32,1.0710938545990092,135.4273681640625,137.91067504882812,1.5891757386147043,46.23807154115067,0,False,0.008367167263940567,127.43014856479272,149.60981364706876,14.171286648000198,356.0331508668601,95.33760951431394
33,1.1045655375552281,135.4273681640625,139.7449188232422,1.5890816510210526,56.106440461369516,0,False,0.012714139076436533,127.44459907981484,150.16961161180876,13.130073190520006,432.0195915525453,175.04268838107063
34,1.1380372205114473,135.5307159423828,141.6652069091797,1.5870534989660463,65.58406359385503,0,False,0.01706111088893253,127.46904739097106,151.0861953146264,12.399416210789225,504.9972896726838,255.35481510467807
35,1.1715089034676662,135.53497314453125,144.13401794433594,1.5877285927514027,80.30774780946281,0,False,0.021408082701428494,127.50453728513669,152.41465678006395,11.535028375327778,618.3696581328636,355.15806717005967
36,1.2049805864238854,135.54965209960938,147.04124450683594,1.5870534989660463,88.99871312530888,0,False,0.02575505451392449,127.54864010602073,154.11782477372557,10.681487780046428,685.2900910648784,430.78746371885956
37,1.2384522693801043,135.659423828125,150.09059143066406,1.5848742575078274,98.89495772546947,0,False,0.030102026326420454,127.60082313954885,156.16386003302605,10.090868970230263,761.4911744861149,519.6005092038241
38,1.2719239523363235,135.66336059570312,153.66062927246094,1.5848742575078274,107.28082067154926,0,False,0.03444899813891645,127.66365034056241,158.56785308047506,9.384892629547986,826.0623191709293,597.5868758957474
39,1.3053956352925424,135.74246215820312,157.2718505859375,1.5877285927514027,114.02745342213345,0,False,0.038795969951412414,127.73763981946071,161.31265358492539,8.966898546959204,878.0113913504275,662.6382463823047
40,1.3388673182487616,135.83074951171875,161.29217529296875,1.5848742575078274,126.17198042981798,0,False,0.04314294176390841,127.82491909969953,164.43904358180458,8.602098616808135,971.5242493095984,781.9473793673664
41,1.3723390012049805,135.8601837158203,165.7174072265625,1.5848742575078274,139.93477855050307,0,False,0.04748991357640438,127.92489763505472,167.97375673442744,8.249841106665905,1077.4977948388737,849.690990244797
42,1.4058106841611995,135.86422729492188,170.65982055664062,1.5865331661733921,149.3002305904925,0,False,0.05183688538890034,128.0350622173852,171.8919784914856,7.92553083318218,1149.6117755467924,963.0675340174972
43,1.4392823671174186,135.88510131835938,175.7120361328125,1.5863146410235853,162.5939825017199,0,False,0.05618385720139634,128.1587282736403,176.2846066510475,7.747559449563038,1251.9736652632432,1058.672572258807
44,1.4727540500736376,136.0276336669922,181.54318237304688,1.585983090439381,169.36383441714577,0,False,0.060530829013892305,128.29434625373725,181.0421035414273,7.749504126813828,1304.1015250120224,1139.5383843995642
45,1.5062257330298567,136.1578826904297,187.04653930664062,1.5863146410235853,171.08901384338412,0,False,0.0648778008263883,128.44082359131954,186.19569511952844,7.7638223169970395,1317.3854065940577,1234.0388760647181
46,1.5396974159860757,136.188232421875,192.99533081054688,1.5865331661733921,178.6988988941422,0,False,0.06922477263888427,128.59751809193207,191.74386284592464,7.69318634281509,1375.981521484895,1308.4101957191435
47,1.5731690989422948,136.2237548828125,199.00906372070312,1.6016446859442397,189.93872413221638,0,False,0.07357174445138026,128.7630272071111,197.68958863978204,7.57650789877161,1462.528175818066,1426.2037869804135
48,1.6066407818985138,136.2237548828125,205.71041870117188,1.6016446859442397,201.83440771484376,0,False,0.07791871626387623,128.9364864843373,204.06103702572358,7.471595587471247,1554.124939404297,1508.9718385144163
49,1.6401124648547327,136.2237548828125,212.52053833007812,1.6016446859442397,210.87525292968752,0,False,0.08226568807637219,129.11933415984913,210.8892815126879,7.289293011887605,1623.7394475585938,1625.5189220241643
50,1.6735841478109519,136.2237548828125,219.82711791992188,1.6010332327710863,214.2722726201866,0,False,0.08661265988886818,129.30797466592006,218.07816422198476,7.133502298723172,1649.896499175437,1691.4680658636141
51,1.7070558307671708,136.2237548828125,227.7178955078125,1.595511702208129,215.9011201444371,2651,True,0.09095963170136416,129.50235170895849,225.6505218213789,7.032161444737518,1662.4386251121657,1798.1095343346278
