file,turn,start,end,duration_ms,ideal_peak_rad_s,ego_peak_rad_s,peak_error_rad_s,peak_delay_ms,first_over_rad_s,first_under_rad_s,first_error_mean_rad_s,first_rms_rad_s,first_pid_mean_v,second_over_rad_s,second_under_rad_s,second_error_mean_rad_s,second_rms_rad_s,second_pid_mean_v,tracking_rms_rad_s,angle_error_deg,pid_rms_v,saturation_pct,first_saturation_pct,second_saturation_pct,post_peak_pos_rad_s,post_peak_neg_rad_s,post_rms_rad_s,post_angle_deg,post_duration_ms,aggregate_used
20260721_075449_myshell_debug_log_r_v90.csv,1,144,194,51,45.0,46.1875,1.1875,10,-0.03125,-5.81640625,-1.6224016462053572,2.459186798695632,0.23993791852678573,4.703125,-1.5888671875,1.7507771809895833,2.3586698039267326,-0.1762049357096354,2.400568932758255,1.0572721930999271,0.29305298754340264,0.0,0.0,0.0,0.456787109375,-4.2109375,1.4202230689958428,-0.9144427742334755,20,True
20260721_075449_myshell_debug_log_r_v90.csv,2,215,265,51,45.0,46.25,1.25,11,0.353515625,-5.4296875,-1.6791632516043526,2.3616158743429163,0.24642217726934523,5.046875,-1.9794921875,1.751300048828125,2.410241656513584,-0.17672727902730306,2.3903390750559987,0.9898747277289359,0.29185273933056416,1.9607843137254901,4.761904761904762,0.0,0.439453125,-2.94140625,1.1708067369159072,-0.6451055751072882,19,True
20260721_075449_myshell_debug_log_r_v90.csv,3,285,335,51,45.0,46.21875,1.21875,12,-0.004909515380859375,-5.861328125,-1.6990863255092077,2.3927120513872278,0.24923170180547805,4.5859375,-2.107421875,1.83795166015625,2.531960835841625,-0.18834864298502604,2.475571870573057,1.114846207199039,0.302438208182216,3.9215686274509802,9.523809523809524,0.0,0.4052734375,-3.5234375,1.2878463469535932,-0.7705247871378639,19,True
20260721_075449_myshell_debug_log_r_v90.csv,4,355,405,51,45.0,46.03125,1.03125,12,0.387939453125,-5.71484375,-1.6838437034970237,2.4191599329234177,0.24621291387648808,4.859375,-2.388671875,1.9930745442708333,2.7192761788969917,-0.20859082539876303,2.599897880784149,1.3998229002791547,0.3187971288314635,3.9215686274509802,9.523809523809524,0.0,0.7197265625,-3.76953125,1.1227219750905515,-0.6529940611080595,30,True
20260721_075544_myshell_debug_log_r_v90.csv,1,144,194,51,45.0,46.1875,1.1875,11,1.03125,-7.501953125,-1.6198003859747023,3.1959683290361767,0.24929446265811012,4.703125,-2.625,1.7235799153645834,2.3951745377989084,-0.17886123657226563,2.7532665688619464,1.0136534029469315,0.3347250571341021,0.0,0.0,0.0,0.33642578125,-3.2421875,1.1119917847052763,-0.6884743256951478,20,True
20260721_075544_myshell_debug_log_r_v90.csv,2,215,265,51,45.0,46.125,1.125,5,1.40625,-7.10546875,-1.6678379603794642,3.175426363925031,0.254376456851051,5.34375,-2.875,1.8595499674479166,2.5633628672742383,-0.19536946614583334,2.8314579495602517,1.1895693509831924,0.34487834112154164,3.9215686274509802,9.523809523809524,0.0,0.451904296875,-3.65625,1.1880972813456048,-0.6729246623891832,19,True
20260721_075544_myshell_debug_log_r_v90.csv,3,285,335,51,45.0,46.0625,1.0625,12,1.6875,-7.498046875,-1.6402638753255208,3.2869481460673997,0.2519887288411458,4.8359375,-2.68359375,1.8730305989583333,2.5705804918948094,-0.19392784436543783,2.887162635831985,1.2459183023527707,0.3518949112622278,3.9215686274509802,9.523809523809524,0.0,0.5771484375,-3.439453125,1.2605547311798047,-0.7979999607346705,19,True
20260721_075544_myshell_debug_log_r_v90.csv,4,355,405,51,45.0,46.21875,1.21875,10,1.28125,-6.982421875,-1.6831112816220237,3.2333910411561337,0.25718434651692706,5.109375,-2.203125,2.1294230143229167,2.788321820472795,-0.22837654749552408,2.979647720200656,1.6350699149181347,0.36491988251831003,3.9215686274509802,9.523809523809524,0.0,0.724609375,-3.28515625,1.0915932497908336,-0.6465800217037971,30,True
