phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
0.0,-0.12176513671875,0.0,147.52197265625,0.0,0.01482674852013588,0.0,-0.009687423706054688,0.02038732602125698,0.0002835449218749897,0.0,-0.009403878784179698,0.02038732602125698,0.0271453857421875,0.02034997943974084,0.00732421875,0.010456802610762723,0.7191904774912667,0.7045956030886278,0.01251220703125,0.01251220703125,0.01251220703125
0.5,-0.22576812744140626,2.7755575615628914e-17,184.82879638671875,0.0,0.05549735164269804,6.938893903907228e-18,-0.003792343139648437,0.019443635461844258,0.0002835449218749897,0.0,-0.0035087982177734473,0.019443635461844258,0.033051223754882814,0.019414643513515434,0.0101641845703125,0.01008365994762203,1.0027457283927041,0.8136267366182253,0.0096722412109375,0.0096722412109375,0.0096722412109375
1.0,-0.35146728515625003,5.551115123125783e-17,220.55908203125,0.0,0.13324782073497768,2.7755575615628914e-17,-0.005908203125,0.01830378015925178,0.0002835449218749897,0.0,-0.00562465820312501,0.01830378015925178,0.030955505371093754,0.018285909309472843,0.00896270751953125,0.009623601464862745,1.3293062223421135,0.7646255259669716,0.01087371826171875,0.01087371826171875,0.01087371826171875
1.5,-0.49842041015625005,5.551115123125783e-17,254.7900390625,0.0,0.254759019613266,5.551115123125783e-17,-0.013071815967559814,0.01704276394006186,0.0002835449218749897,0.0,-0.012788271045684824,0.01704276394006186,0.020212039947509766,0.016801130609955216,0.005225372314453126,0.008958525621946968,1.6345879970452764,0.6645627214594892,0.014611053466796876,0.014611053466796876,0.014611053466796876
2.0,-0.6743261718750001,1.1102230246251565e-16,287.1484375,0.0,0.46390478610992425,1.1102230246251565e-16,-0.016560926437377926,0.02126849481282646,0.0002835449218749897,0.0,-0.016277381515502936,0.02126849481282646,-0.005361099243164063,0.02814708535683207,0.0033966064453125,0.010305431410694588,1.6719506892846734,0.7452375841328106,0.0164398193359375,0.0164398193359375,0.0164398193359375
2.5,-0.87432861328125,0.0,316.68701171875,0.0,0.7862127721309662,0.0,-0.017506086826324464,0.02110755702991525,0.0002835449218749897,0.0,-0.017222541904449475,0.02110755702991525,-0.021765804290771483,0.022226369582246712,0.0028816223144531245,0.010599714142951307,1.5039439523692455,0.6801440070467833,0.016954803466796873,0.016954803466796873,0.016954803466796873
3.0,-1.0919140625,0.0,344.248046875,0.0,1.2122627639770507,0.0,-0.017539101243019103,0.0205822382879806,0.0002835449218749897,0.0,-0.017255556321144113,0.0205822382879806,-0.0306866455078125,0.020510861965361508,0.00283111572265625,0.010706161008392332,1.4184467164508705,0.6382468232294353,0.01700531005859375,0.01700531005859375,0.01700531005859375
3.5,-1.3287499999999997,2.220446049250313e-16,369.7216796875,0.0,1.7724352645874022,0.0,-0.01748964220285416,0.01931929505072871,0.0002835449218749897,0.0,-0.01720609728097917,0.01931929505072871,-0.03064361572265625,0.019266062933025813,0.002809600830078125,0.00964191807126245,1.6487663998192665,0.6522634302999393,0.017026824951171873,0.017026824951171873,0.017026824951171873
4.0,-1.5887109375,0.0,393.9453125,0.0,2.5558981704711914,0.0,-0.022354199886322024,0.016847080834789713,0.0002835449218749897,0.0,-0.022070654964447035,0.016847080834789713,-0.0355224609375,0.016874703387020167,0.0003466796875000002,0.007979008672227365,1.516210026952219,0.7462872865598548,0.018969015648022863,0.019043799654080207,0.0192667728739151
4.5,-1.8628125000000002,2.220446049250313e-16,415.68359375,0.0,3.507365112304687,4.440892098500626e-16,-0.025627732276916504,0.015007436050371624,0.0002835449218749897,0.0,-0.025344187355041514,0.015007436050371624,-0.03877178192138672,0.015072806820497671,-0.0013008117675781248,0.0068364002599077016,1.617019937866496,0.8599721281893491,0.019968364470223484,0.02013622291505491,0.020636730231941517
5.0,-2.1505859375000003,4.440892098500626e-16,434.765625,0.0,4.633950042724607,8.881784197001252e-16,-0.02656772136688233,0.012970712595974633,0.0002835449218749897,0.0,-0.02628417644500734,0.012970712595974633,-0.03965415954589844,0.012986897849994586,-0.0017623901367187507,0.005800687415073672,2.022477796861342,0.96186963454663,0.019661019784207416,0.019939282987125773,0.02076904945254726
5.5,-2.45626953125,0.0,451.2890625,0.0,6.068035964965819,0.0,-0.02550912141799927,0.018652404744002597,0.0002835449218749897,0.0,-0.02522557649612428,0.018652404744002597,-0.03863758087158204,0.01872615808854832,-0.0012245178222656246,0.00843831703940034,2.725021789123965,0.9540815576680736,0.018239754024115897,0.018644837067784793,0.019852890335650207
6.0,-2.7727343749999993,4.440892098500626e-16,466.015625,0.0,7.739941101074217,8.881784197001252e-16,-0.03135616302490234,0.017534899127518416,0.0002835449218749897,0.0,-0.031072618103027347,0.017534899127518416,-0.0444891357421875,0.017554734148490663,-0.0041259765625,0.007662174890662539,3.1869385903809806,0.8516804391324588,0.02015095721932982,0.02069816442016576,0.02233028338195788
6.5,-3.0981640625,0.0,479.462890625,0.0,9.629910888671875,0.0,-0.03940370291471482,0.014608193723688323,0.0002835449218749897,0.0,-0.03912015799283983,0.014608193723688323,-0.05252586364746094,0.014571462855992534,-0.00810394287109375,0.006076438711261095,3.5481376025504563,0.8095525039086933,0.023042714653567404,0.02376734833993905,0.02584306451281088
7.0,-3.4341406250000004,4.440892098500626e-16,491.85546875,0.0,11.819008178710934,1.7763568394002505e-15,-0.042615767121315,0.015768915534509348,0.0002835449218749897,0.0,-0.04233222219944001,0.015768915534509348,-0.05574234008789063,0.015748944470413456,-0.009609985351562498,0.006928425514842622,3.999147926455076,0.774258882457694,0.02337443457593542,0.024372022343953692,0.026846148647213616
7.5,-3.7802246093750003,4.440892098500626e-16,500.87890625,0.0,14.349768352508546,1.7763568394002505e-15,-0.04908517450094222,0.015939038626055023,0.0002835449218749897,0.0,-0.04880162957906723,0.015939038626055023,-0.06217880249023437,0.015948504996480428,-0.012695312499999997,0.00649557456340605,4.36638785408929,0.7202296561120483,0.025205511321689494,0.02656333444507087,0.029394235752368676
8.0,-4.131875,0.0,507.5,0.0,17.123979187011717,3.552713678800501e-15,-0.05877197265625,0.01785454883680165,0.0002835449218749897,0.0,-0.05848842773437501,0.01785454883680165,-0.071864013671875,0.017829791551974505,-0.0173681640625,0.00744739681821648,4.742245262875162,0.7582975581246311,0.028549413300271005,0.030349464399578346,0.03349778162739246
8.5,-4.4885058593750005,0.0,511.630859375,0.0,20.150465679168704,0.0,-0.07222449541091919,0.022725864141427868,0.0002835449218749897,0.0,-0.0719409504890442,0.022725864141427868,-0.0853753662109375,0.022647766674926205,-0.023908691406250005,0.010511197516320186,5.159930071352809,0.7852115164766652,0.03369579792752482,0.03601050407425881,0.03944099117651899
9.0,-4.849179687499999,8.881784197001252e-16,517.109375,0.0,23.570554656982416,3.552713678800501e-15,-0.0693843936920166,0.023867486773669663,0.0002835449218749897,0.0,-0.06910084877014161,0.023867486773669663,-0.08249374389648438,0.023821618985453867,-0.022152709960937503,0.010698019867210133,5.111609327765341,0.7017017946426326,0.030490517620649946,0.03338220988380354,0.03706396010522859
9.5,-5.213027343749999,0.0,519.53125,0.0,27.24015647888183,0.0,-0.07674489974975585,0.023327694370415635,0.0002835449218749897,0.0,-0.07646135482788086,0.023327694370415635,-0.08985763549804685,0.023302781883195633,-0.025508270263671865,0.010055441574266757,5.121213650647865,0.709311466166156,0.03235133065325421,0.03587257383177429,0.03977886458623538
10.0,-5.579296874999998,8.881784197001252e-16,519.140625,0.0,31.15284576416014,7.105427357601002e-15,-0.09090080261230468,0.0227028645665689,0.0002835449218749897,0.0,-0.09061725769042969,0.0227028645665689,-0.10404815673828124,0.022704912359391403,-0.032254028320312496,0.009555590750637704,5.165605167131063,0.7955256137811217,0.0375637815200535,0.04176019386800374,0.045867286604839
10.5,-5.945566406250001,8.881784197001252e-16,516.38671875,0.0,35.392129440307606,7.105427357601002e-15,-0.09605361938476563,0.018106197752532464,0.0002835449218749897,0.0,-0.09577007446289064,0.018106197752532464,-0.10920097351074219,0.01808224490350553,-0.03438400268554687,0.007138045838963833,5.097324220172746,0.9553603267337728,0.038126879529438856,0.04303903096477794,0.04732536035549834
11.0,-6.30984375,0.0,515.625,0.0,39.88056884765626,7.105427357601002e-15,-0.10328422546386719,0.017507155332567276,0.0002835449218749897,0.0,-0.1030006805419922,0.017507155332567276,-0.11643157958984375,0.017457023366980524,-0.037525634765624996,0.007200605324128179,4.755404101107237,1.0283547665778594,0.039672282883669,0.04533646941570683,0.04978230320672275
11.5,-6.673359374999999,8.881784197001252e-16,513.9453125,0.0,44.578597412109374,7.105427357601002e-15,-0.1117816925048828,0.019904330869802537,0.0002835449218749897,0.0,-0.11149814758300781,0.019904330869802537,-0.12492904663085937,0.0198671435713751,-0.04127716064453125,0.008705399483776001,4.476674575627828,1.1399302894085472,0.04181061118467484,0.048250688658063756,0.052841619922565704
12.0,-7.036875,8.881784197001252e-16,508.4375,0.0,49.537177734375,7.105427357601002e-15,-0.1213558197021484,0.024761771289849542,0.0002835449218749897,0.0,-0.12107227478027341,0.024761771289849542,-0.134503173828125,0.024781739891520743,-0.04553710937499999,0.011020816093868813,4.580412466765009,1.2147696197746187,0.04444919103562969,0.05168016156000006,0.056405583273979695
12.5,-7.3955078125,0.0,502.9296875,0.0,54.75397491455078,0.0,-0.1273059844970703,0.020944653264233015,0.0002835449218749897,0.0,-0.12702243957519532,0.020944653264233015,-0.14046287536621094,0.020935071018621243,-0.0478515625,0.009007675598308501,4.181770733742176,1.1106804682607672,0.045143146495759186,0.05317091393825932,0.058024122684267716
13.0,-7.7509375,0.0,494.84375,0.0,60.13230712890624,7.105427357601002e-15,-0.13463146209716798,0.019908478759212037,0.0002835449218749897,0.0,-0.13434791717529299,0.019908478759212037,-0.14777267456054688,0.019896405581119537,-0.050813293457031256,0.008543353950518301,3.68850636871268,1.1227924157973221,0.04648077621479109,0.055315663958734926,0.060288056957253214
13.5,-8.102890625,0.0,483.828125,0.0,65.66476074218748,1.4210854715202004e-14,-0.14357948303222656,0.02204841795797031,0.0002835449218749897,0.0,-0.14329593811035157,0.02204841795797031,-0.15668098449707032,0.022082716642963497,-0.054560699462890626,0.009652195932774386,3.184970420001569,1.1234554737841538,0.04861148000123227,0.05825275401752693,0.06334047127396215
14.0,-8.444374999999999,0.0,472.8125,0.0,71.35260986328124,0.0,-0.14357948303222656,0.022032317956058586,0.0002835449218749897,0.0,-0.14329593811035157,0.022032317956058586,-0.15675628662109373,0.022023171470198437,-0.053850708007812505,0.009525762115455543,3.144322819920984,0.8672213661713125,0.04630223165420515,0.05673905723140403,0.0619425724773295
