motion,side,turns,angle_deg,body_lateral_mm,body_forward_mm,lstart_mm,lend_mm,lstart_std_mm,lend_std_mm,feasible
long90,R,1,89.1168753726893,72.38502540340517,61.73595037077391,27.992520905084216,17.617067232848818,0.0,0.0,True
long90,L,1,87.32558139534885,71.46313347784906,62.19480466149292,26.9393134686066,18.557078753744157,0.0,0.0,True
long180,R,2,178.68157423971388,96.17702651421847,-5.738138849296379,-262.65397786489933,-268.46318922877265,12.11857580063282,11.194792041248782,False
long180,L,4,177.89788312462744,95.53955797049036,-6.153844238929699,-155.2582416702453,-161.51668015228208,38.18406405147703,38.84432239806821,False
in45,R,2,42.991055456171736,27.93896215524442,54.387712211531685,17.27993828016752,25.04609515576191,2.1023659396586676,1.9062282596633022,True
in45,L,2,43.214967203339285,26.998464749715147,55.15749432747916,15.671938532570643,26.29944725312991,1.423440355562376,0.9012706096647075,True
out45,R,2,43.43887895050687,60.928242131807266,21.23126980138923,33.40394388028356,5.453626846188097,0.1405601429186209,0.08998950990805778,True
out45,L,2,43.43887895050686,60.87599820018912,20.78487204948358,34.03476624738581,5.060585698275532,1.1789081356650877,1.0013250277338712,True
in135,R,2,134.1231365533691,83.72307733314801,28.770311073156947,22.318639846143032,8.745069959791739,0.6914365889810137,0.3306341983926146,True
in135,L,2,132.7796660703637,83.66584349176847,28.949777241293596,21.91030222762347,8.629206594714642,0.25768275220973735,0.32924153931033545,True
out135,R,2,134.5709600477042,75.86159242145214,-39.416957140764374,19.785807020088182,19.574428087313137,0.14658675989818673,0.41809165723740527,True
out135,L,2,133.4514013118664,75.84952776946511,-39.057897898137306,19.263814060686144,19.570823666143546,0.6828965638284794,0.25184388698719345,True
v90,R,8,89.11687537268931,73.47555890550737,-6.558918397219123,16.21443477369163,7.049133280983848,0.772124739837975,0.24988744849056352,True
v90,L,8,88.27720632081093,73.63600412019474,-6.960576381573917,16.29112256696549,6.653018599930663,0.5022717277603402,0.4385191977953588,True
