motion,tread_mm,lstart_mm,lend_mm,right_lstart_mm,left_lstart_mm,right_lend_mm,left_lend_mm,feasible_nonnegative
long90,35.1,27.46591718684541,18.087072993296488,27.992520905084216,26.9393134686066,17.617067232848818,18.557078753744157,True
long180,35.1,,,-262.65397786489933,-155.2582416702453,-268.46318922877265,-161.51668015228208,False
in45,35.1,16.47593840636908,25.672771204445908,17.27993828016752,15.671938532570643,25.04609515576191,26.29944725312991,True
out45,35.1,33.71935506383468,5.257106272231814,33.40394388028356,34.03476624738581,5.453626846188097,5.060585698275532,True
in135,35.1,22.114471036883252,8.68713827725319,22.318639846143032,21.91030222762347,8.745069959791739,8.629206594714642,True
out135,35.1,19.524810540387165,19.572625876728342,19.785807020088182,19.263814060686144,19.574428087313137,19.570823666143546,True
v90,35.1,16.25277867032856,6.851075940457255,16.21443477369163,16.29112256696549,7.049133280983848,6.653018599930663,True
