run,motion,target_lateral_mm,target_forward_mm,marker_detection_pct,trajectory_fit_rmse_mm,slow_motion_factor,video_lstart_mm,video_lend_mm,video_body_forward_mm,video_body_lateral_mm,video_marker_turn_angle_deg,video_turn_angle_deg,video_target_residual_mm,video_body_apex_forward_mm,log_lstart_mm,log_lend_mm,log_body_forward_mm,log_body_lateral_mm,log_turn_angle_deg,log_target_residual_mm,log_body_apex_forward_mm,accepted
20260726_052336,long_r180,-90.0,0.0,96.7948717948718,10.077362973702575,8.0,28.395403385545208,30.595094692673698,2.47991106839384,-83.45345146472684,-179.60902062532088,-182.24556357030576,7.751291576288081,66.60459661445479,16.4140625,14.495505743314375,-2.17578125,-95.87700843811035,-182.6580141056018,5.2103929200456465,78.5859375,False
20260726_052437,long_r180,-90.0,0.0,98.10126582278481,8.570268158073572,8.0,23.362810190801355,25.028245606894615,1.6942457752442657,-89.61217154931542,-181.26126191155782,-182.00051113609433,1.262294115356382,71.63718980919865,12.71484375,12.312304359279343,-0.83203125,-100.75247192382812,-182.3421451772454,10.257877302217025,82.28515625,True
20260726_052536,long_r180,-90.0,0.0,98.11320754716981,9.251318609755128,8.0,24.187858222523403,25.77787396129565,1.6166762902993517,-89.54215461801465,-179.34909872609333,-181.77942665530313,1.2589034326832407,70.8121417774766,12.546875,11.990644486519642,-0.9296875,-100.56186723709106,-182.0673905725979,10.135903005750896,82.453125,True
