motion_name,gain_name,velocity_m_s,r_min_mm,degree,duration_ms,sample_count,omega_max_rad_s,alpha_max_rad_s2,alpha_min_rad_s2,jerk_abs_max_rad_s3,predicted_om_ff_abs_max_v,jerk_clipped_pct,source_turn90,om_velo,om_accel,om_decel,om_bias,om_jerk
in_l135,ff_gain_in135_L_2000,2.0,42.0,135.0,70.2542727446248,71,47.61904761904761,3305.744191943748,-3303.5718328064945,638837.7601757033,3.7333885844573222,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
in_l45,ff_gain_in45_L_2000,2.0,53.0,45.0,29.551400440199313,30,37.735849056603776,6028.811664951063,-6103.378544659872,1704874.2982883214,7.3263684673738725,53.333333333333336,long_l90,0.0168,0.00097,0.00085,0.0175,2.9e-06
in_r135,ff_gain_in135_R_2000,2.0,-42.0,-135.0,70.2542727446248,71,47.61904761904761,3305.744191943748,-3303.5718328064945,638837.7601757033,3.7001083467384706,1.4084507042253522,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
in_r45,ff_gain_in45_R_2000,2.0,-53.0,-45.0,29.551400440199313,30,37.735849056603776,6028.811664951063,-6103.378544659872,1704874.2982883214,7.319709067327651,53.333333333333336,long_r90,0.0168,0.00094,0.00085,0.0613,3.2e-06
l_v90,ff_gain_v90_L_2000,2.0,38.0,90.0,42.375593084059396,43,52.631578947368425,6010.388331716698,-5963.609987043959,1491906.681326132,7.31804954045261,32.55813953488372,long_l90,0.0168,0.00099,0.00091,0.0175,2.9e-06
long_l180,ff_gain_long_turn_180_L_2000,2.0,50.0,180.0,111.51471864226157,112,40.0,1753.0413211729422,-1753.4587939617302,239022.57660946058,1.9372629912097463,0.0,long_l90,0.0168,0.00094,0.00086,0.0175,2.9e-06
long_l90,ff_gain_long_turn_90_L_2000,2.0,52.0,90.0,57.98765369397602,58,38.46153846153846,3220.848654108661,-3221.344085507793,701827.1577969784,3.924633313230925,1.7241379310344827,long_l90,0.0168,0.00098,0.00091,0.0175,2.9e-06
long_r180,ff_gain_long_turn_180_R_2000,2.0,-50.0,-180.0,111.51471864226157,112,40.0,1753.0413211729422,-1753.4587939617302,239022.57660946058,1.8876368924002074,0.0,long_r90,0.0168,0.00088,0.00094,0.0613,3.2e-06
long_r90,ff_gain_long_turn_90_R_2000,2.0,-52.0,-90.0,57.98765369397602,58,38.46153846153846,3220.848654108661,-3221.344085507793,701827.1577969784,4.0203638162021775,1.7241379310344827,long_r90,0.0168,0.00094,0.00092,0.0613,3.2e-06
out_l135,ff_gain_out135_L_2000,2.0,42.0,135.0,70.2542727446248,71,47.61904761904761,3305.744191943748,-3303.5718328064945,638837.7601757033,3.7333885844573222,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_l45,ff_gain_out45_L_2000,2.0,55.0,45.0,30.66654762662193,31,36.36363636363637,5613.379886804366,-5678.184615429321,1564252.4296673283,6.817255198892394,48.38709677419355,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_r135,ff_gain_out135_R_2000,2.0,-42.0,-135.0,70.2542727446248,71,47.61904761904761,3305.744191943748,-3303.5718328064945,638837.7601757033,3.7001083467384706,1.4084507042253522,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
out_r45,ff_gain_out45_R_2000,2.0,-55.0,-45.0,30.66654762662193,31,36.36363636363637,5613.379886804366,-5678.184615429321,1564252.4296673283,6.670633426191164,48.38709677419355,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
r_v90,ff_gain_v90_R_2000,2.0,-38.0,-90.0,42.375593084059396,43,52.631578947368425,6010.388331716698,-5963.609987043959,1491906.681326132,7.049939347573296,39.53488372093023,long_r90,0.0168,0.00093,0.0009,0.0613,3.2e-06
