phase_pct,alpha_mag_mean,alpha_mag_std,omega2_mean,omega2_std,feedback_mean,feedback_std,turn_ff_mean,turn_ff_std,required_v_mean,required_v_std,motor_v_mean,motor_v_std,speed_error_mean,speed_error_std,speed_delta_mean,speed_delta_std,acceleration_mean,acceleration_std
0.0,2601.806640625,0.0,8.009342193603516,0.0,0.30792999267578125,0.20380622412172708,0.0002772695312498463,0.0,0.3082072622070311,0.20380622412172708,0.2738037109375,0.41788658332688794,0.144287109375,0.0911776169355594,-0.09716796875,0.07781309809320845,12.01297075320519,4.230387787879041
0.5,2805.47119140625,0.0,14.31832386016846,1.7763568394002505e-15,0.3005740356445313,0.20370337028451893,0.0002772695312498463,0.0,0.3008513051757811,0.20370337028451893,0.25274658203125,0.41029007901267117,0.13973876953125,0.09066167401771547,-0.09261962890625,0.07721553289580947,12.733232547075378,4.384900627485264
1.0,3009.1357421875,0.0,20.627305526733405,3.552713678800501e-15,0.29321807861328125,0.2036533028638185,0.0002772695312498463,0.0,0.2934953481445311,0.2036533028638185,0.231689453125,0.4028180936272567,0.1351904296875,0.09017477800465144,-0.0880712890625,0.076650955328366,13.453494340945564,4.557931078736779
1.5,3212.80029296875,0.0,26.93628719329834,0.0,0.2858621215820313,0.20365606079114543,0.0002772695312498463,0.0,0.2861393911132811,0.20365606079114543,0.21063232421875,0.39547768505497255,0.13064208984375,0.08971740180995329,-0.08352294921875,0.07612009939539789,14.173756134815752,4.747454839450079
2.0,3416.46484375,0.0,33.245268859863295,7.105427357601002e-15,0.27850616455078125,0.20371164192098948,0.0002772695312498463,0.0,0.2787834340820311,0.20371164192098948,0.1895751953125,0.38827631579205574,0.12609375,0.08928999906885328,-0.078974609375,0.07562367524807374,14.894017928685939,4.95157840645089
2.5,3574.169921875,0.0,44.543527221679696,7.105427357601002e-15,0.2700962066650391,0.20222061903398897,0.0002772695312498463,0.0,0.27037347619628893,0.20222061903398897,0.17672119140625,0.38446651063347675,0.121124267578125,0.08813060951472247,-0.074005126953125,0.07414666113083651,15.55143058438961,5.069456291537758
3.0,3707.36328125,0.0,58.502733154296884,7.105427357601002e-15,0.26112411499023436,0.20000076834471223,0.0002772695312498463,0.0,0.2614013845214842,0.20000076834471223,0.16824218749999997,0.38246697077542635,0.11593017578125,0.0866373403423612,-0.06881103515624999,0.07219650901791164,16.175323699737802,5.1462445975423305
3.5,3840.556640625,0.0,72.46193908691407,0.0,0.2521520233154297,0.19792425048053128,0.0002772695312498463,0.0,0.25242929284667953,0.19792425048053128,0.15976318359375002,0.38053321877310387,0.11073608398437498,0.08522944546263612,-0.063616943359375,0.07032744624969964,16.799216815085998,5.234266810912731
4.0,3973.75,0.0,86.42114501953125,0.0,0.243179931640625,0.19599562120594485,0.0002772695312498463,0.0,0.24345720117187486,0.19599562120594485,0.1512841796875,0.37866626251323937,0.10554199218749999,0.08391122231410705,-0.058422851562499996,0.06854610639375572,17.423109930434194,5.332966703634896
4.5,4086.640625,0.0,103.29161865234377,1.4210854715202004e-14,0.23535793304443361,0.19438472018684758,0.0002772695312498463,0.0,0.23563520257568346,0.19438472018684758,0.147855224609375,0.3792543983423669,0.10095458984374998,0.08270631737658377,-0.053835449218750005,0.06705623343413553,17.98048610731721,5.482668091463393
