frame,time_video_s,center_x_mm,center_y_mm,heading_rad,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active,time_log_s,log_x_mm,log_y_mm,position_error_mm,video_speed_true_mm_s,log_speed_mm_s
26,0.8665222462922847,48.944759368896484,89.9043960571289,0.7918855164880588,2.2805484622978898,0,False,0.0007322652828723042,46.292688120956896,91.62228000778137,3.159842903066094,18.928552237072488,-15.465810671668704
27,0.8998500249958341,48.944759368896484,89.9043960571289,0.7913359498785998,2.402858600616455,0,False,0.00474766030739633,46.300048122228795,91.63075378215264,3.158292034153853,19.943726385116577,30.33166934991523
28,0.9331778036993834,48.944759368896484,90.06455993652344,0.7881801969238397,8.19876815506278,0,False,0.008763055331920342,46.447076971048524,91.80013858012555,3.04148821938328,68.04977568702108,76.8682846586546
29,0.9665055824029328,49.10072326660156,90.42816162109375,0.7879718079066388,14.529146161053378,0,False,0.012778450356444367,46.70596340175908,92.09838807270653,2.9196799841639156,120.59191313674305,120.07558599679837
30,0.9998333611064822,49.54036331176758,90.82820129394531,0.7872767510360928,15.27515940418017,0,False,0.016793845380968394,47.05819945955539,92.50303043298966,2.9943597035461327,126.78382305469543,157.0853126690678
31,1.0331611398100318,49.81355667114258,91.1551742553711,0.7862636922790797,17.50786719424199,0,False,0.02080924040549243,47.55111348332064,93.06696673713309,2.962026277979918,145.31529771220852,219.3716313543609
32,1.066488918513581,50.277339935302734,91.73304748535156,0.7862636922790797,26.195299861106474,0,False,0.024824635430016444,48.17193276330611,93.77585407689854,2.9335640661766025,217.42098884718374,241.23285938487803
33,1.0998166972171306,50.947349548339844,92.48304748535156,0.7843600001253676,31.91054863701654,0,False,0.028840030454540484,48.87937844441823,94.58340823424406,2.947544700618302,264.8575536872373,295.6357916812956
34,1.13314447592068,51.753990173339844,93.26396179199219,0.7843600001253676,38.97321203080936,0,False,0.0328554254790645,49.697939741581315,95.51878171437905,3.0514842716827344,323.4776598557177,320.7948344591186
35,1.1664722546242294,52.72647476196289,94.3759765625,0.7843600001253676,42.82569009198211,0,False,0.03687082050358854,50.6549346524516,96.61320641754261,3.0490122744272514,355.45322776345154,385.9922624984817
36,1.1998000333277787,53.70884704589844,95.34413146972656,0.7873657445361905,46.55427981265334,0,False,0.04088621552811255,51.74337138391493,97.8593363051793,3.192076117847805,386.4005224450228,438.5903722188577
37,1.2331278120313283,54.97058868408203,96.51914978027344,0.7873857460231343,55.06543756081242,0,False,0.044901610552636584,52.93921598267493,99.23148592029685,3.3886933157928403,457.0431317547431,465.06823055863543
38,1.2664555907348776,56.30490493774414,97.93882751464844,0.7880095694928492,59.51139411807782,0,False,0.0489170055771606,54.232392650372525,100.71790855192425,3.4667850514637264,493.9445711800459,513.2340473889038
39,1.2997833694384269,57.651611328125,99.44273376464844,0.7880095694928492,60.95555866840504,0,False,0.05293240060168461,55.63528911500181,102.32976706964371,3.521436719761681,505.9311369477619,558.0918056887394
