frame,time_video_s,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,35.78942108154297,71.1778335571289,38.68724822998047,16.652263641357422,37.23833465576172,43.918243408203125,1.6242419264211962,54.5680046081543,4.103736717180841,0,False
1,0.033414053625299645,35.87782096862793,71.1359977722168,38.783395767211914,16.644142150878906,37.33060836791992,43.891666412353516,1.6248701508348806,54.55200958251953,4.235573062338897,0,False
2,0.06682810725059929,35.96622085571289,71.09416198730469,38.87954330444336,16.63602066040039,37.422882080078125,43.865089416503906,1.6254983752485648,54.5680046081543,4.367409407496952,0,False
3,0.10024216087589893,36.067718505859375,70.9788818359375,39.05013656616211,16.541259765625,37.558929443359375,43.73974609375,1.6255684017798395,54.536014556884766,4.235573062338897,0,False
4,0.13365621450119858,36.14381408691406,70.938232421875,39.221439361572266,16.48506736755371,37.68262481689453,43.73197555541992,1.6255684017798395,54.478668212890625,4.103736717180841,0,False
5,0.16707026812649822,36.40336227416992,70.6966552734375,39.49649429321289,16.47966957092285,37.949928283691406,43.58816146850586,1.6256786908970202,54.30514907836914,4.367409407496952,0,False
6,0.20048432175179787,36.69868850708008,70.58496856689453,39.56121826171875,16.41717529296875,38.12995147705078,43.49091339111328,1.6256786908970202,54.2636604309082,4.625953358382074,0,False
7,0.2338983753770975,36.7378044128418,70.46581268310547,39.70457458496094,16.396862030029297,38.22119140625,43.423770904541016,1.624170040153107,54.15538787841797,4.625953358382074,0,False
8,0.26731242900239716,36.945072174072266,70.46351623535156,39.83409881591797,16.38172721862793,38.38958740234375,43.418479919433594,1.6235730650032072,54.15538787841797,4.625953358382074,0,False
9,0.3007264826276968,37.1060791015625,70.46351623535156,39.884220123291016,16.375646591186523,38.495147705078125,43.418479919433594,1.6221182916822177,54.15538787841797,4.100181770565398,0,False
10,0.33414053625299645,37.35860824584961,70.46581268310547,40.08475112915039,16.3602237701416,38.7216796875,43.41910934448242,1.6221041334765807,54.188697814941406,4.033488562872127,0,False
11,0.3675545898782961,37.418540954589844,70.47799682617188,40.190040588378906,16.352739334106445,38.804290771484375,43.41910934448242,1.6221041334765807,54.191741943359375,3.0090831262972837,0,False
12,0.40096864350359573,37.529930114746094,70.48683166503906,40.31526184082031,16.340389251708984,38.9225959777832,43.41072082519531,1.6221041334765807,54.22650909423828,2.8658806529930128,0,False
