phase_pct,alpha_mag_mean,alpha_mag_std,omega2_mean,omega2_std,feedback_mean,feedback_std,turn_ff_mean,turn_ff_std,required_v_mean,required_v_std,motor_v_mean,motor_v_std,speed_error_mean,speed_error_std,speed_delta_mean,speed_delta_std,acceleration_mean,acceleration_std
0.0,1248.1689453125,0.0,1.7535552978515625,0.0,0.07297770182291667,0.054606919488864154,-0.0001316054687501289,0.0,0.07284609635416654,0.054606919488864154,0.5170694986979166,0.30723314414977687,0.059733072916666664,0.024925736221532924,-0.024007161458333332,0.028268232727753403,5.103715186723026,5.163558687354434
0.5,1393.44482421875,0.0,3.650231552124024,4.440892098500626e-16,0.06831766764322918,0.05291037880835185,-0.0001316054687501289,0.0,0.06818606217447905,0.05291037880835185,0.5124247233072917,0.3051918331485365,0.05729166666666666,0.024002101558933005,-0.021565755208333332,0.027570495222444685,5.619825053418822,4.947786353841844
1.0,1538.720703125,0.0,5.546907806396484,8.881784197001252e-16,0.06365763346354168,0.05181535936488207,-0.0001316054687501289,0.0,0.06352602799479155,0.05181535936488207,0.5077799479166666,0.30324869243063535,0.05485026041666666,0.023426488479518465,-0.019124348958333332,0.027185701430109233,6.135934920114618,4.778715215754092
1.5,1683.99658203125,0.0,7.443584060668944,8.881784197001252e-16,0.05899759928385415,0.05136034946794114,-0.0001316054687501289,0.0,0.058865993815104024,0.05136034946794114,0.5031351725260417,0.3014056206926726,0.05240885416666668,0.023224787962271464,-0.016682942708333332,0.0271271717629948,6.652044786810414,4.661429635616286
2.0,1807.6171875,0.0,11.047671508789064,1.7763568394002505e-15,0.051507568359375,0.04888629360423063,-0.0001316054687501289,0.0,0.05137596289062487,0.04888629360423063,0.4955810546875001,0.29878746437579295,0.04855143229166666,0.022182728190089165,-0.012825520833333333,0.026032713304626316,6.968877476689973,4.285708663361023
2.5,1920.41015625,0.0,15.505464553833008,0.0,0.0426025390625,0.046290119711690975,-0.0001316054687501289,0.0,0.04247093359374987,0.046290119711690975,0.486572265625,0.2959278792872188,0.043986002604166664,0.02125048237920042,-0.008260091145833334,0.024855592678758368,7.186071578161414,3.8542472928900975
3.0,2033.203125,0.0,19.963257598876954,3.552713678800501e-15,0.03369750976562501,0.0452163730359969,-0.0001316054687501289,0.0,0.03356590429687488,0.0452163730359969,0.4775634765624999,0.2932898146459808,0.03942057291666667,0.021194006256911185,-0.0036946614583333354,0.024412950278484932,7.403265679632855,3.567937596277438
3.5,2135.05859375,0.0,25.62398223876954,1.0658141036401503e-14,0.02720845540364583,0.04480723734867547,-0.0001316054687501289,0.0,0.027076849934895703,0.04480723734867547,0.4710245768229167,0.2908503335374066,0.036059570312500004,0.021106410053863656,-0.0003336588541666659,0.024240773622986846,7.617358227709784,3.52633631758192
4.0,2215.0390625,0.0,33.69057006835937,0.0,0.025551350911458336,0.043387631735291386,-0.0001316054687501289,0.0,0.025419745442708207,0.043387631735291386,0.4694254557291666,0.28847703209794817,0.035107421874999996,0.019627711827517384,0.0006184895833333329,0.023498703905080416,7.825247668997691,3.7099853030418912
4.5,2295.01953125,0.0,41.75715789794922,7.105427357601002e-15,0.02389424641927083,0.04257417201387582,-0.0001316054687501289,0.0,0.023762640950520702,0.04257417201387582,0.4678263346354166,0.2861758647090603,0.0341552734375,0.01842225581436919,0.0015706380208333336,0.023046235616259604,8.033137110285596,3.937878841100596
