time_s,x_px,y_px,score,x_px_smooth,y_px_smooth
0.0,155,637,7655.0,155.0,637.0
0.03332775089605735,155,637,7653.0,155.0,637.0
0.0666555017921147,155,637,7637.0,155.0,637.0
0.09998325268817204,155,637,7638.0,155.0,637.0
0.1333110035842294,155,637,7626.0,155.0,637.0
0.16663875448028673,155,637,7638.0,155.0,637.0
0.19996650537634408,155,637,7634.0,155.0,637.0
0.2332942562724014,155,637,7639.0,155.0,637.0
0.2666220071684588,155,637,7612.0,155.0,637.0
0.2999497580645161,155,637,7626.0,155.0,637.0
0.33327750896057345,155,637,7663.0,155.0,637.0
0.3666052598566308,155,637,7611.0,155.0,637.0
0.39993301075268817,156,638,7603.0,155.0,638.0
0.4332607616487455,155,638,7636.0,156.0,638.0
0.4665885125448028,157,639,7616.0,157.0,639.0
0.4999162634408602,157,639,7578.0,157.0,639.0
0.5332440143369176,157,639,7609.0,157.0,639.0
0.5665717652329749,157,639,7599.0,157.0,639.0
0.5998995161290323,157,639,7596.0,157.0,639.0
0.6332272670250896,157,639,7603.0,157.0,639.0
0.6665550179211469,159,639,7615.0,157.0,639.0
0.6998827688172042,157,639,7622.0,159.0,639.0
0.7332105197132616,159,639,7614.0,159.0,639.0
0.766538270609319,159,639,7608.0,159.0,639.0
0.7998660215053763,159,639,7597.0,159.0,639.0
0.8331937724014337,160,639,7623.0,159.0,639.0
0.866521523297491,159,639,7622.0,159.0,639.0
0.8998492741935483,160,640,7602.0,159.0,640.0
0.9331770250896056,137,640,7626.0,141.0,640.0
0.9665047759856631,140,641,7748.0,141.0,641.0
0.9998325268817204,140,641,7729.0,141.0,641.0
1.0331602777777777,141,641,7742.0,141.0,641.0
1.0664880286738352,141,641,7735.0,141.0,641.0
1.0998157795698924,141,641,7722.0,141.0,641.0
1.1331435304659498,143,641,7728.0,141.0,641.0
1.166471281362007,142,642,7687.0,142.0,642.0
1.1997990322580645,141,642,7698.0,143.0,642.0
1.2331267831541217,143,642,7673.0,143.0,642.0
1.2664545340501792,143,643,7741.0,143.0,643.0
1.2997822849462366,143,643,7688.0,143.0,643.0
1.3331100358422938,143,643,7710.0,143.0,643.0
1.3664377867383513,143,643,7687.0,143.0,643.0
1.3997655376344085,143,643,7664.0,143.0,643.0
1.433093288530466,143,644,7734.0,143.0,644.0
1.4664210394265231,144,644,7684.0,143.0,644.0
1.4997487903225806,143,645,7714.0,144.0,645.0
1.533076541218638,145,645,7720.0,145.0,645.0
1.5664042921146952,145,645,7689.0,145.0,645.0
1.5997320430107527,145,645,7739.0,145.0,645.0
1.6330597939068099,145,646,7706.0,145.0,646.0
1.6663875448028673,145,646,7760.0,145.0,646.0
1.6997152956989248,145,646,7735.0,145.0,646.0
1.733043046594982,145,646,7716.0,145.0,646.0
1.7663707974910394,146,647,7739.0,146.0,647.0
1.7996985483870966,147,647,7786.0,147.0,647.0
1.833026299283154,147,647,7742.0,147.0,647.0
1.8663540501792113,147,647,7716.0,147.0,647.0
1.8996818010752687,147,647,7723.0,147.0,647.0
1.9330095519713262,147,648,7739.0,147.0,648.0
1.9663373028673834,147,648,7767.0,147.0,648.0
1.9996650537634408,147,649,7789.0,147.0,649.0
2.0329928046594983,147,649,7779.0,147.0,649.0
2.0663205555555555,147,649,7837.0,147.0,649.0
2.0996483064516127,147,649,7851.0,147.0,649.0
2.1329760573476704,147,649,7840.0,147.0,649.0
2.1663038082437276,147,649,7785.0,147.0,649.0
2.199631559139785,149,650,7750.0,147.0,650.0
2.232959310035842,149,650,7811.0,149.0,650.0
2.2662870609318997,149,651,7786.0,149.0,651.0
2.299614811827957,147,651,7793.0,149.0,651.0
2.332942562724014,149,651,7799.0,149.0,651.0
2.366270313620072,147,651,7852.0,149.0,651.0
2.399598064516129,149,651,7834.0,149.0,651.0
2.432925815412186,149,651,7847.0,149.0,651.0
2.4662535663082434,149,651,7867.0,147.0,651.0
2.499581317204301,147,651,7838.0,147.0,651.0
2.5329090681003583,147,652,7837.0,147.0,652.0
2.5662368189964155,147,652,7863.0,147.0,652.0
2.599564569892473,147,652,7846.0,147.0,652.0
2.6328923207885304,147,653,7892.0,147.0,653.0
2.6662200716845876,147,653,7887.0,147.0,653.0
2.699547822580645,147,653,7880.0,147.0,653.0
2.7328755734767025,147,653,7856.0,147.0,653.0
2.7662033243727597,145,653,7846.0,147.0,653.0
2.799531075268817,147,653,7905.0,145.0,653.0
2.8328588261648746,145,653,7863.0,145.0,653.0
2.866186577060932,145,653,7840.0,145.0,653.0
2.899514327956989,145,653,7844.0,145.0,653.0
