file,turn,start,end,duration_ms,ideal_peak_rad_s,ego_peak_rad_s,peak_error_rad_s,peak_delay_ms,first_over_rad_s,first_under_rad_s,first_error_mean_rad_s,first_rms_rad_s,first_pid_mean_v,second_over_rad_s,second_under_rad_s,second_error_mean_rad_s,second_rms_rad_s,second_pid_mean_v,tracking_rms_rad_s,angle_error_deg,pid_rms_v,saturation_pct,post_peak_pos_rad_s,post_peak_neg_rad_s,post_rms_rad_s,post_angle_deg,post_duration_ms,aggregate_used
20260720_175124_myshell_debug_log_long_r90.csv,1,238,309,72,30.765625,33.90625,3.140625,4,0.90625,-4.421875,-1.0544346400669642,1.7505312309156857,0.32789639064243864,3.140625,-1.84375,0.6792997880415483,1.360379011968828,-0.0033887949856844816,1.5240198808694583,0.020914148521605763,0.33603014318509855,0.0,2.6171875,-1.1787109375,0.9185141945145852,0.0765208495737006,30,True
20260720_175124_myshell_debug_log_long_r90.csv,2,341,412,72,30.765625,32.34375,1.578125,-3,1.828125,-3.765625,-0.6402598789760044,1.627338920261701,0.2255880492074149,2.015625,-2.203125,0.4255704012784091,1.0535590367414496,0.012763023376464844,1.3069786364972737,0.045711778680740695,0.2825251639850029,0.0,1.9599609375,-1.1171875,0.8858305525179444,0.08410159457122772,30,True
20260720_175124_myshell_debug_log_long_r90.csv,3,444,515,72,30.765625,32.53125,1.765625,19,1.3671875,-2.984375,-0.5668020248413086,1.32114824702215,0.1830801282610212,1.953125,-1.75,0.29487193714488635,0.8543445065189942,0.05162986842068759,1.0605810443200703,-0.1659338178095837,0.23833381356859637,0.0,1.84375,-0.591796875,0.615943796755872,0.1022674935368738,30,True
20260720_175124_myshell_debug_log_long_r90.csv,4,547,618,72,30.765625,31.78125,1.015625,19,1.4296875,-2.984375,-0.6594151088169643,1.2741388605277881,0.20310429164341517,1.984375,-1.078125,0.38737349076704547,0.81666024377464,0.05670452117919922,1.0192666847279075,-0.08131356599354188,0.23648512455531778,0.0,1.8173828125,-0.79296875,0.7280674043953563,0.11197969468755177,30,True
20260720_175124_myshell_debug_log_long_r90.csv,5,650,721,72,30.765625,33.0625,2.296875,13,1.78125,-4.15625,-0.6598764147077288,1.7824316054786549,0.22704860142299108,2.296875,-1.640625,0.3476340553977273,0.9954153936767897,0.054053913463245735,1.3568510698410905,-0.18223731543386407,0.2997656337588,0.0,2.341796875,-1.4365234375,0.9686428900100519,0.1696957767214,30,True
20260720_175124_myshell_debug_log_long_r90.csv,6,753,824,72,30.765625,32.96875,2.203125,0,2.203125,-4.671875,-0.8923203604561942,2.2357170789950453,0.2842721939086914,1.859375,-1.80712890625,0.5095603249289773,1.0857051235235156,0.01435366543856534,1.6322330948881778,-0.1469244724437111,0.3544703608473563,0.0,2.689453125,-1.3828125,1.152365176749582,0.14872982804512888,30,True
20260720_175214_myshell_debug_log_long_r90.csv,1,238,309,72,30.765625,32.625,1.859375,0,1.859375,-4.171875,-0.9788949148995536,1.846037785904281,0.3111201695033482,1.765625,-1.140625,0.5958050814541903,0.9777606270196674,0.007345026189630682,1.3818498638128665,-0.06839019238571743,0.31110471711452936,0.0,2.107421875,-1.421875,0.8983205307960259,0.16156752376000466,30,True
20260720_175214_myshell_debug_log_long_r90.csv,2,341,412,72,30.765625,33.875,3.109375,2,2.5,-4.234375,-1.0016043526785714,1.9818436659244256,0.3231958661760603,3.140625,-1.734375,0.6001864346590909,1.505323471428771,0.008416869423606178,1.7065220723762407,-0.09377707662492771,0.36921104749338,0.0,2.15625,-1.3212890625,0.8932229634152418,0.1109851098613712,30,True
20260720_175214_myshell_debug_log_long_r90.csv,3,444,515,72,30.765625,45.28125,14.515625,19,3.9375,-5.265625,-1.0553185599190849,2.614604584553837,0.39249093191964285,14.703125,-9.3125,0.7373768199573864,5.665157370742713,0.07797761396928267,4.719270119668194,0.16590911984554493,0.9796434629928832,0.0,3.08203125,-3.185546875,1.8214659468861556,-0.15205596624638498,30,False
20260720_175214_myshell_debug_log_long_r90.csv,4,547,618,72,30.765625,33.71875,2.953125,-2,3.078125,-4.015625,-0.7213178362165179,2.2195498678054086,0.28135790143694195,2.140625,-2.09375,0.5099915591153231,1.1086072849986732,0.043777639215642754,1.6330598843479627,0.1284989170065778,0.36115110787171445,0.0,2.197265625,-1.19140625,0.9269167386970114,0.17865064649690696,30,True
20260720_175214_myshell_debug_log_long_r90.csv,5,649,720,72,30.765625,33.46875,2.703125,18,2.65625,-3.53125,-0.6259286063058036,1.9217254629508937,0.24361092703683035,2.78125,-2.34375,0.40605579723011365,1.3230816769048503,0.06854460456154564,1.5830209805244675,0.01950658313744954,0.3498154938533612,0.0,2.56640625,-1.7333984375,1.1680144889778679,0.15813341392834898,30,True
20260720_175214_myshell_debug_log_long_r90.csv,6,751,822,72,30.765625,33.125,2.359375,-2,2.484375,-4.078125,-0.5721105848039899,1.9731214576639224,0.23909432547433035,2.234375,-1.390625,0.37757457386363635,0.9927941776981701,0.029131845994429154,1.4547718621992831,0.03404428561598483,0.3141490261318785,0.0,2.439453125,-1.642578125,1.049429416322492,0.21751125366650464,30,True
