frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,66.23617553710938,108.56749725341797,28.063003540039062,70.24771881103516,47.112098693847656,89.43154907226562,0.7879392347494633,54.08319854736328,1.2136003115392595,0,False
1,0.03332777870354941,True,66.18319320678711,108.5294303894043,28.045671463012695,70.19783782958984,47.11159133911133,89.3880615234375,0.7888000794629246,54.039642333984375,1.2526321256142754,0,False
2,0.06665555740709882,True,66.13021087646484,108.49609375,28.028339385986328,70.20523071289062,47.111083984375,89.35066223144531,0.7896609241763859,53.99608612060547,1.2916639396892913,0,False
3,0.09998333611064823,True,66.04623413085938,108.55033111572266,28.063003540039062,70.14795684814453,47.03728485107422,89.34457397460938,0.7907273800142769,53.99608612060547,1.2982983205661804,0,False
4,0.13331111481419763,True,65.9470443725586,108.55033111572266,28.091960906982422,70.14795684814453,47.03630447387695,89.34457397460938,0.7908766570528679,53.9495735168457,1.3049327014430696,0,False
5,0.16663889351774705,True,65.9177474975586,108.55033111572266,28.04645347595215,70.20523071289062,46.98431396484375,89.35066223144531,0.7915412840487618,53.89016342163086,1.3511530047662872,0,False
6,0.19996667222129647,True,65.89372253417969,108.6226806640625,28.04645347595215,70.3626937866211,46.98210144042969,89.52558898925781,0.7915412840487618,53.85721206665039,1.3511530047662872,0,False
7,0.23329445092484585,True,65.89372253417969,108.70216369628906,28.04645347595215,70.42850494384766,46.98210144042969,89.53242492675781,0.7915412840487618,53.81911849975586,1.3511530047662872,0,False
8,0.26662222962839527,True,65.83020782470703,108.73588562011719,28.028406143188477,70.49042510986328,46.961063385009766,89.6131591796875,0.7903927128805883,53.752586364746094,1.3511530047662872,0,False
9,0.2999500083319447,True,65.74396514892578,108.74242401123047,27.993778228759766,70.68842315673828,46.868873596191406,89.73428344726562,0.7884206749271202,53.752586364746094,1.3511530047662872,0,False
10,0.3332777870354941,True,65.74136352539062,108.78014373779297,27.942272186279297,70.7430648803711,46.841819763183594,89.75288391113281,0.7884206749271202,53.707481384277344,1.3511530047662872,0,False
11,0.3666055657390435,True,65.70339965820312,108.81640625,27.935388565063477,70.7430648803711,46.819393157958984,89.783935546875,0.7884206749271202,53.707481384277344,1.0516361660803535,0,False
12,0.39993334444259293,True,65.70339965820312,108.8248062133789,27.935388565063477,70.73033142089844,46.819393157958984,89.7918930053711,0.789123065677713,53.707481384277344,0.9073266553229974,0,False
13,0.43326112314614235,True,65.71744537353516,108.8571548461914,27.935388565063477,70.7430648803711,46.819393157958984,89.79374694824219,0.7894813938611479,53.707481384277344,0.7506677187632983,0,False
14,0.4665889018496917,True,65.74136352539062,108.93589782714844,27.935388565063477,70.7430648803711,46.819393157958984,89.83311462402344,0.7899946299088352,53.72232437133789,0.7506677187632983,0,False
15,0.4999166805532411,True,65.75211334228516,108.98515319824219,27.935388565063477,70.76092529296875,46.819393157958984,89.88943481445312,0.790718063986446,53.764278411865234,0.7506677187632983,0,False
16,0.5332444592567905,True,65.75211334228516,109.0398178100586,27.935388565063477,70.76092529296875,46.827693939208984,89.89302062988281,0.790718063986446,53.764278411865234,0.9073266553229974,0,False
17,0.56657223796034,True,65.71744537353516,109.08435821533203,27.926464080810547,70.76092529296875,46.819149017333984,89.92796325683594,0.7917715092495264,53.84267044067383,1.0613447748999694,0,False
18,0.5999000166638894,True,65.69551849365234,109.12372589111328,27.926464080810547,70.75919342041016,46.819149017333984,89.94232177734375,0.7927365928014425,53.84267044067383,1.0613447748999694,0,False
19,0.6332277953674388,True,65.61544036865234,109.20669555664062,27.926464080810547,70.75919342041016,46.756385803222656,89.96630859375,0.7929343964244291,53.8416862487793,1.0613447748999694,0,False
20,0.6665555740709882,True,65.59867858886719,109.21385192871094,27.913583755493164,70.75919342041016,46.75613021850586,89.98652648925781,0.7939985126610446,53.76224136352539,1.103432182871458,0,False
21,0.6998833527745376,True,65.59867858886719,109.22000885009766,27.896900177001953,70.88233947753906,46.754539489746094,90.05117797851562,0.7939985126610446,53.7573127746582,1.103432182871458,0,False
22,0.733211131478087,True,65.59867858886719,109.22000885009766,27.894411087036133,70.94544219970703,46.753456115722656,90.05722045898438,0.7933161290523051,53.75638961791992,1.1548442298460035,0,False
23,0.7665389101816364,True,65.58074188232422,109.22000885009766,27.89147186279297,70.9581298828125,46.73882293701172,90.07685852050781,0.7929343964244291,53.68592834472656,1.2735542053749824,0,False
24,0.7998666888851859,True,65.47978210449219,109.19457244873047,27.81475257873535,70.94544219970703,46.645721435546875,90.05722045898438,0.7933161290523051,53.68592834472656,1.3967552757263184,0,False
25,0.8331944675887353,True,65.47978210449219,109.19457244873047,27.811664581298828,70.99825286865234,46.645721435546875,90.07685852050781,0.7920242685084103,53.68592834472656,1.6162895393371581,0,False
26,0.8665222462922847,True,65.47978210449219,109.19457244873047,27.775562286376953,70.99825286865234,46.626251220703125,90.07685852050781,0.7920242685084103,53.70698165893555,1.7426533699035645,0,False
27,0.8998500249958341,True,65.55421447753906,109.25120544433594,27.775562286376953,71.13482666015625,46.645721435546875,90.1930160522461,0.7899570774362268,53.70698165893555,3.0878478137131884,0,False
28,0.9331778036993834,True,65.64161682128906,109.29586791992188,27.811664581298828,71.23078155517578,46.71339797973633,90.26332092285156,0.7899570774362268,53.70698165893555,7.211692127941485,0,False
29,0.9665055824029328,True,65.70425415039062,109.61318969726562,28.029178619384766,71.65623474121094,46.83539581298828,90.63471221923828,0.7881387979085733,53.61562728881836,12.635320131815792,0,False
30,0.9998333611064822,True,66.08958435058594,109.98568725585938,28.431547164916992,71.82146453857422,47.26056671142578,90.90357971191406,0.7899570774362268,53.436187744140625,16.702440687131098,0,False
31,1.0331611398100318,True,66.43051147460938,110.29224395751953,28.85505485534668,72.51026153564453,47.642784118652344,91.40125274658203,0.7920740384309787,53.425594329833984,18.956280145003678,0,False
32,1.066488918513581,True,66.88139343261719,110.84591674804688,29.399147033691406,72.77525329589844,48.1402702331543,91.81058502197266,0.7924789954313591,53.337135314941406,23.278279827033668,0,False
33,1.0998166972171306,True,67.47621154785156,111.46955871582031,30.0875244140625,73.44010162353516,48.78186798095703,92.454833984375,0.792877940748335,53.337135314941406,29.63365628835653,0,False
34,1.13314447592068,True,68.23920440673828,112.21885681152344,30.792150497436523,74.23770141601562,49.51567840576172,93.22827911376953,0.792877940748335,53.3635139465332,34.15569327134133,0,False
35,1.1664722546242294,True,69.10165405273438,113.09165954589844,31.64681625366211,75.07228088378906,50.374237060546875,94.08197021484375,0.7924789954313591,53.3635139465332,39.77705867610773,0,False
36,1.1998000333277787,True,70.06421661376953,114.157958984375,32.527164459228516,76.22862243652344,51.295692443847656,95.19329071044922,0.7922195107266146,53.36982345581055,46.77040470161322,0,False
37,1.2331278120313283,True,71.35440826416016,115.3083267211914,33.81452178955078,77.25276947021484,52.58446502685547,96.28054809570312,0.7910941825899509,53.45529556274414,52.17130616240995,0,False
38,1.2664555907348776,True,72.6496353149414,116.6160659790039,35.00361633300781,78.54017639160156,53.82662582397461,97.578125,0.7910750671592972,53.45529556274414,53.61333368477495,0,False
