file,turn,start,end,duration_ms,ideal_peak_rad_s,ego_peak_rad_s,peak_error_rad_s,peak_delay_ms,first_over_rad_s,first_under_rad_s,first_error_mean_rad_s,first_rms_rad_s,first_pid_mean_v,second_over_rad_s,second_under_rad_s,second_error_mean_rad_s,second_rms_rad_s,second_pid_mean_v,tracking_rms_rad_s,angle_error_deg,pid_rms_v,saturation_pct,post_peak_pos_rad_s,post_peak_neg_rad_s,post_rms_rad_s,post_angle_deg,post_duration_ms,aggregate_used
20260720_175253_myshell_debug_log_long_l90.csv,1,238,309,72,30.765625,31.46875,0.703125,13,0.796875,-2.09808349609375,-0.26005336216517855,0.6452466089153399,0.0902496065412249,0.703125,-0.65625,0.1592129794034091,0.37351653698071113,0.007147268815474076,0.4971621098012147,-0.015820685212230495,0.10674894875991281,0.0,2.140625,-1.1318359375,0.9538798654137294,0.22201764855633896,30,True
20260720_175253_myshell_debug_log_long_l90.csv,2,340,411,72,30.765625,31.46875,0.703125,15,1.09375,-1.9033203125,-0.17630440848214285,0.7280237099649215,0.07011563437325614,0.90625,-0.59375,0.12683937766335227,0.3696562055005902,0.005072116851806641,0.5381672844434184,0.036921926275581246,0.11268025562591887,0.0,2.0546875,-0.97998046875,0.8254829131280959,0.18063697479057342,30,True
20260720_175253_myshell_debug_log_long_l90.csv,3,443,514,72,30.765625,31.46875,0.703125,16,1.1640625,-1.970367431640625,-0.1889920915876116,0.6940781061392053,0.06454849243164062,0.828125,-0.515625,0.1507290926846591,0.37210472601316935,0.009340286254882812,0.5214984883480379,0.07679362000839425,0.1098264332465146,0.0,2.134765625,-1.0927734375,0.9370015585298876,0.27762708168410183,30,True
20260720_175253_myshell_debug_log_long_l90.csv,4,546,617,72,30.765625,31.3125,0.546875,11,1.15625,-2.3056640625,-0.2276780264718192,0.8420410173679846,0.08894784109933036,1.03125,-0.609375,0.1742772622541948,0.3511914698564385,-0.0028122121637517757,0.5925426125328201,0.07409574992775257,0.1239589347867267,0.0,2.19140625,-1.1298828125,0.8127879664074533,0.25460672138851753,30,True
20260720_175253_myshell_debug_log_long_l90.csv,5,648,719,72,30.765625,31.6875,0.921875,13,1.0234375,-1.994903564453125,-0.23450687953404017,0.6969156173169457,0.07437569754464286,0.921875,-0.609375,0.16468949751420456,0.3954345720938782,0.005767442963340066,0.533327768330319,0.03896945306421099,0.11170881582044025,0.0,2.3984375,-1.318359375,1.0409301129785553,0.2350804673062584,30,True
20260720_175253_myshell_debug_log_long_l90.csv,6,751,822,72,30.765625,31.453125,0.6875,15,1.234375,-2.0317516326904297,-0.2561988149370466,0.8428159436702639,0.0864452634538923,0.875,-0.546875,0.20075572620738635,0.37208181921847516,-0.007918336174704811,0.6007062827509247,0.0950929535496657,0.1252034073799888,0.0,1.96484375,-1.0458984375,0.8498593138318252,0.24703734182576936,30,True
20260720_175337_myshell_debug_log_long_l90.csv,1,238,309,72,30.765625,31.28125,0.515625,10,0.828125,-1.2900390625,-0.23011997767857142,0.6343369606433122,0.07209539413452148,1.177001953125,-0.609375,0.20234264026988635,0.41858828286843347,-0.011135794899680397,0.5133799390947943,0.14093139125837512,0.10746267904283649,0.0,2.599609375,-1.0439453125,0.965215542319547,0.21380415483410187,30,True
20260720_175337_myshell_debug_log_long_l90.csv,2,340,411,72,30.765625,31.609375,0.84375,14,0.96875,-2.2135009765625,-0.19771030970982142,0.7687828464834501,0.0730752944946289,0.921875,-0.59375,0.1831332120028409,0.411735527811452,-0.014681810682470148,0.5774453821605746,0.14449838925052255,0.12013102250373195,0.0,1.82421875,-1.0703125,0.860537351573473,0.2759247799768812,30,True
20260720_175337_myshell_debug_log_long_l90.csv,3,443,514,72,30.765625,31.625,0.859375,11,0.921875,-1.38330078125,-0.1986152103969029,0.6107805317117456,0.05810001918247768,0.859375,-0.65625,0.18650679154829544,0.3920324960145134,-0.009908762845126066,0.48887366367734875,0.15155151579504453,0.10179680057979895,0.0,2.861328125,-1.1025390625,0.9644257119730343,0.29696591537553585,30,True
20260720_175337_myshell_debug_log_long_l90.csv,4,546,617,72,30.765625,31.359375,0.59375,12,1.078125,-1.880859375,-0.15876334054129465,0.7525934169427894,0.0668114253452846,0.828125,-1.046875,0.1980917670510032,0.3940985504622741,-0.02354154803536155,0.5614083629993255,0.24469103524208657,0.1184207711061471,0.0,1.8095703125,-0.9404296875,0.6960194454037596,0.29265120291456875,30,True
20260720_175337_myshell_debug_log_long_l90.csv,5,648,719,72,30.765625,31.453125,0.6875,13,0.7421875,-1.86962890625,-0.24281964983258927,0.6596133421370356,0.08020145552498954,0.814453125,-0.4375,0.19933527166193182,0.35553931489541657,-0.011915553699840199,0.49643834666304365,0.11297591875913315,0.1041278237568706,0.0,2.44140625,-1.1767578125,1.0182080105162898,0.32925402275212706,30,True
20260720_175337_myshell_debug_log_long_l90.csv,6,751,822,72,30.765625,31.53125,0.765625,15,1.1640625,-2.201171875,-0.2018923078264509,0.7988602771552553,0.07752714838300433,1.0,-0.921875,0.189453125,0.4226932874145962,-0.015223817391829058,0.5978019908332218,0.15372187670570778,0.12425524738852,0.0,1.8984375,-1.0927734375,0.851849748722511,0.30518378041884175,30,True
