file,turn,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_ripple_rms_mm_s,feedback_rms_v,required_voltage_rms_v,motor_voltage_delta_rms_v,saturation_pct
20260722_012133_myshell_debug_log_long_l90.csv,1,-57.83305153917911,71.42731497539987,41.918963182092604,0.1921738662391422,0.19214012875829167,0.13407088239823559,0.0
20260722_012133_myshell_debug_log_long_l90.csv,2,-32.95847423041045,52.21792013441034,40.50247103038317,0.09324868490378317,0.09322916307252435,0.6071359058910089,0.0
20260722_012133_myshell_debug_log_long_l90.csv,3,-29.410127098880597,56.85220684085905,48.654063003037166,0.13435556893101572,0.1343296489227868,0.530538820064701,0.0
20260722_012133_myshell_debug_log_long_l90.csv,4,-25.578066697761194,45.38697614200056,37.4932008145398,0.09857505798126487,0.09855101931941468,0.5577689890607357,0.0
20260722_012133_myshell_debug_log_long_l90.csv,5,-26.87193913246269,51.55306623090469,43.995653479284364,0.10150195899909793,0.10148260680940295,0.5002264800142588,0.0
20260722_012133_myshell_debug_log_long_l90.csv,6,-30.03702192164179,55.22075511756539,46.33690872115808,0.11496283759204207,0.11494071367061208,0.5031615929429996,0.0
20260722_012217_myshell_debug_log_long_l90.csv,1,-52.68423507462687,64.5278650381974,37.25878072333117,0.1765338075729638,0.1764999733814193,0.11531485721104422,0.0
20260722_012217_myshell_debug_log_long_l90.csv,2,-45.184526585820905,57.540676211832505,35.62706802601346,0.10847300557373525,0.10844528875481772,0.48109159778767174,0.0
20260722_012217_myshell_debug_log_long_l90.csv,3,-27.60654734141791,49.60647600479857,41.215057994629916,0.10146408977654199,0.10144200787605002,0.5109528690262507,0.0
20260722_012217_myshell_debug_log_long_l90.csv,4,-30.241662779850753,51.64610986559636,41.86600645582332,0.10445153227073008,0.10442935673070554,0.5378397724530696,0.0
20260722_012217_myshell_debug_log_long_l90.csv,5,-26.630276352611943,52.56368648150766,45.318533933808446,0.11092063135243481,0.11089862110283812,0.529642295017804,0.0
20260722_012217_myshell_debug_log_long_l90.csv,6,-15.859156366604475,44.03653763482608,41.081672388098355,0.09086162023361238,0.09084484567896244,0.556512987929851,0.0
