frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,64.61695098876953,109.86840057373047,25.422039031982422,73.14327239990234,45.019493103027344,91.5058364868164,0.7518766935158435,53.8179817199707,1.9003158507924447,0,False
1,0.03332777870354941,True,64.60922241210938,109.90166854858398,25.437302589416504,73.23486709594727,45.00884246826172,91.56826782226562,0.7534274162043972,53.82056427001953,2.3415400031705844,0,False
2,0.06665555740709882,True,64.61695098876953,109.86840057373047,25.422039031982422,73.14327239990234,44.998191833496094,91.5058364868164,0.7529471227216602,53.82314682006836,2.7827641555487244,0,False
3,0.09998333611064823,True,64.66595458984375,109.82308197021484,25.422039031982422,72.94308471679688,44.998191833496094,91.38308715820312,0.7533281502765597,53.853553771972656,2.767477325043039,0,False
4,0.13331111481419763,True,64.61695098876953,109.7774429321289,25.422039031982422,72.86883544921875,44.990055084228516,91.31069946289062,0.754978138892951,53.994544982910156,2.7521904945373534,0,False
5,0.16663889351774705,True,64.57709503173828,109.70844268798828,25.403017044067383,72.84395599365234,44.96003341674805,91.28863525390625,0.759007783212679,54.01273727416992,2.7521904945373534,0,False
6,0.19996667222129647,True,64.58485412597656,109.59188079833984,25.379154205322266,72.43273162841797,44.98200225830078,91.0123062133789,0.7570262639639967,53.994544982910156,2.7521904945373534,0,False
7,0.23329445092484585,True,64.57709503173828,109.44009399414062,25.403017044067383,72.43273162841797,44.98200225830078,90.87686920166016,0.7570262639639967,53.936851501464844,1.6241526943614948,0,False
8,0.26662222962839527,True,64.57709503173828,109.34976959228516,25.379154205322266,72.30793762207031,44.98200225830078,90.828857421875,0.7580483676051653,53.994544982910156,1.5282848002049696,0,False
9,0.2999500083319447,True,64.53938293457031,109.29059600830078,25.379154205322266,72.19027709960938,44.975120544433594,90.76882934570312,0.7580483676051653,53.936851501464844,1.3308048856838035,0,False
10,0.3332777870354941,True,64.55219268798828,109.29059600830078,25.41423988342285,72.30793762207031,44.98200225830078,90.828857421875,0.7579859328769717,53.91610336303711,1.3308048856838035,0,False
11,0.3666055657390435,True,64.53600311279297,109.28103637695312,25.41423988342285,72.33535766601562,44.975120544433594,90.79790496826172,0.7579859328769717,53.849891662597656,1.3308048856838035,0,False
12,0.39993334444259293,True,64.53600311279297,109.28103637695312,25.369361877441406,72.23377227783203,44.975120544433594,90.74043273925781,0.7579859328769717,53.849891662597656,1.3308048856838035,0,False
13,0.43326112314614235,True,64.53600311279297,109.26045227050781,25.40467071533203,72.23377227783203,44.975120544433594,90.74043273925781,0.7568305395877037,53.84477233886719,1.3306027125828859,0,False
14,0.4665889018496917,True,64.55067443847656,109.08125305175781,25.40467071533203,72.23377227783203,44.9776725769043,90.65176391601562,0.7568305395877037,53.819580078125,1.3306027125828859,0,False
15,0.4999166805532411,True,64.55067443847656,109.08125305175781,25.40467071533203,72.063232421875,44.9776725769043,90.5722427368164,0.7568305395877037,53.84477233886719,1.3306027125828859,0,False
16,0.5332444592567905,True,64.6219482421875,109.08125305175781,25.476604461669922,72.05892181396484,45.091156005859375,90.56815338134766,0.75790967032151,53.84477233886719,1.03349814859587,0,False
17,0.56657223796034,True,64.70570373535156,109.08125305175781,25.543046951293945,72.0284194946289,45.09581756591797,90.54438781738281,0.75790967032151,53.93698501586914,1.3218071595656402,0,False
18,0.5999000166638894,True,64.71333312988281,109.08125305175781,25.543046951293945,72.0238265991211,45.12818908691406,90.53691101074219,0.75790967032151,53.94842529296875,1.3218071595656402,0,False
19,0.6332277953674388,True,64.78787994384766,109.06615447998047,25.543046951293945,72.0238265991211,45.16429901123047,90.53691101074219,0.7565647228819818,53.94842529296875,1.03349814859587,0,False
20,0.6665555740709882,True,64.78787994384766,109.04998779296875,25.531883239746094,72.0238265991211,45.16429901123047,90.53691101074219,0.7563127600305786,53.94842529296875,1.03349814859587,0,False
21,0.6998833527745376,True,64.78787994384766,109.0281753540039,25.5425968170166,72.07381439208984,45.16429901123047,90.53691101074219,0.7563127600305786,53.88145065307617,1.03349814859587,0,False
22,0.733211131478087,True,64.73292541503906,108.96904754638672,25.531883239746094,72.08045196533203,45.07891845703125,90.55865478515625,0.7560627457168574,53.75343322753906,1.2166147416242576,0,False
23,0.7665389101816364,True,64.73292541503906,108.92889404296875,25.5425968170166,72.08045196533203,45.07891845703125,90.55865478515625,0.754607051107435,53.748992919921875,1.2166147416242576,0,False
24,0.7998666888851859,True,64.73292541503906,108.89981842041016,25.497417449951172,72.07381439208984,45.07891845703125,90.52143096923828,0.754607051107435,53.748992919921875,1.2166147416242576,0,False
25,0.8331944675887353,True,64.73500061035156,108.89981842041016,25.5425968170166,72.05116271972656,45.1162109375,90.46025848388672,0.7556417205858882,53.75343322753906,1.2166147416242576,0,False
26,0.8665222462922847,True,64.7393798828125,108.88435363769531,25.497417449951172,71.91508483886719,45.1162109375,90.39971923828125,0.7556417205858882,53.910247802734375,0.5584502983093261,0,False
27,0.8998500249958341,True,64.7393798828125,108.86935424804688,25.54494857788086,71.91508483886719,45.12009048461914,90.37925720214844,0.756004033724482,53.910247802734375,0.5584502983093261,0,False
28,0.9331778036993834,True,64.73500061035156,108.86021423339844,25.54494857788086,71.90634155273438,45.1162109375,90.37919616699219,0.7566194197280401,53.910247802734375,0.5904417549779147,0,False
29,0.9665055824029328,True,64.65409851074219,108.82191467285156,25.574060440063477,71.8634033203125,45.112613677978516,90.36412811279297,0.7575736239894735,53.72678756713867,0.5904417549779147,0,False
30,0.9998333611064822,True,64.63602447509766,108.82191467285156,25.574060440063477,71.8634033203125,45.09892654418945,90.35105895996094,0.7585804368081357,53.72678756713867,0.5239484248628143,0,False
31,1.0331611398100318,True,64.63179779052734,108.82009887695312,25.574060440063477,71.8634033203125,45.09150695800781,90.3363037109375,0.7585804368081357,53.72678756713867,0.4954125976225773,0,False
32,1.066488918513581,True,64.63179779052734,108.80919647216797,25.5703125,71.86145782470703,45.09150695800781,90.31240844726562,0.7585804368081357,53.74980926513672,0.4954125976225773,0,False
33,1.0998166972171306,True,64.63179779052734,108.76335144042969,25.5703125,71.78089141845703,45.09150695800781,90.25442504882812,0.7585804368081357,53.74980926513672,0.4954125976225773,0,False
34,1.13314447592068,True,64.63179779052734,108.76335144042969,25.5703125,71.76553344726562,45.09892654418945,90.25115966796875,0.7587705080528989,53.7871208190918,0.5239484248628143,0,False
35,1.1664722546242294,True,64.56067657470703,108.76335144042969,25.58112335205078,71.76553344726562,45.10507583618164,90.23956298828125,0.7587705080528989,53.7871208190918,0.5904417549779147,0,False
36,1.1998000333277787,True,64.56067657470703,108.74736785888672,25.681081771850586,71.65576171875,45.10560607910156,90.2342529296875,0.7628898588453059,53.7871208190918,0.9256023628084856,0,False
37,1.2331278120313283,True,64.50758361816406,108.82337188720703,25.707168579101562,71.65576171875,45.10560607910156,90.2342529296875,0.7649664069480862,53.64117431640625,0.7973743066101834,0,False
38,1.2664555907348776,True,64.56067657470703,108.82337188720703,25.938169479370117,71.64240264892578,45.120880126953125,90.21475982666016,0.7651287546157778,53.60090255737305,0.3715285459015146,0,False
39,1.2997833694384269,True,64.576904296875,108.83226013183594,25.938169479370117,71.64240264892578,45.22541046142578,90.21475982666016,0.7651287546157778,53.60090255737305,0.3715285459015146,0,False
40,1.3331111481419764,True,64.576904296875,108.88388061523438,25.938169479370117,71.7447280883789,45.22541046142578,90.31430053710938,0.7656864044110625,53.60090255737305,0.3715285459015146,0,False
41,1.3664389268455257,True,64.56248474121094,108.96885681152344,25.841571807861328,71.7447280883789,45.19348907470703,90.35679626464844,0.7662925046116774,53.678157806396484,0.3715285459015146,0,False
42,1.3997667055490752,True,64.5660629272461,108.96885681152344,25.841571807861328,71.7447280883789,45.19348907470703,90.35679626464844,0.7658655988149426,53.686588287353516,0.6415482521057129,0,False
43,1.4330944842526245,True,64.56248474121094,108.96885681152344,25.82449722290039,71.7447280883789,45.17877197265625,90.35679626464844,0.7658655988149426,53.686588287353516,0.6415482521057129,0,False
44,1.466422262956174,True,64.56248474121094,109.01072692871094,25.82449722290039,71.7447280883789,45.17877197265625,90.35871124267578,0.7659008781393011,53.77202224731445,0.6415482521057129,0,False
45,1.4997500416597234,True,64.5660629272461,109.01807403564453,25.8120174407959,71.74005889892578,45.18045425415039,90.35871124267578,0.7659008781393011,53.81725311279297,0.6415482521057129,0,False
46,1.533077820363273,True,64.5660629272461,109.01807403564453,25.8120174407959,71.74005889892578,45.17079162597656,90.35871124267578,0.7659008781393011,53.84239959716797,0.53487154006958,0,False
47,1.5664055990668222,True,64.5841293334961,109.0628890991211,25.8120174407959,71.74005889892578,45.18045425415039,90.40147399902344,0.7663814278625084,53.849266052246094,0.6415482521057129,0,False
48,1.5997333777703717,True,64.60637664794922,109.28199768066406,25.77678108215332,71.74005889892578,45.209197998046875,90.5001220703125,0.7663814278625084,54.03559112548828,1.3824989134891141,0,False
49,1.633061156473921,True,64.70619201660156,109.28199768066406,25.8120174407959,71.82302856445312,45.222286224365234,90.5556869506836,0.7663814278625084,54.03559112548828,2.113914905864446,0,False
50,1.6663889351774706,True,64.70619201660156,109.28834533691406,25.942214965820312,71.93638610839844,45.222286224365234,90.59133911132812,0.7667947853249402,54.139644622802734,2.113914905864446,0,False
51,1.6997167138810199,True,64.71630096435547,109.28834533691406,25.767839431762695,71.93638610839844,45.222286224365234,90.59133911132812,0.7667947853249402,54.139644622802734,2.113914905864446,0,False
52,1.7330444925845694,True,64.72139739990234,110.11639404296875,25.767839431762695,72.11373901367188,45.23701477050781,91.11506652832031,0.7661208796773895,54.553871154785156,1.3824989134891141,0,False
53,1.7663722712881187,True,64.73949432373047,110.20704650878906,25.587604522705078,72.184814453125,45.286888122558594,91.2468490600586,0.7677077956746663,54.82691955566406,0.9803180274003748,3107,True
54,1.7997000499916682,True,65.10708618164062,110.20704650878906,25.501907348632812,72.28665161132812,45.286888122558594,91.2468490600586,0.7677077956746663,54.883853912353516,0.9125064086694182,3163,True
55,1.8330278286952175,True,65.10708618164062,110.17391967773438,25.501907348632812,72.28665161132812,45.34734344482422,91.24016571044922,0.7658342920931784,54.82691955566406,0.9803180274003748,3218,True
56,1.8663556073987668,True,65.10708618164062,110.17282104492188,25.587604522705078,72.184814453125,45.35009765625,91.23028564453125,0.7658342920931784,54.82691955566406,0.9803180274003748,3223,True
