motion_name,gain_name,velocity_m_s,r_min_mm,degree,duration_ms,sample_count,omega_max_rad_s,alpha_max_rad_s2,alpha_min_rad_s2,jerk_abs_max_rad_s3,predicted_om_ff_abs_max_v,jerk_clipped_pct,source_turn90,om_velo,om_accel,om_decel,om_bias,om_jerk
in_l135,ff_gain_in135_L_1600,1.6,42.5,135.0,88.86329141805219,89,37.64705882352941,2069.103941308665,-2068.220376804796,337811.8624194636,2.278250093849133,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
in_l45,ff_gain_in45_L_1600,1.6,55.0,45.0,38.33318453327742,39,29.090909090909093,3638.7799715656834,-3664.5170602324747,926991.3954421208,4.835958880704627,10.256410256410255,long_l90,0.0168,0.00097,0.00085,0.0175,2.9e-06
in_r135,ff_gain_in135_R_1600,1.6,-42.5,-135.0,88.86329141805219,89,37.64705882352941,2069.103941308665,-2068.220376804796,337811.8624194636,2.239048962188884,0.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
in_r45,ff_gain_in45_R_1600,1.6,-55.0,-45.0,38.33318453327742,39,29.090909090909093,3638.7799715656834,-3664.5170602324747,926991.3954421208,4.9343270221063955,12.82051282051282,long_r90,0.0168,0.00094,0.00085,0.0613,3.2e-06
l_v90,ff_gain_v90_L_1600,1.6,40.0,90.0,55.757359321130785,56,40.0,3480.263723852982,-3480.791131557222,775062.8529021218,4.320304331697928,1.7857142857142856,long_l90,0.0168,0.00099,0.00091,0.0175,2.9e-06
long_l180,ff_gain_long_turn_180_L_1600,1.6,48.0,180.0,133.8176623707139,134,33.333333333333336,1218.2537534591713,-1217.7526773416857,142313.35538185478,1.3747496510386725,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
long_l90,ff_gain_long_turn_L_1600,1.6,52.0,90.0,72.48456711747001,73,30.769230769230774,2068.977301801609,-2069.7753127138176,391863.16533664695,2.329010500563619,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
long_r180,ff_gain_long_turn_180_R_1600,1.6,-48.0,-180.0,133.8176623707139,134,33.333333333333336,1218.2537534591713,-1217.7526773416857,142313.35538185478,1.3482894458499761,0.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
long_r90,ff_gain_long_turn_R_1600,1.6,-52.0,-90.0,72.48456711747001,73,30.769230769230774,2068.977301801609,-2069.7753127138176,391863.16533664695,2.3241924564102057,0.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
out_l135,ff_gain_out135_L_1600,1.6,41.0,135.0,85.7269399562386,86,39.02439024390244,2222.260888637886,-2223.1218594261436,372997.9238457538,2.4523728285589526,0.0,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_l45,ff_gain_out45_L_1600,1.6,60.0,45.0,41.81801949084808,42,26.666666666666668,3082.707145580733,-3086.7608863728888,768302.5139582232,3.999802889219298,4.761904761904762,long_l90,0.0168,0.00094,0.00085,0.0175,2.9e-06
out_r135,ff_gain_out135_R_1600,1.6,-41.0,-135.0,85.7269399562386,86,39.02439024390244,2222.260888637886,-2223.1218594261436,372997.9238457538,2.4083782773448354,0.0,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
out_r45,ff_gain_out45_R_1600,1.6,-60.0,-45.0,41.81801949084808,42,26.666666666666668,3082.707145580733,-3086.7608863728888,768302.5139582232,4.017059308245335,4.761904761904762,long_r90,0.0168,0.00088,0.00085,0.0613,3.2e-06
r_v90,ff_gain_v90_R_1600,1.6,-40.0,-90.0,55.757359321130785,56,40.0,3480.263723852982,-3480.791131557222,775062.8529021218,4.386418485201446,5.357142857142857,long_r90,0.0168,0.00093,0.0009,0.0613,3.2e-06
