phase_pct,alpha_mag_mean,alpha_mag_std,omega2_mean,omega2_std,feedback_mean,feedback_std,turn_ff_mean,turn_ff_std,required_v_mean,required_v_std,motor_v_mean,motor_v_std,speed_error_mean,speed_error_std,speed_delta_mean,speed_delta_std,acceleration_mean,acceleration_std
0.0,1011.5966796875,0.0,1.1206207275390625,0.0,-0.009210586547851562,0.016290664672851562,4.570703124984199e-05,0.0,-0.00916487951660172,0.016290664672851562,-0.972900390625,0.027587890625,-0.00244140625,0.00732421875,0.001953125,0.0048828125,0.6368143575175012,3.887469951923128
0.5,1169.4793701171875,0.0,2.678750991821289,0.0,-0.015414714813232422,0.01087045669555664,4.570703124984199e-05,0.0,-0.01536900778198258,0.01087045669555664,-0.979400634765625,0.021820068359375,-0.00555419921875,0.00457763671875,0.00506591796875,0.00213623046875,0.8064750191215251,4.224443769121553
1.0,1327.362060546875,0.0,4.236881256103516,0.0,-0.02161884307861328,0.005450248718261719,4.570703124984199e-05,0.0,-0.02157313604736344,0.005450248718261719,-0.98590087890625,0.01605224609375,-0.0086669921875,0.0018310546875,0.0081787109375,0.0006103515625,0.9761356807255483,4.561417586319977
1.5,1476.9287109375,0.0,6.540733814239503,0.0,-0.02539849281311035,0.0006039142608642578,4.570703124984199e-05,0.0,-0.02535278578186051,0.0006039142608642578,-0.9898681640625,0.01116943359375,-0.010498046875,0.0006103515625,0.010009765625,0.0030517578125,1.0840498206221088,4.739614633413499
2.0,1609.86328125,0.0,10.336030960083008,0.0,-0.024329185485839844,0.0030946731567382812,4.570703124984199e-05,0.0,-0.024283478454590002,0.0030946731567382812,-0.98876953125,0.008056640625,-0.009765625,0.00244140625,0.00927734375,0.0048828125,1.0684709171037419,4.600258140297214
2.5,1742.7978515625,0.0,14.131328105926514,0.0,-0.023259878158569336,0.00679326057434082,4.570703124984199e-05,0.0,-0.023214171127319494,0.00679326057434082,-0.9876708984375,0.00494384765625,-0.009033203125,0.0042724609375,0.008544921875,0.0067138671875,1.0528920135853754,4.46090164718093
3.0,1858.642578125,0.0,20.164755821228027,0.0,-0.02496957778930664,0.00853109359741211,4.570703124984199e-05,0.0,-0.0249238707580568,0.00853109359741211,-0.989501953125,0.003173828125,-0.009765625,0.005126953125,0.00927734375,0.007568359375,1.164647526952209,3.9694192526223833
3.5,1965.9423828125,0.0,27.317248821258545,0.0,-0.02806878089904785,0.009288549423217773,4.570703124984199e-05,0.0,-0.02802307386779801,0.009288549423217773,-0.9927978515625,0.0020751953125,-0.01123046875,0.0054931640625,0.0107421875,0.0079345703125,1.340070248761642,3.3018739073427046
4.0,2073.2421875,0.0,34.46974182128906,0.0,-0.031167984008789062,0.010046005249023438,4.570703124984199e-05,0.0,-0.03112227697753922,0.010046005249023438,-0.99609375,0.0009765625,-0.0126953125,0.005859375,0.01220703125,0.00830078125,1.5154929705710751,2.6343285620630263
4.5,2153.4423828125,0.0,45.96731758117676,0.0,-0.0349431037902832,0.013652324676513672,4.570703124984199e-05,0.0,-0.03489739675903336,0.013652324676513672,-0.999481201171875,0.002593994140625,-0.0145263671875,0.0076904296875,0.0140380859375,0.0101318359375,1.286291020177778,2.11062131228152
5.0,2233.642578125,0.0,57.46489334106445,0.0,-0.038718223571777344,0.017258644104003906,4.570703124984199e-05,0.0,-0.0386725165405275,0.017258644104003906,-1.00286865234375,0.00616455078125,-0.016357421875,0.009521484375,0.015869140625,0.011962890625,1.0570890697844806,1.5869140625000133
5.5,2305.419921875,0.0,70.62677001953126,0.0,-0.03920316696166992,0.02048921585083008,4.570703124984199e-05,0.0,-0.03915745993042008,0.02048921585083008,-1.003173828125,0.0093994140625,-0.0164794921875,0.011108398437500002,0.0159912109375,0.013549804687500002,0.7731119791667821,1.1807243862907713
6.0,2360.3515625,0.0,87.11724853515626,0.0,-0.033107757568359375,0.02296829223632813,4.570703124984199e-05,0.0,-0.03306205053710953,0.02296829223632813,-0.997314453125,0.011962890625,-0.013183593749999998,0.012207031250000002,0.012695312499999998,0.014648437500000002,0.3795846081002804,1.0095698572260559
6.5,2415.283203125,0.0,103.60772705078128,0.0,-0.02701234817504882,0.025447368621826175,4.570703124984199e-05,0.0,-0.02696664114379898,0.025447368621826175,-0.991455078125,0.0145263671875,-0.009887695312499997,0.013305664062500002,0.009399414062499997,0.0157470703125,-0.013942762966221267,0.8384153281613402
7.0,2456.0546875,0.0,123.6731414794922,0.0,-0.02339076995849609,0.024724006652832028,4.570703124984199e-05,0.0,-0.02334506292724625,0.024724006652832028,-0.9879150390625,0.01373291015625,-0.007934570312499998,0.012817382812499998,0.007446289062499998,0.015258789062499998,-0.34216678503792874,0.703540437427097
7.5,2489.74609375,0.0,145.5260238647461,0.0,-0.021006107330322266,0.022399425506591797,4.570703124984199e-05,0.0,-0.020960400299072424,0.022399425506591797,-0.98553466796875,0.011260986328125,-0.00665283203125,0.01153564453125,0.00616455078125,0.01397705078125,-0.637739132612239,0.5868053658580896
8.0,2523.4375,0.0,167.37890625,0.0,-0.018621444702148438,0.020074844360351562,4.570703124984199e-05,0.0,-0.018575737670898596,0.020074844360351562,-0.983154296875,0.0087890625,-0.00537109375,0.01025390625,0.0048828125,0.0126953125,-0.9333114801865494,0.4700702942890822
8.5,2535.15625,0.0,194.61476898193362,0.0,-0.026751041412353523,0.01466321945190429,4.570703124984199e-05,0.0,-0.02670533438110368,0.01466321945190429,-0.9912567138671875,0.0031585693359375,-0.009399414062500003,0.007324218749999997,0.008911132812500003,0.009765624999999997,-1.1172705874854598,0.08550612798662693
9.0,2546.875,0.0,221.85063171386724,0.0,-0.03488063812255861,0.009251594543457023,4.570703124984199e-05,0.0,-0.034834931091308766,0.009251594543457023,-0.999359130859375,0.002471923828125,-0.013427734375000007,0.004394531249999996,0.012939453125000007,0.006835937499999996,-1.3012296947843702,0.29905803831582833
9.5,2553.22265625,0.0,250.7181015014649,0.0,-0.03903402388095855,0.007696017622947707,4.570703124984199e-05,0.0,-0.03898831684970871,0.007696017622947707,-1.0034942626953125,0.0041656494140625,-0.015441894531249997,0.003479003906250007,0.014953613281249997,0.005920410156250007,-1.430982754224916,0.6234406869172348
10.0,2548.828125,0.0,282.8487854003907,0.0,-0.035234987735748284,0.013852536678314221,4.570703124984199e-05,0.0,-0.03518928070449844,0.013852536678314221,-0.99969482421875,0.00201416015625,-0.013427734374999997,0.006591796875000006,0.012939453124999997,0.009033203125000005,-1.4523237179487336,0.8274603001165451
10.5,2544.43359375,0.0,314.97946929931646,0.0,-0.03143595159053802,0.020009055733680732,4.570703124984199e-05,0.0,-0.031390244559288176,0.020009055733680732,-0.9958953857421875,0.0081939697265625,-0.011413574218749997,0.009704589843750003,0.010925292968749997,0.012145996093750002,-1.4736646816725512,1.0314799133158554
11.0,2528.3203125,0.0,350.13208007812506,0.0,-0.027200549840927117,0.021425396203994748,4.570703124984199e-05,0.0,-0.027154842809677275,0.021425396203994748,-0.991851806640625,0.009857177734375,-0.009155273437499998,0.010375976562499998,0.008666992187499997,0.012817382812499998,-1.787234575320582,1.0932264350233116
11.5,2506.34765625,0.0,386.795654296875,0.0,-0.022746965289115906,0.020471647381782532,4.570703124984199e-05,0.0,-0.022701258257866064,0.020471647381782532,-0.9876861572265625,0.0092620849609375,-0.00677490234375,0.00982666015625,0.00628662109375,0.01226806640625,-2.246918933930718,1.083836410984841
12.0,2484.375,0.0,423.459228515625,0.0,-0.018293380737304688,0.019517898559570312,4.570703124984199e-05,0.0,-0.018247673706054846,0.019517898559570312,-0.9835205078125,0.0086669921875,-0.00439453125,0.00927734375,0.00390625,0.01171875,-2.7066032925408545,1.0744463869463705
12.5,2446.2890625,0.0,463.30664062500006,0.0,-0.021667242050170902,0.022329568862915043,4.570703124984199e-05,0.0,-0.02162153501892106,0.022329568862915043,-0.9866790771484375,0.0112762451171875,-0.006042480468750002,0.010559082031250002,0.005554199218750002,0.013000488281250002,-3.287504325101991,1.2759050844988256
13.0,2408.203125,0.0,503.15405273437506,0.0,-0.025041103363037116,0.025141239166259773,4.570703124984199e-05,0.0,-0.024995396331787274,0.025141239166259773,-0.989837646484375,0.013885498046875,-0.0076904296875000035,0.011840820312500003,0.0072021484375000035,0.014282226562500003,-3.8684053576631277,1.4773637820512802
13.5,2367.1875,0.0,543.7923278808595,0.0,-0.024382948875427225,0.02466475963592528,4.570703124984199e-05,0.0,-0.024337241844177383,0.02466475963592528,-0.9889984130859375,0.0133056640625,-0.0073242187499999905,0.011474609374999993,0.0068359374999999905,0.013916015624999993,-4.229352190777906,1.6950416120338003
14.0,2320.3125,0.0,586.0123291015626,0.0,-0.01566076278686522,0.017611980438232408,4.570703124984199e-05,0.0,-0.015615055755615377,0.017611980438232408,-0.98016357421875,0.00634765625,-0.002929687499999992,0.007812499999999994,0.002441406249999992,0.010253906249999993,-4.150390624999972,1.9451577068764494
14.5,2273.4375,0.0,628.2323303222656,0.0,-0.0069385766983032105,0.01055920124053954,4.570703124984199e-05,0.0,-0.0068928696670533685,0.01055920124053954,-0.9713287353515625,0.0006103515625,0.0014648437500000056,0.004150390624999995,-0.001953125000000005,0.006591796874999995,-4.071429059222039,2.195273801719099
15.0,2220.703125,0.0,671.2216796875,0.0,-0.007237195968627934,0.006233930587768552,4.570703124984199e-05,0.0,-0.007191488937378092,0.006233930587768552,-0.9716644287109375,0.0049591064453125,0.0012207031249999978,0.0019531249999999987,-0.0017089843749999978,0.004394531249999998,-3.2338673696095794,2.698066907051281
15.5,2165.0390625,0.0,714.595703125,0.0,-0.012046217918395998,0.0032724142074584944,4.570703124984199e-05,0.0,-0.012000510887146156,0.0032724142074584944,-0.9765853881835938,0.00800323486328125,-0.0013427734375000013,0.00048828124999999946,0.0008544921875000013,0.0029296874999999996,-2.01700561807986,3.327198517628229
16.0,2109.375,0.0,757.9697265625,0.0,-0.016855239868164062,0.0003108978271484375,4.570703124984199e-05,0.0,-0.01680953283691422,0.0003108978271484375,-0.98150634765625,0.01104736328125,-0.00390625,0.0009765625,0.00341796875,0.00146484375,-0.8001438665501404,3.9563301282051766
16.5,2047.8515625,0.0,801.4591064453125,0.0,-0.008357286453247063,0.004052400588989261,4.570703124984199e-05,0.0,-0.008311579421997221,0.004052400588989261,-0.972991943359375,0.007293701171875,0.0004882812500000037,0.0008544921875000015,-0.0009765625000000037,0.0032958984375000017,0.6329018475014507,3.959958092038196
17.0,1986.328125,0.0,844.9484863281251,0.0,0.00014066696166993662,0.007793903350830084,4.570703124984199e-05,0.0,0.0001863739929197786,0.007793903350830084,-0.9644775390625,0.0035400390625,0.004882812500000007,0.002685546875000003,-0.005371093750000007,0.0051269531250000035,2.065947561553041,3.963586055871215
17.5,1924.8046874999998,0.0,888.1155090332032,0.0,0.007406473159790052,0.007572889328002908,4.570703124984199e-05,0.0,0.007452180191039894,0.007572889328002908,-0.9508991241455078,0.003732681274414118,0.008544921875000005,0.002563476562499989,-0.009033203125000005,0.00500488281249999,3.3055018711757196,3.7930717557182314
18.0,1863.2812499999998,0.0,930.6378173828126,0.0,0.012207984924316424,0.0005731582641601866,4.570703124984199e-05,0.0,0.012253691955566266,0.0005731582641601866,-0.9271926879882812,0.011817932128906306,0.010742187500000007,0.0014648437500000147,-0.011230468750000007,0.0009765624999999853,4.158073371940577,3.274272927593245
