frame,time_video_s,center_x_mm,center_y_mm,heading_rad,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active,time_log_s,log_x_mm,log_y_mm,position_error_mm,video_speed_true_mm_s,log_speed_mm_s
24,0.8027561293775296,135.6897735595703,46.22043991088867,1.5952878081805641,3.02151619189223,0,False,0.002947833673919136,134.5648600161133,37.043696886229704,9.245433630764976,26.51380458385432,-1.504169852514842
25,0.8362043014349266,135.7154998779297,46.16725540161133,1.5952878081805641,3.051811836590028,0,False,0.006759591173337601,134.5618080627485,37.13377353574315,9.106854529714704,26.779648866077498,46.55163843587109
26,0.8696524734923237,135.72962951660156,45.858402252197266,1.5952878081805641,4.780433649649828,0,False,0.010571348672756066,134.55147567919911,37.43604352047368,8.504362002550609,41.94830527567724,108.13418099017824
27,0.9031006455497208,135.79843139648438,45.858402252197266,1.5976922013415396,5.444615627106274,0,False,0.014383106172174543,134.53327429317716,37.96686472456995,7.992307992438662,47.77650212785756,186.62707910136183
28,0.9365488176071178,135.80136108398438,45.858402252197266,1.5976922013415396,7.92165565160925,0,False,0.01819486367159301,134.50478150705754,38.81145037226197,7.165238963037263,69.51252834287116,275.01998643716774
29,0.9699969896645149,135.82591247558594,46.38761901855469,1.5976922013415396,12.405325814893407,0,False,0.022006621171011473,134.4647191542341,40.05449290509466,6.477756836056917,108.85673402568965,362.88667596225537
30,1.003445161721912,135.8616943359375,46.68607711791992,1.594945926021573,18.061078234829317,0,False,0.02581837867042995,134.4157181685627,41.63034926737808,5.258443797870273,158.48596151062728,450.31488818529317
31,1.036893333779309,135.8693389892578,47.59505844116211,1.5940736643928495,33.52253413565134,0,False,0.0296301361698484,134.35908761464063,43.46416739942719,4.398308767380811,294.1602370403405,523.2033909567351
32,1.070341505836706,135.9410400390625,48.927207946777344,1.5940736643928495,43.245944030849444,0,False,0.03344189366926688,134.29342558918384,45.60770534134677,3.7059048723502483,379.4831588707039,591.8998516234424
33,1.1037896778941032,135.95913696289062,50.48666000366211,1.5940077006153233,51.18973587989,0,False,0.037253651168685356,134.22107233644076,48.005045914805414,3.029732188119664,449.18993234603477,665.4819337175148
34,1.1372378499515001,135.95913696289062,52.351566314697266,1.5937281529466978,58.625749269485475,0,False,0.041065408668103806,134.13978241261313,50.6812301951133,2.469832733608137,514.440949839735,751.2455752226799
35,1.1706860220088973,135.95913696289062,54.40850830078125,1.5937281529466978,68.51086002922058,0,False,0.044877166167522284,134.0489372266161,53.667295514182726,2.0489654529738788,601.1827967564107,814.2901158119744
36,1.2041341940662944,135.95913696289062,56.9346923828125,1.5914116952145914,80.43396841174963,0,False,0.04868892366694076,133.95033271401886,56.93524504970893,2.0088043248972687,705.8080728131031,893.099773443924
37,1.2375823661236913,135.95565795898438,59.78924560546875,1.5914116952145914,88.60601127208136,0,False,0.05250068116635922,133.84408578422367,60.48591358921448,2.22352947558606,777.517748912514,978.5428982624296
38,1.2710305381810885,135.9493408203125,62.86210250854492,1.5914116952145914,127.17584217296103,0,False,0.056312438665777696,133.72686953888635,64.3606065059665,2.680465039326657,1115.968015067733,1064.6979843854176
39,1.3044787102384856,135.9493408203125,70.11009216308594,1.5934616176385576,141.42237634658812,0,False,0.060124196165196174,133.59935869096282,68.52577219993512,2.8341640308741987,1240.981352441311,1124.477178973273
40,1.3379268822958825,135.9493408203125,74.19461059570312,1.5941422068049402,151.95349240483037,0,False,0.06393595366461462,133.4591615652909,73.01506555629844,2.7554163427917877,1333.3918958523866,1228.3180500300105
41,1.3713750543532797,135.94869995117188,78.61769104003906,1.5947631115994032,153.27835989490006,0,False,0.0677477111640331,133.30784713768657,77.80075560505482,2.7643239838025813,1345.017608077748,1305.3461605596601
42,1.4048232264106768,135.9493408203125,83.6552505493164,1.5972856165769072,154.28120366622352,0,False,0.07155946866345157,133.14478867457169,82.89795430036666,2.904997477942581,1353.8175621711114,1367.036957716829
43,1.4382713984680737,135.974609375,88.78279113769531,1.5972856165769072,162.36250791891615,0,False,0.07537122616287004,132.972231546238,88.25560543831347,3.048310579365953,1424.7310069884893,1436.990058937433
44,1.4717195705254709,135.974609375,93.90898132324219,1.5986778642801716,162.36250791891615,0,False,0.07918298366228851,132.7911793712148,93.89472801150004,3.1834619121163357,1424.7310069884893,1520.0092869811087
45,1.505167742582868,135.93588256835938,99.64418029785156,1.5972856165769072,171.88837452945543,0,False,0.08299474116170699,132.60188332394927,99.78277279858776,3.336878607769166,1508.3204864959714,1578.0787797415653
46,1.538615914640265,135.94186401367188,105.40763854980469,1.5947123690079006,179.02824541944202,0,False,0.08680649866112544,132.4038210996867,105.91916814744661,3.574830092530896,1570.9728535556037,1643.4594922686704
47,1.572064086697662,135.94186401367188,111.62051391601562,1.5946593112149239,193.1377859725952,0,False,0.09061825616054392,132.19677546546907,112.32363484196118,3.8105206035897905,1694.784071909523,1711.8086900084988
48,1.6055122587550592,135.94186401367188,118.32785034179688,1.5947123690079006,205.73324755096434,0,False,0.0944300136599624,131.98093836524234,119.03412817736233,4.0234015923591295,1805.309247259712,1802.090350662667
49,1.6389604308124561,135.94186401367188,125.38331604003906,1.5946593112149239,210.62759271961548,0,False,0.09824177115938085,131.7567408012324,126.05261473265745,4.2383035572313945,1848.2571261146259,1895.947877886997
50,1.6724086028698533,135.94186401367188,132.72035217285156,1.5929877278628906,214.80804724121094,776,True,0.10205352865879933,131.52254865432752,133.35389795115475,4.464496444006053,1884.940614541626,1919.9028909917722
51,1.7058567749272504,135.8313751220703,140.2512969970703,1.5874901876060101,215.146313621521,2706,True,0.1058652861582178,131.31359737967085,140.7273932741516,4.5427946679077005,1887.9089020288468,1894.0656909307324
52,1.7393049469846473,135.8313751220703,146.8101348876953,1.5081410008192075,222.1099962728164,2655,True,0.10967704365763625,131.52513233092506,147.97998144602545,4.462316432787719,1949.015217293964,1887.543305796344
53,1.7727531190420445,135.8313751220703,154.6211700439453,1.3476333947157964,222.1099962728164,2723,True,0.11348880115705473,132.61361626409058,155.13216911371455,3.2580810483184814,1949.015217293964,1910.1961400773864
54,1.8062012910994416,136.40414428710938,161.93284606933594,1.2191162191929108,222.1099962728164,2702,True,0.11730055865647321,134.64055096475192,162.06507485364568,1.7685434283793615,1949.015217293964,1895.0964561074397
55,1.8396494631568385,137.93115234375,169.3303985595703,1.068308243218394,214.80804724121094,2789,True,0.12111231615589166,137.53895138991612,168.59866570626193,0.8302135609582856,1884.940614541626,1868.0861523956867
56,1.8730976352142357,140.39703369140625,176.64041137695312,0.9097957518804014,214.80804724121094,2748,True,0.12492407365531014,141.32404686151466,174.74448078958895,2.1104279683650695,1884.940614541626,1923.556845370414
57,1.9065458072716328,143.83033752441406,183.08795166015625,0.8130891375185562,200.15793849471933,2724,True,0.1287358311547286,146.02751649510952,180.60944582434053,3.3121875863904457,1756.3859102911622,1997.7879710501416
58,1.9399939793290297,146.7830810546875,188.40927124023438,0.8130891375185562,199.34622932720296,2507,True,0.13254758865414706,151.27948335561416,186.19407435291023,5.012457571031313,1749.2631623462062,2017.9040613690831
59,1.9734421513864269,151.35302734375,193.54373168945312,0.8130891375185562,195.77748767428534,0,False,0.13635934615356554,156.53817842509534,191.6514072189082,5.519663362760442,1717.947454341854,1959.1385967707024
60,2.006890323443824,155.62796020507812,198.3894805908203,0.8239114632999446,193.82117772474828,0,False,0.14017110365298402,161.50554819901555,196.94490876012824,6.052505960385863,1700.7808345346662,1825.451505422125
61,2.040338495501221,160.36761474609375,203.04443359375,0.8239114632999446,192.54816849577838,0,False,0.1439828611524025,166.08943176060149,201.92338128292099,5.830604448179047,1689.6101785504554,1707.6337876108503
62,2.073786667558618,164.73361206054688,207.6199951171875,0.8250364316861118,179.6557784191685,0,False,0.14779461865182092,170.33381450859508,206.59158101673637,5.693847822091125,1576.4794556282038,1604.9721512881292
63,2.107234839616015,168.61184692382812,211.3232879638672,0.8250364316861118,174.6524768706308,0,False,0.1516063761512394,174.23455520716348,210.89676754839653,5.638862305846924,1532.5754845397853,1458.9951706781217
64,2.140683011673412,173.12423706054688,215.71725463867188,0.8226216101684423,174.30758639313783,0,False,0.15541813365065787,177.84875057178516,214.8628508222784,4.801149216525231,1529.5490705997845,1384.4286433542354
65,2.1741311837308093,177.1529541015625,219.77842712402344,0.8049033061438179,168.61942807069323,0,False,0.15922989115007635,181.40691637830872,218.70261463731612,4.387888735888285,1479.6354813203332,1375.8306096187678
66,2.2075793557882064,181.115966796875,223.6778564453125,0.8001693723863521,165.2553641173981,0,False,0.16304164864949483,185.00247326119475,222.50668261369043,4.059135454881438,1450.1158201301685,1358.7644900834507
67,2.2410275278456036,184.9779052734375,227.5875701904297,0.7998052976665092,163.47564161496183,0,False,0.1668534061489133,188.5936934621553,226.2412087865806,3.858317412479911,1434.4987551712902,1347.2523197308074
68,2.2744756999030002,188.97079467773438,231.28680419921875,0.7949600483595197,163.37081526914372,0,False,0.17066516364833173,192.1713795506716,229.91880230836705,3.4806856655332075,1433.5789039867361,1339.189772750648
69,2.3079238719603974,192.9982147216797,235.01156616210938,0.7949600483595197,161.38799062238394,0,False,0.1744769211477502,195.74517125277353,233.57665976348505,3.0991493278853377,1416.179617711419,1330.6190355996048
