run,motion,target_lateral_mm,target_forward_mm,marker_detection_pct,trajectory_fit_rmse_mm,slow_motion_factor,video_lstart_mm,video_lend_mm,video_body_forward_mm,video_body_lateral_mm,video_marker_turn_angle_deg,video_turn_angle_deg,video_target_residual_mm,video_body_apex_forward_mm,log_lstart_mm,log_lend_mm,log_body_forward_mm,log_body_lateral_mm,log_turn_angle_deg,log_target_residual_mm,log_body_apex_forward_mm,accepted
20260724_225616,long_r90,-90.0,90.0,97.97297297297297,4.397813531487197,4.0,19.192104892939597,29.80563407859469,70.62826634686404,-60.19490720806937,-88.65811511854858,-89.6546950783084,0.0,,22.652443251705666,19.063540825472405,67.328125,-70.93646907806396,-89.94159755688538,0.0,,True
20260724_225709,long_r90,-90.0,90.0,98.63945578231292,3.41651157738863,4.0,20.516151462582798,29.088627502386018,69.13666640686336,-60.913444436633746,-88.93172960754316,-89.31614019571816,0.0,,22.729079791099412,19.31139646434425,67.25390625,-70.68861103057861,-89.9495205763226,0.0,,True
20260724_225837,long_r90,-90.0,90.0,97.94520547945206,3.7296160029138643,4.0,20.772455506534143,28.791541266457102,69.07989576226585,-61.20883732201359,-89.13973500654112,-89.70617459657338,0.0,,23.01818184680499,20.18719349429369,66.935546875,-69.81285953521729,-89.86867162711717,0.0,,True
20260724_230034,long_r180,-90.0,0.0,93.63636363636364,3.8229224892301223,4.0,24.524161888200723,26.857910192547088,2.2745177760210176,-96.68043743829817,-179.6884790614131,-180.51737719465922,6.438178018792488,70.47583811179928,18.40625,17.220198332627756,-1.298828125,-102.81256550550461,-180.5073241397482,12.660587957399107,76.59375,True
20260724_230127,long_r180,-90.0,0.0,86.36363636363636,7.389229342015602,4.0,37.313749374948074,33.35668419546937,-3.973876205005748,-92.0984726550233,-173.96521700016658,-180.4926578111472,1.8117256843805944,57.686250625051926,18.61328125,17.424449737269416,-1.2998046875,-102.87445116043091,-180.49677149748052,12.723856126030713,76.38671875,False
20260724_230229,long_r180,-90.0,0.0,91.74311926605505,4.456040182586617,4.0,24.7169155482688,32.161612469257626,7.37981046962417,-96.80891658669819,-178.86754420116822,-180.55886452865903,6.4955253466978125,70.2830844517312,18.865234375,17.729285989222262,-1.248046875,-102.31345272064209,-180.52505531083355,12.151495036661599,76.134765625,True
20260724_230416,in_r45,-45.0,90.0,97.14285714285714,4.071243651650746,4.0,11.325409697995475,43.639128584721874,48.1917757575704,-13.772262952888747,-41.02259714617674,-45.69159716563021,0.0,,18.018332504437247,31.79057540040884,49.888671875,-22.1408611536026,-45.97642802051118,0.0,,True
20260724_230508,in_r45,-45.0,90.0,98.11320754716981,3.7316044112527726,4.0,13.219701493952584,41.09917411269982,48.1790166846102,-15.485447811007877,-39.05221944271714,-45.900309387117325,0.0,,17.96974898392726,32.13168395967317,49.65625,-21.938144207000732,-45.867336239087734,0.0,,True
20260724_230601,in_r45,-45.0,90.0,100.0,2.874083166580098,4.0,11.447017691693414,42.98333144629308,48.639531640420024,-14.133314862755272,-41.377350665797856,-45.89851452268647,0.0,,17.72368537771307,31.778160468723392,50.15234375,-22.188130378723145,-45.877041937898326,0.0,,True
20260724_230701,in_r135,-90.0,45.0,99.10714285714286,5.82614012564966,4.0,9.041682324913655,7.986810283448719,41.61955651416327,-84.36621678525619,-134.90484933613598,-135.1392727072524,0.0,,2.677017867781975,-5.498837576896667,38.421875,-93.8753809928894,-135.1895449212797,0.0,,True
20260724_230755,in_r135,-90.0,45.0,94.69026548672566,3.721850456328628,4.0,6.46606600747045,9.996918795355125,45.623399399424315,-82.95174733388714,-127.61758940270141,-135.1670219626802,0.0,,2.8828101019018613,-5.679833727005123,38.0859375,-94.00118923187256,-135.21444096080438,0.0,,True
20260724_230846,in_r135,-90.0,45.0,83.51648351648352,14.333243240098342,4.0,24.66784175049988,11.933389477690987,28.796465153177298,-81.58802680302482,-124.1266687398935,-135.17767487212492,0.0,,3.1980823801535427,-5.409040826986749,37.96484375,-93.8124253153801,-135.1846203548881,0.0,,False
20260724_230953,out_r45,-90.0,45.0,99.03846153846155,3.000460712059329,4.0,27.477437652058775,29.454072422705984,46.808652356,-11.344633076452313,-35.44194680969952,-44.039641329196904,0.0,,36.60636562905555,14.856481540869536,48.287109375,-21.37586212158203,-44.667306152862345,0.0,,True
20260724_231048,out_r45,-90.0,45.0,100.0,2.9912521296013805,4.0,31.555702003402985,21.640971238094796,48.27289671869569,-16.852868117767063,-42.897828625407534,-43.75704804428804,0.0,,36.052271281248665,14.732997677738291,48.908203125,-21.48377799987793,-44.55199889929419,0.0,,True
20260724_231145,out_r45,-90.0,45.0,100.0,2.7218351643242475,4.0,32.980392148262105,21.10248695589179,47.27997530184754,-17.180683072100262,-43.46095887888806,-43.924946552352,0.0,,35.97694118398024,15.151213098226135,48.673828125,-21.20225238800049,-44.489010894768334,0.0,,True
20260724_231243,out_r135,-90.0,-45.0,93.10344827586206,5.611017421086135,4.0,5.887394711152201,28.375632197712743,46.16025893620814,-75.55939918066692,-128.59620978157704,-135.46807834174592,0.0,,2.6830213564311913,5.115854779911519,32.787109375,-91.8751312494278,-135.52301183203264,0.0,,True
20260724_231401,out_r135,-90.0,-45.0,98.18181818181819,5.531752457901514,4.0,4.099759469626914,22.894255821157106,44.050341810739695,-79.41359425932323,-134.2152793995504,-135.5034202540212,0.0,,1.1133438584393405,4.402265808917824,33.84765625,-92.37512648105621,-135.52371534151715,0.0,,True
20260724_231454,out_r135,-90.0,-45.0,97.27272727272728,5.822063124355412,4.0,0.9436079876731647,24.823100456963505,48.585833878105475,-78.06530485308812,-135.24934674745427,-135.51498283538027,0.0,,2.204642831593478,4.491582515659966,32.8203125,-92.31277823448181,-135.52779637954623,0.0,,True
20260724_231552,r_v90,-90.0,0.0,95.1923076923077,4.726430458188194,4.0,10.137975291306489,16.8125169034932,53.466707284856554,-46.827129684231586,-81.74551802949024,-89.8809688636234,0.0,,11.316537134839853,3.9835979063998463,52.33984375,-59.65604770183563,-90.24121063501717,0.0,,True
20260724_231641,r_v90,-90.0,0.0,100.0,4.935138497091535,4.0,3.6199080379930826,21.377979417573084,59.96606815555453,-42.26169816925641,-90.15622678517201,-89.85625341430035,0.0,,11.462916892041697,3.8270803742069717,52.193359375,-59.812566220760345,-90.24950931485873,0.0,,True
20260724_231734,r_v90,-90.0,0.0,98.05825242718447,4.6187493063182234,4.0,2.796019062514736,24.35760671958873,60.817562597986864,-39.2820174943678,-82.71487886029755,-89.9387734649089,0.0,,11.68153655311017,4.264461662661827,51.982421875,-59.37521815299988,-90.32713441477593,0.0,,True
