file,turn,start,end,duration_ms,ideal_peak_rad_s,ego_peak_rad_s,peak_error_rad_s,peak_delay_ms,first_over_rad_s,first_under_rad_s,first_error_mean_rad_s,first_rms_rad_s,first_pid_mean_v,second_over_rad_s,second_under_rad_s,second_error_mean_rad_s,second_rms_rad_s,second_pid_mean_v,tracking_rms_rad_s,angle_error_deg,pid_rms_v,saturation_pct,first_saturation_pct,second_saturation_pct,post_peak_pos_rad_s,post_peak_neg_rad_s,post_rms_rad_s,post_angle_deg,post_duration_ms,aggregate_used
20260721_080113_myshell_debug_log_long_l180.csv,1,107,223,117,37.40625,37.9375,0.53125,15,0.59375,-1.55059814453125,-0.25998128255208336,0.5508888407835197,0.036530854966905384,1.375,-0.828125,0.16537984212239584,0.5046697005294654,0.009071773952907987,0.5229299576247909,0.011928460932563709,0.05610806775304466,0.0,0.0,0.0,1.48828125,-0.392822265625,0.7482829436073725,0.7730104295806149,30,True
20260721_080113_myshell_debug_log_long_l180.csv,2,255,370,116,37.625,37.90625,0.28125,14,1.046875,-1.1568603515625,-0.0932861328125,0.5619482351257379,0.012177382575141059,1.630859375,-0.6875,0.12438105193661972,0.5273862404736374,0.0010695457458496094,0.5410560822861655,0.265461585866582,0.055151256519757295,0.0,0.0,0.0,1.5048828125,-0.6015625,0.7477333483202288,0.7720946378166996,30,True
20260721_080113_myshell_debug_log_long_l180.csv,3,402,517,116,37.625,37.90625,0.28125,10,1.484375,-1.40966796875,-0.13465711805555555,0.7815945217455543,0.015445878770616319,1.37890625,-0.6875,0.0886780644806338,0.5386663929417262,0.01103156049486617,0.6438804445933196,0.013554592370160344,0.06596462644082463,0.0,0.0,0.0,1.6279296875,-0.40771484375,0.7727182475771166,0.8903541723517012,30,False
20260721_080113_myshell_debug_log_long_l180.csv,4,549,664,116,37.65625,38.25,0.59375,9,1.0859375,-1.47998046875,-0.17916206691576086,0.6214489159952892,0.02127850573995839,1.5078125,-0.78125,0.18873291015625,0.5838747057343048,-0.00038060801369803294,0.599056872109888,0.28475135147901864,0.06175484001893689,0.0,0.0,0.0,1.794921875,-0.67041015625,0.8190488637772778,0.8249067533095054,30,True
20260721_080113_myshell_debug_log_long_l180.csv,5,696,811,116,37.65625,37.84375,0.1875,12,0.453125,-0.662353515625,-0.11819059952445653,0.3130591676494568,0.016332354234612507,1.52734375,-0.6875,0.13897705078125,0.6402117058939993,0.006417948859078543,0.53497703735873,0.2458920557057416,0.05604619106514844,0.0,0.0,0.0,1.3232421875,-0.373291015625,0.7297056480447843,0.8196183290804614,30,True
20260721_080113_myshell_debug_log_long_l180.csv,6,843,958,116,37.625,37.9375,0.3125,5,0.6328125,-1.345947265625,-0.19276258680555555,0.4647643091758805,0.024803585476345487,1.4921875,-0.65625,0.19238968970070422,0.5794821450078896,0.00038028770769146125,0.5378920570308429,0.2856396039202005,0.056377066220903015,0.0,0.0,0.0,1.7685546875,-0.6259765625,0.8073477806673222,0.9131798995766968,30,True
20260721_080157_myshell_debug_log_long_l180.csv,1,107,222,116,37.5,37.875,0.375,14,1.015625,-1.802490234375,-0.15267280910326086,0.7077041290385907,0.01556739988534347,1.48046875,-0.78125,0.11529017857142858,0.5294758125728494,0.007841689246041434,0.6064523796785211,0.060009495632598435,0.06226340435467614,0.0,0.0,0.0,1.7880859375,-0.481201171875,0.8429322352269876,0.9682143947008847,30,True
20260721_080157_myshell_debug_log_long_l180.csv,2,254,369,116,37.65625,38.03125,0.375,18,0.5859375,-0.75,-0.07078450520833333,0.3101809282838431,0.0067346877521938745,1.50390625,-0.625,0.1102570009903169,0.5140265414686396,0.003737533596200003,0.44614635984677425,0.2660211149633895,0.04627658782280311,0.0,0.0,0.0,1.53515625,-0.27001953125,0.7694942847332309,0.9680513444250181,30,True
20260721_080157_myshell_debug_log_long_l180.csv,3,401,516,116,37.65625,38.0,0.34375,13,0.8125,-1.000640869140625,-0.14035763947860055,0.5000626585543856,0.014616976613583773,1.51171875,-0.9375,0.11701834542410715,0.5840241210432537,0.008659723826817104,0.55225848716825,0.09939859551941502,0.057449369920491246,0.0,0.0,0.0,1.900390625,-0.213623046875,0.7823193516308239,0.9688683443327785,30,True
20260721_080157_myshell_debug_log_long_l180.csv,4,548,663,116,37.65625,38.46875,0.8125,22,0.7265625,-0.96875,-0.11299066958220108,0.4382718206553337,0.013576082561327063,1.46484375,-0.71875,0.15178571428571427,0.5719863485408823,-0.0007867097854614257,0.5230676053102843,0.31096878672130246,0.05380794200655258,0.0,0.0,0.0,1.5205078125,-0.3388671875,0.766965040745449,0.9420059206667919,30,True
20260721_080157_myshell_debug_log_long_l180.csv,5,695,810,116,37.625,38.0,0.375,14,0.75,-0.75,-0.09244249131944444,0.4174345839717896,0.007740896277957493,1.7890625,-0.84375,0.09779035541373239,0.6064538653351298,0.009559322410905865,0.541025129130521,0.1594657925901217,0.05614901426213291,0.0,0.0,0.0,1.4140625,-0.49365234375,0.7283062678798993,0.941676978756364,30,True
20260721_080157_myshell_debug_log_long_l180.csv,6,842,957,116,37.65625,38.1875,0.53125,8,0.734375,-0.90625,-0.12614241890285327,0.4060940029339668,0.015413719674815302,1.5859375,-0.6875,0.1524693080357143,0.6089054240704257,0.0017343665872301373,0.537712064713316,0.27904765174843776,0.055723738729516394,0.0,0.0,0.0,1.935546875,-0.53271484375,0.795567701948789,0.9176959113728825,30,True
