speed_mm_s,direction,cohort,turns,speed_error_mean_mm_s,speed_error_rms_mm_s,turn_fluctuation_rms_mm_s,speed_ripple_rms_mm_s,speed_error_peak_positive_mm_s,speed_error_peak_negative_mm_s,feedback_rms_v,motor_voltage_delta_rms_v,fit_k_alpha,fit_k_omega2,fit_rmse_v,fit_samples,fit_rejected,constrained_k_alpha,constrained_k_omega2,constrained_rmse_v,constrained_samples,constrained_rejected,response_lag_phase_samples,response_voltage_gain_mps2_per_v,response_k_alpha_from_response,response_k_omega2_from_response,response_rmse_mps2,response_condition_number,response_valid,recommended_k_alpha,recommended_k_omega2,recommended_predicted_speed_rms_mm_s,recommended_ff_min_v,recommended_ff_max_v
280,right,baseline,12,-0.2797113168694295,11.897433953526056,12.834054862708983,11.69357664633419,30.546875,-38.96484375000004,0.03467677592483654,0.025340116992223535,-0.0001095293489567689,-0.00010983327147808089,0.01701795019055881,2410,2,-0.00010932410848863272,1.8410250694781896e-14,0.01775823375464381,2411,1,4,31.998123236156406,-8.286914528440423e-05,3.715056257888066e-05,0.8766055261201948,5.735558514582325,True,-0.00011753531683688731,0.0002261348443658732,10.041918604218184,-0.02724576192992224,0.03642768733748054
280,right,old_trial,9,0.5271379376986588,14.62221887860998,16.10539265096105,14.573681401964597,32.34374999999995,-41.461181640625,0.03931164525580533,0.03921912442768588,-0.00017719304340906613,-0.00024404314909970686,0.022866441164715274,1809,0,-0.00017620007476589167,3.5722724673683035e-15,0.025360733230773876,1809,0,4,26.413876579364022,-0.00013720907582244932,1.1486494177328376e-05,0.909744469492819,5.59394447566427,True,-0.00011753531683688731,0.0002261348443658732,10.041918604218184,-0.02724576192992224,0.03642768733748054
280,right,current,3,-5.37701102236215,10.282573296255066,15.945051405026508,8.624339725001784,16.28906250000005,-37.06420898437501,0.04481381809045082,0.028065190057048342,-0.00013184254966843513,6.163591192054544e-05,0.01626179123960935,603,0,-0.00013184254966843513,6.163591192054544e-05,0.01626179123960935,603,0,4,19.847032809933438,-0.00014797842081021263,0.00018857787138371333,0.9346207514815924,5.262334427554804,True,-0.00011753531683688731,0.0002261348443658732,10.041918604218184,-0.02724576192992224,0.03642768733748054
280,left,baseline,12,-0.2710097583372205,10.060889453296184,11.568138690009025,9.716576095701251,25.175781250000007,-39.82666015625,0.030297808130280515,0.020346461199687273,-7.884692395562861e-05,-2.3305200359103062e-05,0.015426765304011618,2412,0,-7.87520991946398e-05,1.0485985467239829e-13,0.015462279916754513,2412,0,4,33.02827863769065,-5.451752683263061e-05,6.879819540945933e-05,0.883443841538747,5.084765222886172,True,-1.7043784542706936e-05,7.937676424834594e-05,7.889562939397609,-0.003629814138517874,0.009508854360118908
280,left,old_trial,6,0.059113004314366245,11.579978448983743,12.751743635209262,11.530515156787544,20.093994140624897,-36.71386718750001,0.03223374244706824,0.028983042658962645,-0.00013458506529122352,-7.679676907071937e-05,0.018508603149799185,1206,0,-0.00013427259274746193,1.4324773864036877e-18,0.018827654797602834,1206,0,4,26.96190926508143,-9.425800924583206e-05,0.00010221778897244184,0.8803673517379257,5.323033270965618,True,-1.7043784542706936e-05,7.937676424834594e-05,7.889562939397609,-0.003629814138517874,0.009508854360118908
280,left,current,3,-3.204175654928484,9.681832229517505,12.342519653070418,8.776989002199354,20.478515625,-35.841064453125,0.03925773847559384,0.024366266788542545,-5.590945842603428e-05,2.807164481635047e-06,0.015458801395559541,603,0,-5.590945842603428e-05,2.807164481635047e-06,0.015458801395559541,603,0,15,21.10192523415675,-1.626264219233672e-05,0.00021661915856053675,0.9349766642576012,6.154358262153784,True,-1.7043784542706936e-05,7.937676424834594e-05,7.889562939397609,-0.003629814138517874,0.009508854360118908
300,right,baseline,12,-1.4475135107340895,16.91955388658362,18.260521292809965,16.785336191206547,36.24267578125,-53.1591796875,0.049244743054139166,0.038395210860053514,-0.0001332125254133286,-0.00020972766842364046,0.023135641112331722,2412,0,-0.00013221361838865368,5.40188850048044e-23,0.025570172594055963,2412,0,4,29.825139030346712,-0.0001277748499186625,8.18224122347924e-05,0.982598396756807,6.361344116888769,True,-0.00020727343934871627,0.00032865655161160766,14.66920528889329,-0.05617284258645809,0.07039143827012687
300,right,old_trial,6,1.0371988527415017,21.276196059692953,21.97228096060349,21.236734331869755,40.13671874999993,-52.70751953125,0.05858410526507738,0.0735619705666355,-0.00023735053500028046,-0.00045751956998087314,0.031044173994448487,1206,0,-0.00023517142570194538,8.565981823418055e-24,0.03909006263011386,1206,0,4,19.654766561872616,-0.00019201853363366673,2.9368056246290954e-05,0.9309169293532453,8.508847808762525,True,-0.00020727343934871627,0.00032865655161160766,14.66920528889329,-0.05617284258645809,0.07039143827012687
300,right,current,3,-6.590509367226369,12.208493645114734,20.525090314475072,10.018335865917432,13.983154296875119,-39.749755859375,0.05622252927431176,0.04743223708805771,-0.00019008958097068855,6.645748115990996e-05,0.019276470014826033,603,0,-0.00019008958097068855,6.645748115990996e-05,0.019276470014826033,603,0,4,10.763944980936659,-0.00029167549705841686,0.000726790484434837,1.013863141216156,6.423786853620375,True,-0.00020727343934871627,0.00032865655161160766,14.66920528889329,-0.05617284258645809,0.07039143827012687
300,left,baseline,12,-1.2000377142607277,11.916479733151068,12.949145459860908,11.590709930149263,24.559326171875004,-52.39013671874997,0.036913886426162605,0.024870745221140512,-8.278283126737073e-05,-4.818658920718604e-05,0.017527898589598655,2411,1,-8.279632100045567e-05,1.4471609095069982e-13,0.01766483721992902,2410,2,4,29.73234023300109,-8.242885865209434e-05,0.00012340279410742296,0.9445174399656586,5.475390030551184,True,-5.3109677873042816e-05,9.600986744331521e-05,10.678235341159441,-0.014272420670760897,0.01859345980553735
300,left,old_trial,6,0.7914407454912938,15.669602379221722,15.982647804746168,15.573512321907263,25.150146484375135,-45.520019531249986,0.04259743376054144,0.04777130013778807,-0.00016796352393714752,-0.00019221229386982456,0.025405530312998123,1206,0,-0.0001670480404817763,1.3840386615082434e-21,0.02729538707429886,1206,0,4,18.27061351696903,-0.00017987083348263482,0.00024888202445401663,0.9202054902770206,6.837103260370834,True,-5.3109677873042816e-05,9.600986744331521e-05,10.678235341159441,-0.014272420670760897,0.01859345980553735
300,left,current,3,-4.200670232820273,12.428577963393815,14.191433166781117,11.365167535946489,21.401367187499996,-42.77343750000002,0.046512769818206096,0.03066671908995676,-9.99114772721041e-05,-6.061079012507754e-06,0.018254566386860478,602,1,-9.988599919485007e-05,1.1551905157693437e-14,0.01825727169740001,602,1,4,20.579648168930508,-0.00014047044987443744,0.0002705346958542076,1.0827444549775629,5.449049450352137,True,-5.3109677873042816e-05,9.600986744331521e-05,10.678235341159441,-0.014272420670760897,0.01859345980553735
320,right,baseline,56,-6.911861525415612,21.402726142372245,23.66223680682257,18.50784815166755,37.41455078124993,-73.280029296875,0.05675303639507353,0.0673575512321731,-0.00012978425989392908,-0.00027894700978956053,0.028026476644688044,11202,54,-0.00012360833309553188,8.117793655560358e-24,0.032822675122081875,11208,48,0,-10.32592670397122,,,4.186737439063194,6.999037979341368,False,-0.00039273284261737265,0.00035521283685222916,15.36136209912832,-0.12127979923092723,0.35
320,right,old_trial,8,-7.631038836578825,26.19336529850262,25.472320492235866,21.674840615015103,36.69921874999994,-55.18554687499998,0.0774277558761662,0.10619425781884394,-0.0001868684406383197,-0.0007527994557157797,0.03301230835504247,1600,8,-8.976599656722803e-06,1.7855976157035845e-28,0.06016269354429984,1608,0,0,-7.869093944982218,,,4.453148671791953,11.672548462514973,False,-0.00039273284261737265,0.00035521283685222916,15.36136209912832,-0.12127979923092723,0.35
320,right,current,4,-7.191631260202893,15.656080967531349,23.820520673965994,13.135848452441778,27.5341796875,-45.20019531250002,0.06301519637430249,0.0787060585658675,-0.00025134084880499885,3.2253348420656467e-05,0.02150540271614934,800,4,-0.00025134084880499885,3.2253348420656467e-05,0.02150540271614934,800,4,0,9.277365428533797,-0.0007004035386603052,0.000894893584252706,4.711541359382731,5.423845740623567,True,-0.00039273284261737265,0.00035521283685222916,15.36136209912832,-0.12127979923092723,0.35
320,left,baseline,44,-4.4455160333365145,14.886658991255706,15.65643651744841,12.606886161723825,28.603515625000075,-52.459716796874986,0.03939680242371341,0.040448673478459596,-8.32605657373134e-05,-0.00013645953421218812,0.020400114409674413,8801,43,-7.820256033743722e-05,4.4507137842116876e-26,0.021844810219938646,8801,43,0,-0.9466125052866553,,,4.2737118058143615,5.5198048774869735,False,-0.0001836443517025251,0.00020642340464884857,9.398013282558697,-0.052996536473092,0.35
320,left,old_trial,8,-5.837479017267181,20.35817276347973,20.332088761551383,17.555972409172035,31.335449218750025,-55.419921875,0.05965581219835866,0.06732025263932326,-0.00013533205705109876,-0.0005493272688253221,0.028706937376297512,1600,8,-6.35425861915405e-06,6.435473412317008e-34,0.046518066127822985,1608,0,0,-3.802378439258929,,,4.187907191213078,8.483312547254931,False,-0.0001836443517025251,0.00020642340464884857,9.398013282558697,-0.052996536473092,0.35
320,left,current,4,-7.51295554697217,15.18584469582224,18.41679593556391,12.28238754468369,21.42822265625,-46.83837890625002,0.05681358428505999,0.057686586004011754,-0.00013224621377598415,-9.753009970221011e-05,0.022591761874891356,800,4,-0.00012921947224009197,1.4343982598723677e-13,0.023260137882201017,800,4,0,10.347309746972513,-0.0006116054054948319,0.0010794247698298247,4.6797390816215065,5.0037517601347865,True,-0.0001836443517025251,0.00020642340464884857,9.398013282558697,-0.052996536473092,0.35
350,right,baseline,40,-6.194229353719682,24.278673959688078,27.190956378797512,23.20233351385898,38.227539062499986,-80.00732421875003,0.06949767030626283,0.07815062261112377,-0.0001341153268737593,-0.00024116957220658578,0.03160757590948025,8020,20,-0.00012274192523232532,5.890940104990692e-22,0.03560740481375308,8020,20,0,-0.40728281302792047,,,3.070119578270835,11.08154410486062,False,-0.0004393185556959198,0.00036570013469067105,23.433076106720595,-0.16632787942543115,0.35
