motion,video,Lstart_mm,Lend_mm,angular_ms,angle_error_deg,omega_rmse_rad_s,turn_speed_mean_m_s,turn_speed_min_m_s,beta_peak_deg,lateral_accel_mean_m_s2,encoder_gyro_x_mm,encoder_gyro_y_mm,encoder_gyro_target_error_mm,slip_model_x_mm,slip_model_y_mm,slip_model_target_error_mm
long_r90,PXL_20260723_011408272_longturn90.mp4,14.95,30.5,70,-0.055952909680744456,1.1069700348432876,1.6033063616071428,1.55078125,11.288499528090194,-29.235013253348214,-281.87479529720383,264.5747892354933,13.055407890595127,-266.02224024507325,269.39037629873866,4.024203489518703
long_r180,PXL_20260723_011712359__longturn180.mp4,8.8,30.1,129,-0.6714349161689335,0.5404553833402339,1.5897831879844961,1.5234375,12.23969899266285,-32.13155962330426,-97.8779505087408,-21.165055679985528,22.583659715711644,-90.20207113118346,0.9610158501569686,0.9820306544658796
in_r45,PXL_20260723_011852390_turnin45.mp4,7.52,39.62,37,0.3916703677652112,2.0008740474513824,1.6121463260135136,1.546875,10.029559060273444,-17.84305716849662,-142.16186000581246,275.9374354212755,9.302976842101291,-144.23857568863568,263.9019416160995,11.069670130952826
in_r135,PXL_20260723_012136776__turnin135.mp4,8.23,14.76,86,-0.5595290968074446,0.782679569028567,1.5584915515988371,1.45703125,13.442686550798856,-32.402198968931685,-186.32024966358588,32.20842480959374,14.267794211505663,-170.00785050065284,46.875679274980484,10.166672236277469
r_v90,PXL_20260723_012323009_turnv90.mp4,4.79,14.95,54,-0.11190581936148891,1.4593228198157613,1.586986400462963,1.533203125,14.477815379892627,-28.18370677806713,-228.2609839276053,34.16639834980195,11.31375008082086,-215.80455874778212,50.34075236447657,10.63389748124611
