motion,radius_mm,lstart_mm,lend_mm,right_start_mm,left_start_mm,right_end_mm,left_end_mm,max_target_error_mm
long_turn90,52.0,15.948746339398234,34.556823741175194,15.735396020157708,16.16209665863876,34.55861531212285,34.55503217022754,0.21336057793621888
long_turn180,48.0,11.835177584802672,32.46079200629032,11.625671796434801,12.044683373170542,32.57513716741623,32.34644684516441,0.35196364362715643
turn_in45,55.0,23.46669928515854,25.21561337552213,23.78200812549474,23.15139044482234,25.522562576683434,24.908664174360823,1.0760088538684305
turn_out45,60.0,22.04227693235472,20.467837377923544,21.833618324489713,22.25093554021973,20.671823629551564,20.263851126295528,1.489945864613513
turn_in135,42.0,18.16042029774612,30.547181303111223,18.718932332840346,17.601908262651897,30.863965987532275,30.23039661869017,0.4010846220456797
turn_out135,39.3,17.9758343137203,43.6408224603837,18.03352241112764,17.91814621631296,43.79505249642787,43.486592424339534,0.6058670145584036
turn_v90,40.0,7.366829925094272,25.221374214931082,6.8528674144940425,7.880792435694502,24.926471734104826,25.51627669575734,0.9582612939973644
