motion,side,radius_mm,slip_k,velocity_source,velocity_proxy,source_turns,source_files,velocity_mean_m_s,velocity_min_m_s,velocity_max_m_s,translation_speed_mean_m_s,translation_loss_mean_pct,translation_loss_peak_pct,final_angle_rad,constant_start_mm,constant_end_mm,variable_start_mm,variable_end_mm,start_change_mm,end_change_mm,predicted_end_lateral_mm,predicted_end_forward_mm,ideal_start_mm,ideal_end_mm,ideal_end_lateral_mm,ideal_end_forward_mm,target_end_lateral_mm,target_end_forward_mm,prediction_target_error_mm,prediction_ideal_separation_mm,adopted_start_mm,adopted_end_mm,adopted_end_lateral_mm,adopted_end_forward_mm,adopted_target_error_mm
long_turn90,R,52.0,239.34375,long_r90,False,1,20260723_024736_myshell_debug_log_long_r90.csv,1.604411511777052,1.5439453125,1.6684814453125,1.4793477812504354,7.913923349744037,13.713975824221524,1.5723238945007332,16.96405745041517,34.7632394404379,15.735396020157708,34.55861531212285,-1.2286614302574606,-0.2046241283150465,-90.0,90.0,20.864109436797747,20.20775819395859,-90.0,90.0,-90.0,90.0,0.0,0.0,15.948746339398234,34.556823741175194,-89.99820843114261,90.2133530559854,0.21336057793621888
long_turn90,L,52.0,260.464286,long_l90,False,1,20260723_024833_myshell_debug_log_long_l90.csv,1.5935048147932216,1.5336181640625,1.681318359375,1.4723656084657069,7.732027799436418,13.294457837889496,1.5700340576171874,16.96293515069401,33.21856429875376,16.16209665863876,34.55503217022754,-0.8008384920552487,1.3364678714737792,90.0,90.0,21.329646156902,20.542814848993764,90.0,90.0,90.0,90.0,0.0,0.0,15.948746339398234,34.556823741175194,90.00179157042716,89.78665104641864,0.2133564756899977
long_turn180,R,48.0,239.34375,long_r180,False,2,20260723_025656_myshell_debug_log_long_r180.csv,1.5899488154928483,1.5240234375,1.67875,1.438284956412038,9.666155332741297,16.040238046019407,3.153377136230469,12.774037967350083,31.974356073157654,11.625671796434801,32.57513716741623,-1.1483661709152813,0.6007810942585756,-89.86623652879656,0.002261894129460984,16.25913495214165,17.683458738282233,-101.09930371767685,0.0012278723893963672,-90.0,0.0,0.1337825937610931,11.233067236471957,11.835177584802672,32.46079200629032,-89.86758399617435,0.3261049039283961,0.35196364362715643
long_turn180,L,48.0,260.464286,long_l180,False,4,20260723_003011_myshell_debug_log_long_l180.csv;20260723_003052_myshell_debug_log_long_l180.csv,1.5871219464202424,1.5156982421875,1.6774414062499998,1.437998499050426,9.532248453452704,15.67823898132531,3.1473767089843747,12.701925311967926,30.168360940546112,12.044683373170542,32.34644684516441,-0.6572419387973838,2.178085904618296,90.13117259574197,0.0005410784814401381,16.640877241230626,17.59870762837394,101.1063359683514,0.0002943841728466623,90.0,0.0,0.131173711694112,10.975163375381966,11.835177584802672,32.46079200629032,90.13051122068367,-0.32330795829201264,0.3486562986944192
turn_in45,R,55.0,239.34375,in_r45,False,2,20260723_003605_myshell_debug_log_in_r45.csv;20260723_003707_myshell_debug_log_in_r45.csv,1.6137493805387129,1.549990234375,1.7133544921875,1.521954732071791,5.867807192694731,11.234549551924655,0.7789529724121096,26.544357184388616,24.09216902591215,23.78200812549474,25.522562576683434,-2.762349058893875,1.430393550771285,-44.623103570781765,89.63493511201196,13.133695767487126,31.47225100369315,-44.81461901183232,89.81221384502126,-45.0,90.0,0.5247125792271198,0.26097109674860963,23.46669928515854,25.21561337552213,-44.4057646313271,89.1029607699652,1.0760088538684305
turn_in45,L,55.0,260.464286,in_l45,False,2,20260722_022437_myshell_debug_log_in_l45.csv;20260722_022522_myshell_debug_log_in_l45.csv,1.644561615749378,1.5776953125,1.7347802734375,1.5457479277277724,6.115147906367416,11.665579130876836,0.7874848022460941,25.667745198362738,24.279563952405336,23.15139044482234,24.908664174360823,-2.516354753540398,0.6291002219554862,44.38789923686095,89.41042664420834,12.257431450667667,31.113794977073393,44.68602610463295,89.68733367835165,45.0,90.0,0.8498612157845771,0.4068871278937007,23.46669928515854,25.21561337552213,44.606843631226084,89.94080185847864,0.39758816665876084
turn_out45,R,60.0,239.34375,out_r45,False,2,20260723_015659_myshell_debug_log_out_r45.csv;20260723_015737_myshell_debug_log_out_r45.csv,1.5731657629819653,1.4883544921875,1.673828125,1.4945085424877669,4.9373381785594495,9.672994229610477,1.5574492421938346,21.487793187747176,20.610100763268413,21.833618324489713,20.671823629551564,0.3458251367425369,0.06172286628315149,-88.6158222400074,44.95939455786066,30.238541007108658,11.063336361075315,-89.85644010105462,44.9981759930067,-90.0,45.0,1.3847732208522276,1.2412238625088332,22.04227693235472,20.467837377923544,-88.55952815071704,45.10186239002958,1.4440689370937945
turn_out45,L,60.0,260.464286,out_l45,False,2,20260723_015926_myshell_debug_log_out_l45.csv;20260723_020011_myshell_debug_log_out_l45.csv,1.5703915238261816,1.49310546875,1.6689453125,1.4921176053862897,4.9517970338919985,9.34350957089184,1.5583837591005731,22.08977326315704,20.32281748224756,22.25093554021973,20.263851126295528,0.16116227706269015,-0.05896635595203392,88.46557725387368,44.95547023632437,30.50058270649773,10.882299241310733,89.77123410493677,44.996056619088705,90.0,45.0,1.5350687488457506,1.3062875132197658,22.04227693235472,20.467837377923544,88.5219142835217,44.812379920526276,1.489945864613513
turn_in135,R,42.0,239.34375,in_r135,False,2,20260723_003246_myshell_debug_log_in_r135.csv;20260723_003326_myshell_debug_log_in_r135.csv,1.5589490171214238,1.453447265625,1.7197265625,1.384158863992338,11.429261998052011,19.929040844412725,2.373241485595704,17.739506488349328,28.87573800984268,18.718932332840346,30.863965987532275,0.9794258444910184,1.9882279776895935,-90.0,45.0,13.812169879540797,8.214724951086838,-90.0,45.0,-90.0,45.0,0.0,0.0,18.16042029774612,30.547181303111223,-89.77985030020614,44.66927436916296,0.39729753738462165
turn_in135,L,42.0,260.464286,in_l135,False,2,20260723_003413_myshell_debug_log_in_l135.csv;20260723_003455_myshell_debug_log_in_l135.csv,1.558308652052239,1.4440087890625,1.7212109375,1.386299944850393,11.257502018462082,19.343386151892794,2.361023223876953,16.046243340725425,25.569417520429507,17.601908262651897,30.23039661869017,1.5556649219264713,4.660979098260661,90.0,45.0,13.022698081721138,8.018829734935562,90.0,45.0,90.0,45.0,0.0,0.0,18.16042029774612,30.547181303111223,90.22291635202922,45.333432413000764,0.4010846220456797
turn_out135,R,39.3,239.34375,out_r135,False,2,20260723_020111_myshell_debug_log_out_r135.csv;20260723_020149_myshell_debug_log_out_r135.csv,1.5577590562810943,1.4841796875000002,1.6221191406250002,1.3663452707396135,12.363954541446338,21.61836859903248,3.154280212957995,18.337572948818114,44.07206915660805,18.03352241112764,43.79505249642787,-0.30405053769047186,-0.27701666018018045,-89.44436257890946,-44.99647511133157,13.415651211746624,21.34138335763877,-89.72923719608944,-44.9982823173834,-90.0,-45.0,0.5556486016865949,0.2848803494577225,17.9758343137203,43.6408224603837,-89.40552768427895,-44.88304913351682,0.6058670145584036
turn_out135,L,39.3,260.464286,out_l135,False,2,20260723_020232_myshell_debug_log_out_l135.csv;20260723_020330_myshell_debug_log_out_l135.csv,1.5511125524720153,1.4765625,1.6118359375,1.3659297632645098,12.063742705207508,20.90853667287219,3.1434677205873913,16.572012560657107,40.684125743734484,17.91814621631296,43.486592424339534,1.3461336556558514,2.8024666806050504,89.91845977348804,-44.99992355328374,13.534132922619378,21.594848670229375,89.95950823566767,-44.99996203760339,90.0,-45.0,0.08154026234764289,0.041048480219802175,17.9758343137203,43.6408224603837,89.95896222687735,-45.11336167333065,0.12056105425547507
turn_v90,R,40.0,239.34375,r_v90,False,8,20260721_040839_myshell_debug_log_r_v90.csv;20260721_041024_myshell_debug_log_r_v90.csv,1.588562121035448,1.5076220703125,1.6727001953125002,1.3878355209174142,12.505623615046934,22.949484538674312,1.5657546010017396,7.454078746904692,25.040959650954683,6.8528674144940425,24.926471734104826,-0.6012113324106494,-0.11448791684985693,-89.07353217137666,0.733631970343903,11.227166018061169,10.839345876221591,-89.85852676121411,0.08639480218117102,-90.0,0.0,1.18176076486941,1.0174145949048417,7.366829925094272,25.221374214931082,-89.64825969664203,0.8913716770052466,0.9582612939973644
