speed_mm_s,turn_count,fit_k_alpha,fit_k_omega2,fit_rmse_v,fit_samples,fit_rejected,response_lag_ms,response_voltage_gain_mps2_per_v,response_speed_term_per_s,response_alpha_mag_term,response_omega2_term,response_rmse_mps2,response_r_squared,response_condition_number,response_valid_positive_gain,measured_ripple_rms_mm_s,recommended_k_alpha,recommended_k_omega2,recommended_predicted_ripple_rms_mm_s,recommended_ff_min_v,recommended_ff_max_v
1600,61,-5.958835037986387e-06,6.253003417289536e-29,0.0892825128373032,12256,5,20,-0.9356208897582897,-23.490163138988283,-0.0021482333238713736,-0.0009715727562955578,3.2630981362922133,0.30505429225532965,10.316065910281171,False,56.491740981007716,-7.850214529622871e-17,1.0170178000184734e-14,56.491740981028485,-1.1673357724810933e-13,1.6274688928495272e-11
1800,65,-2.0054006983566254e-05,6.259486832232321e-22,0.13961552508070682,11467,1598,20,0.3145899579345512,-17.929339992178107,-0.0025425779162331352,0.000896971781248368,4.809553634489662,0.42756827760084626,9.934367500829188,True,96.07602545010839,-0.00010033681919566707,0.0006285905138815433,95.44906220075913,-0.35,0.35
2000,48,-8.801088044722738e-05,1.0621541296612688e-22,0.3010816898066828,9648,0,8,5.64161691291372,-27.56103690433978,0.0009105521775483183,-0.010198914767283185,4.611029221817637,0.7445969429105436,8.567199966469166,True,145.96461146922763,-0.0009763869915888893,0.0005463669563197331,121.42356618229567,-0.65,0.65
