file,turn,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_ripple_rms_mm_s,feedback_rms_v,required_voltage_rms_v,motor_voltage_delta_rms_v,saturation_pct
20260721_081458_myshell_debug_log_long_r180.csv,1,87.44971431902985,130.31841552332145,96.6200646347804,0.6647821166772379,0.664542985381051,0.7796150865262126,0.0
20260721_081458_myshell_debug_log_long_r180.csv,2,-2.566756063432832,172.46895517825888,172.44985434494026,0.6353533144605829,0.6356089316217521,0.5890421706153409,0.0
20260721_081458_myshell_debug_log_long_r180.csv,3,-2.1450365360696515,170.53099160886748,170.51750032580983,0.6380545185706115,0.638313966434778,0.5617433580220575,0.0
20260721_081458_myshell_debug_log_long_r180.csv,4,-11.093701414800979,185.74130773733845,185.40971708326373,0.7644492036554976,0.7647319678411527,0.5049445322795563,0.0
20260721_081458_myshell_debug_log_long_r180.csv,5,0.44419018190298154,175.62983028985101,175.62926858221604,0.652278667190614,0.6525324309811975,0.5859060035878719,0.0
20260721_081458_myshell_debug_log_long_r180.csv,6,-4.767908504353227,185.36058530762665,185.29925427286548,0.7398497580922777,0.740122817238226,0.546262086472369,0.0
20260721_081535_myshell_debug_log_long_r180.csv,1,90.18360346703979,138.3619267470439,104.93302835072504,0.675399372151582,0.6751687959502746,0.8031950928196753,0.0
20260721_081535_myshell_debug_log_long_r180.csv,2,-4.57211015236318,179.11668450150918,179.05832143625113,0.6734385266705538,0.6736992118084882,0.5664900362681757,0.0
20260721_081535_myshell_debug_log_long_r180.csv,3,-5.831924362562182,177.96346504011373,177.86788228152136,0.6747133223401732,0.6749775007423359,0.5558684242567483,0.0
20260721_081535_myshell_debug_log_long_r180.csv,4,-6.696983830845778,178.33488056331825,178.20909077009057,0.7142256709128794,0.7145022671509142,0.5208165647791727,0.0
20260721_081535_myshell_debug_log_long_r180.csv,5,-4.173347131529844,183.25721435044844,183.20968802223854,0.730029801817234,0.730301839621748,0.5496211585635984,0.0
20260721_081535_myshell_debug_log_long_r180.csv,6,-6.207123561878131,184.08092663415647,183.97624620471328,0.7379764415915997,0.7382512258118809,0.5370542637110012,0.0
20260721_083329_myshell_debug_log_long_r180.csv,1,80.2264313199627,116.26870782212399,84.15540467664417,0.6056343999346933,0.6053892314259095,0.7704230924868428,0.0
20260721_083329_myshell_debug_log_long_r180.csv,2,-5.0319690609452685,169.95512545342163,169.88061677324453,0.6212457527514162,0.6215028068363606,0.5886820931643396,0.0
20260721_083329_myshell_debug_log_long_r180.csv,3,1.0736114350124486,168.8506465648926,168.84723333199418,0.588978845200291,0.589217240171953,0.6103862306131701,0.0
20260721_083329_myshell_debug_log_long_r180.csv,4,-7.427097908893041,165.19657327729743,165.02953080952878,0.6249120518814365,0.6251786657547526,0.5269851936450336,0.0
20260721_083329_myshell_debug_log_long_r180.csv,5,-0.40179959577115665,173.8682811294965,173.86781686100068,0.6319279342834627,0.6321774516246951,0.6063876087940488,0.0
20260721_083329_myshell_debug_log_long_r180.csv,6,-5.968084382773632,170.58042953523758,170.47599511141223,0.6542910381948497,0.6545591013070835,0.5440254499844474,0.0
20260721_083408_myshell_debug_log_long_r180.csv,1,78.35468652829601,121.43774020977715,92.77751800037439,0.5992573455009425,0.5990286905545998,0.8117903000318626,0.0
20260721_083408_myshell_debug_log_long_r180.csv,2,0.5029782726990032,169.425387754448,169.4246411493979,0.5836060825576895,0.5838411318284952,0.6419087863336578,0.0
20260721_083408_myshell_debug_log_long_r180.csv,3,-4.5772115982587085,179.47005117232337,179.41167298083238,0.6817688160461584,0.6820328835872583,0.5577753671036968,0.0
20260721_083408_myshell_debug_log_long_r180.csv,4,-3.3034291433457676,161.13131243420003,161.09744629466564,0.5759308190974246,0.576180136521453,0.6046093282503386,0.0
20260721_083408_myshell_debug_log_long_r180.csv,5,-1.7506461831467697,179.28679233671286,179.27824503918214,0.626732252624089,0.6269743469806903,0.5941013684277757,0.0
20260721_083408_myshell_debug_log_long_r180.csv,6,-7.482363572761173,175.62972350439813,175.47026532605562,0.6464486091139906,0.6467089396411543,0.5632845224433045,0.0
