speed_mm_s,total_accepted,adopted_lstart_mm,adopted_lend_mm,lstart_min_mm,lstart_max_mm,lend_min_mm,lend_max_mm,target_residual_median_mm
1400,3,11.124127027921517,26.313889154415733,10.779201860279997,15.177072986278645,22.862422505353802,27.53883161531793,6.735875532158713
1600,3,13.116785149467063,27.383844076497667,8.821397935389342,15.53115908735046,26.543922991878315,32.13280563297965,0.9815636733986575
1800,3,7.52472107964978,37.676787260517514,5.677584791690293,8.38273724236086,33.89129165913556,38.335523037084585,2.5434746809615434
2000,2,2.4103393300922704,38.01975563668792,0.9979454911965178,3.822733168988023,37.43074635819723,38.6087649151786,0.1746569045173534
