file,turn,start,end,duration_ms,ideal_peak_rad_s,ego_peak_rad_s,peak_error_rad_s,peak_delay_ms,first_over_rad_s,first_under_rad_s,first_error_mean_rad_s,first_rms_rad_s,first_pid_mean_v,second_over_rad_s,second_under_rad_s,second_error_mean_rad_s,second_rms_rad_s,second_pid_mean_v,tracking_rms_rad_s,angle_error_deg,pid_rms_v,saturation_pct,first_saturation_pct,second_saturation_pct,post_peak_pos_rad_s,post_peak_neg_rad_s,post_rms_rad_s,post_angle_deg,post_duration_ms,aggregate_used
20260721_081458_myshell_debug_log_long_r180.csv,1,92,201,110,40.03125,41.1875,1.15625,12,0.90625,-1.4150390625,-0.23192223837209303,0.5884118295933528,0.030928157096685366,1.453125,0.1875,0.7373593458488806,0.7819761181361744,-0.10210293442455691,0.7125972354531283,2.2591966459519988,0.09385507143260495,0.0,0.0,0.0,1.6083984375,-0.4296875,0.6969072843492564,0.5456392241113067,27,True
20260721_081458_myshell_debug_log_long_r180.csv,2,229,338,110,40.125,41.46875,1.34375,15,0.59375,-1.0625,-0.39635946584302323,0.6120965358424603,0.055347353913063224,1.390625,0.046875,0.8635436100746269,0.9052272450048637,-0.11126116852262127,0.8034737634276443,2.3384679307421936,0.10257076372787091,0.0,0.0,0.0,1.7236328125,-0.370849609375,0.7315553391339028,0.6084940126275923,28,True
20260721_081458_myshell_debug_log_long_r180.csv,3,367,476,110,40.125,41.5625,1.4375,13,0.453125,-1.21875,-0.3640434797420058,0.6027992397528154,0.0499931158021439,1.4375,0.03125,0.778023335471082,0.8418526338898713,-0.09889642516178872,0.7574403075175604,2.08978872072298,0.09407307130397344,0.0,0.0,0.0,1.7314453125,-0.49609375,0.7950189373508733,0.7432294934030388,27,True
20260721_081458_myshell_debug_log_long_r180.csv,4,504,613,110,40.15625,41.6875,1.53125,18,0.484375,-1.4375,-0.4225214177911932,0.6932919294838559,0.05842408266934482,1.53125,0.15625,0.8972315932765151,0.95271788504433,-0.11086024660052675,0.8584080037400535,2.32771797796978,0.10688069432242599,0.0,0.0,0.0,1.9248046875,-0.56494140625,0.8137646070914508,0.6633704844951428,27,True
20260721_081458_myshell_debug_log_long_r180.csv,5,641,750,110,40.15625,41.625,1.46875,7,0.625,-1.53125,-0.36951793323863635,0.6731218861282232,0.05267931114543568,1.609375,0.25,0.8478504527698864,0.8950350147924747,-0.107335292931759,0.8135661227316843,2.2746046784553338,0.10212837470739897,0.0,0.0,0.0,2.041015625,-0.2626953125,0.7863552572778253,0.72462952225526,27,True
20260721_081458_myshell_debug_log_long_r180.csv,6,778,887,110,40.15625,41.625,1.46875,17,0.5078125,-1.34033203125,-0.3737460049715909,0.6090502969051987,0.05321719429709695,1.46875,0.21875,0.8415286902225378,0.8800493384980438,-0.10578430060184363,0.7829872339819028,2.240039768500054,0.09942627754988559,0.0,0.0,0.0,1.755859375,-0.365966796875,0.7461642073990054,0.718123247976446,30,True
20260721_081535_myshell_debug_log_long_r180.csv,1,92,201,110,40.09375,41.5,1.40625,12,0.796875,-1.513671875,-0.24459696924963661,0.6361304421548251,0.03170177548430687,1.40625,-0.28125,0.7251687121035447,0.801884408955891,-0.10003830069926248,0.741513868886606,2.1811720619306283,0.09447767347248723,0.0,0.0,0.0,2.126953125,-0.52783203125,0.8826176267662843,0.728033032839434,27,True
20260721_081535_myshell_debug_log_long_r180.csv,2,229,338,110,40.15625,41.5,1.34375,20,0.515625,-1.3206787109375,-0.34000743519176135,0.5665623874168779,0.049154054034839974,1.4375,0.1875,0.8233069217566288,0.8693438492722937,-0.10685360070430872,0.7627925094642357,2.2561891770566587,0.09789987974597197,0.0,0.0,0.0,1.9619140625,-0.5869140625,0.9726282186256757,0.7728014804335259,27,True
20260721_081535_myshell_debug_log_long_r180.csv,3,366,475,110,40.15625,41.375,1.21875,11,0.359375,-1.125,-0.32993334393168605,0.5206165111175253,0.0459620010021121,1.5439453125,-0.265625,0.7552107625932836,0.8306566609923252,-0.09729232361067587,0.7254099120001267,2.0862531962425277,0.09155454471327454,0.0,0.0,0.0,2.212890625,-0.1817626953125,0.9425419197601476,0.8605018743576767,27,True
20260721_081535_myshell_debug_log_long_r180.csv,4,503,612,110,40.15625,41.53125,1.375,15,0.2890625,-1.06640625,-0.35019985465116277,0.49867444592440374,0.050053130748660066,1.375,-0.390625,0.7959530958488806,0.8775707076698129,-0.10239638143510961,0.7525218811442744,2.192724589251274,0.09555622820773743,0.0,0.0,0.0,2.201171875,-0.49365234375,0.8848673228381714,0.7715936844222142,27,True
20260721_081535_myshell_debug_log_long_r180.csv,5,640,749,110,40.15625,41.53125,1.375,15,0.7421875,-1.33544921875,-0.37542582667151164,0.5724647079398935,0.05278990989507631,1.484375,-0.15625,0.7738638351212687,0.8809510800075446,-0.09606432558885261,0.7751175462677269,2.045778260202219,0.09473260670554436,0.0,0.0,0.0,2.197265625,-0.444580078125,1.013804787856544,0.912973573222249,27,True
20260721_081535_myshell_debug_log_long_r180.csv,6,777,886,110,40.1875,41.53125,1.34375,9,0.421875,-1.313720703125,-0.4222866324491279,0.5945115851860783,0.05929605350937954,1.65234375,0.140625,0.8630079582555971,0.9107945128383695,-0.10796003199335355,0.8021432555171647,2.2725344207971463,0.10139235603921504,0.0,0.0,0.0,2.4140625,-0.447021484375,0.9413241092868663,0.8432960267817676,30,True
