motion,turns,wheel_x_mm,wheel_y_mm,wheel_angle_deg,vo_x_mm,vo_y_mm,vo_angle_deg,angle_difference_deg,endpoint_separation_mm,endpoint_separation_std_mm,calibrated_endpoint_separation_mm,encoder_to_vo_distance_ratio,effective_tread_mm
long_r90,12,75.31325718312458,41.02300667260558,113.91310215946852,68.53696784837082,70.81840763027269,90.5456960604676,23.367406099000917,30.5691256104093,0.8763101854410423,9.026261407179444,0.9612240010684946,35.22605654172252
long_l90,13,75.95357285618297,41.165386320202906,113.22577306414526,68.54492595896593,70.46345830159238,90.53642833300151,22.68934473114375,30.224227229388973,0.7595687630854403,8.58130197072904,0.968123249374099,35.01714146072436
long_r180,15,41.563238946126035,-23.706380819804757,227.39581395348824,99.20688705832795,3.09213196314712,180.70367092119213,46.692143032296116,63.56994740045275,0.6641316239692927,11.670455393957544,0.9614404916414772,35.23494840223946
long_l180,10,40.30477511278589,-23.469561675446855,228.3127325581394,99.37514157471193,3.360077462412106,180.5095813369519,47.803151221187505,64.8794665401493,0.5678927383264413,13.062772901671618,0.9609667612677617,35.41504587575751
in_r45,2,33.120641020177544,50.224067426043604,55.576495016611325,22.946001869074305,59.5209381669846,44.253829449945385,11.32266556666594,13.797207220333682,0.19450860713242868,6.465204917879335,0.964316091872072,35.16380079722448
in_l45,2,32.469973844598755,50.49955442987388,54.17304817275752,23.215688187531974,58.65665485398285,45.119555599395426,9.053492573362092,12.337619737453236,0.2807301378996243,5.143853864983601,0.9706601791016063,33.6200286244869
in_r135,1,67.84988464638985,2.573977706394539,170.65913621262456,84.0436303260473,41.95669194279615,135.73745051144064,34.92168570118392,42.58210398469637,0.0,11.823486341801484,0.9431039562056257,35.203665576072794
in_l135,2,68.63143212428803,2.032265029365383,168.97500000000002,83.86945824374013,41.34116918535119,135.70185987099657,33.27314012900345,42.16161057738007,0.30234923949171133,11.405642626324186,0.9455975000278114,34.86541906738177
r_v90,8,59.633771825576076,30.31779954556768,111.71436877076417,53.71466366248353,55.0491708749267,89.71113039058986,22.00323838017431,25.434312962330214,1.0028344698353724,8.228254879344409,0.9566591631977331,34.867705459744954
l_v90,8,60.096866753532574,30.003050680890397,110.66178363787381,53.81014163945612,54.13323917691586,89.9654089623699,20.696374675503904,24.940974270092468,0.7369239055697498,7.660481555969572,0.9629553444784972,34.44200316336798
