video,log_stem,motion,target_lateral_mm,target_forward_mm
PXL_20260724_170306635_turn90.mp4,20260725_020325_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_170401693_turn90.mp4,20260725_020418_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_170451266_turn90.mp4,20260725_020509_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_170633772_turn180.mp4,20260725_020652_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_170736552_turn180.mp4,20260725_020754_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_170829261_turn180.mp4,20260725_020846_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_170930391_turnin45.mp4,20260725_020948_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_171020631_turnin45.mp4,20260725_021040_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_171112883_turnin45.mp4,20260725_021131_myshell_debug_log_in_r45,in_r45,-45,90
PXL_20260724_171224416_turnin135.mp4,20260725_021244_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_171317918_turnin135.mp4,20260725_021336_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_171455575_turnin135.mp4,20260725_021514_myshell_debug_log_in_r135,in_r135,-90,45
PXL_20260724_171955021_turnout45.mp4,20260725_022015_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_172055214_turnout45.mp4,20260725_022114_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_172200923_turnout45.mp4,20260725_022220_myshell_debug_log_out_r45,out_r45,-90,45
PXL_20260724_172305883_turnout135.mp4,20260725_022327_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_172403462_turnout135.mp4,20260725_022420_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_172458393_turnout135.mp4,20260725_022516_myshell_debug_log_out_r135,out_r135,-90,-45
PXL_20260724_172559296_turnv90.mp4,20260725_022620_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260724_172710041_turnv90.mp4,20260725_022729_myshell_debug_log_r_v90,r_v90,-90,0
PXL_20260724_172806543_turnv90.mp4,20260725_022831_myshell_debug_log_r_v90,r_v90,-90,0
