motion,total_runs,accepted_runs,adopted_lstart_mm,adopted_lend_mm,video_lstart_median_raw_mm,video_lend_median_raw_mm,video_lstart_min_mm,video_lstart_max_mm,video_lend_min_mm,video_lend_max_mm,log_lstart_median_mm,log_lend_median_mm,trajectory_fit_rmse_median_mm,marker_detection_min_pct
long_r90,3,2,11.380605629395323,30.601925115998917,11.380605629395323,30.601925115998917,10.933424891845567,11.82778636694508,29.89077138606158,31.313078845936257,20.930532270903356,16.24869750679734,4.234097850424097,97.53086419753086
long_r180,3,3,22.51329899269747,32.384657210667804,22.51329899269747,32.384657210667804,22.154938081333412,25.50323475620948,28.338550560786196,36.35287362389256,12.78515625,14.70094980951369,7.482514349602171,96.07843137254902
in_r45,3,3,1.327119585748104,46.17518350751169,1.327119585748104,46.17518350751169,1.300850285707277,4.486543633066489,44.52065151197271,47.055081998745585,15.131317422190836,31.726431884616932,3.411834488876372,100.0
in_r135,3,3,22.852070195164536,34.81082364486972,22.852070195164536,34.81082364486972,19.02056740498907,24.125578361740104,33.65394386704277,37.84162185051492,16.59034935973638,6.579046514361304,10.296477381375343,100.0
out_r45,3,3,22.658805037182045,25.996415287561998,22.658805037182045,25.996415287561998,21.07685750766823,24.318496045496733,25.080574900624416,26.25228068585711,31.059236969445568,16.392449704211582,1.557946754056671,98.4251968503937
out_r135,3,3,15.607827251095387,46.64613017994469,15.607827251095387,46.64613017994469,15.194895648920742,16.98549119972172,44.85902754974146,48.761325916082,13.832217665758346,24.483993165216607,6.979883608894104,98.125
r_v90,3,3,0.0,28.643999345316217,-5.050520722111227,28.643999345316217,-5.289102956193028,-4.632250470584451,28.340731316893926,29.350576196707582,11.536822447147662,5.589164286564906,6.847729097822204,98.4375
