frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,136.09486389160156,164.4873046875,137.66603088378906,109.88993072509766,136.8553466796875,137.19732666015625,1.6013110615534882,54.617225646972656,2.6002352813839513,0,False
1,0.033497470940943956,True,136.04764556884766,164.4960174560547,137.64092254638672,109.888427734375,136.8442840576172,137.1911392211914,1.5999792175285183,54.62935256958008,2.996740432061068,0,False
2,0.06699494188188791,True,136.00042724609375,164.4873046875,137.61581420898438,109.88692474365234,136.83322143554688,137.18495178222656,1.5994154232565831,54.617225646972656,2.6002352813839513,0,False
3,0.10049241282283188,True,135.99464416503906,164.48297119140625,137.4187774658203,109.8355712890625,136.67059326171875,137.17779541015625,1.5986473735035485,54.59205627441406,2.465230512838324,0,False
4,0.13398988376377582,True,135.8578338623047,164.3209686279297,137.34849548339844,109.79383087158203,136.6383056640625,137.05740356445312,1.598769317521014,54.59205627441406,2.6002352813839513,0,False
5,0.1674873547047198,True,135.8459014892578,164.187255859375,137.34652709960938,109.74844360351562,136.58340454101562,136.9678497314453,1.5983359455922934,54.70115661621094,3.03513988762748,0,False
6,0.20098482564566375,True,135.8186492919922,164.17787170410156,137.31825256347656,109.49002075195312,136.57937622070312,136.83395385742188,1.5983359455922934,54.549476623535156,3.2728510265573445,0,False
7,0.23448229658660769,True,135.8183135986328,164.15904235839844,137.31825256347656,109.46586608886719,136.56845092773438,136.8124542236328,1.5983359455922934,54.540035247802734,3.2728510265573445,0,False
8,0.26797976752755165,True,135.7955322265625,163.98023986816406,137.31283569335938,109.46014404296875,136.53285217285156,136.72018432617188,1.598769317521014,54.561100006103516,3.03513988762748,0,False
9,0.3014772384684956,True,135.633056640625,163.88119506835938,137.27017211914062,109.3597183227539,136.48025512695312,136.61170959472656,1.5978373733099556,54.540035247802734,2.85060604699916,0,False
10,0.3349747094094396,True,135.5955047607422,163.83128356933594,137.14895629882812,109.34221649169922,136.37222290039062,136.5955047607422,1.5992719542814113,54.540035247802734,2.5377972306454066,0,False
11,0.36847218035038354,True,135.54725646972656,163.78297424316406,137.07083129882812,109.29365539550781,136.2750244140625,136.50909423828125,1.5992719542814113,54.561100006103516,2.5377972306454066,0,False
12,0.4019696512913275,True,135.38552856445312,163.7491912841797,137.00279235839844,109.23522186279297,136.21498107910156,136.48712158203125,1.5992719542814113,54.561100006103516,2.5377972306454066,0,False
13,0.43546712223227146,True,135.36575317382812,163.6805877685547,136.9398193359375,109.12676239013672,136.1626739501953,136.43797302246094,1.5989973042038148,54.55388641357422,2.5377972306454066,0,False
14,0.46896459317321537,True,135.359130859375,163.6312255859375,136.8643798828125,109.12181854248047,136.0965576171875,136.36512756347656,1.5989973042038148,54.55388641357422,2.5377972306454066,0,False
15,0.5024620641141594,True,135.32875061035156,163.59774780273438,136.85284423828125,109.12171173095703,136.08370971679688,136.3597869873047,1.5989973042038148,54.54166793823242,2.4651194909952623,0,False
16,0.5359595350551033,True,135.3145751953125,163.59774780273438,136.85284423828125,109.09902954101562,136.08370971679688,136.35458374023438,1.5989973042038148,54.54166793823242,1.9847673413090834,0,False
17,0.5694570059960473,True,135.28684997558594,163.59774780273438,136.76666259765625,109.06488037109375,135.99513244628906,136.32479858398438,1.5989779977853247,54.55388641357422,1.7035253544477982,0,False
18,0.6029544769369912,True,135.22360229492188,163.584716796875,136.52169799804688,108.90081024169922,135.90426635742188,136.2374267578125,1.5967705752277426,54.690834045410156,1.6586831763691507,0,False
