motion,video,log,video_body_start_s,video_body_end_s,video_body_center_samples,trajectory_gate,video_log_fit_rmse_px,video_log_fit_rmse_mm,matched_log_arc_start_mm,matched_log_arc_end_mm,log_start_ms,log_end_ms,turn_angle_deg,angle_error_deg,mean_speed_m_s,min_speed_m_s,endpoint_lateral_mm,endpoint_forward_mm,turn_path_length_mm,video_duration_s,fps
long_r90,PXL_20260723_011408272_longturn90.mp4,20260723_101617_myshell_debug_log_long_r90.csv,34.547629618242375,35.15491217012554,10,blue illumination near body centre,1.2348954059731725,1.7442025508095658,0.0,118.1275751335144,232,462,-90.36068747318679,-0.26638392778191644,1.325873833198052,0.64697265625,-258.9326905111387,68.87623573098689,304.61865234375006,43.89303333333333,29.640239035655622
long_r180,PXL_20260723_011712359__longturn180.mp4,20260723_101802_myshell_debug_log_long_r180.csv,45.12620749713978,46.19270575408843,17,blue illumination near body centre,1.3255399503262393,1.8722315682574002,0.0,214.08996006550797,111,251,-180.67613133617937,-0.6855612773349264,1.5986328125,1.5234375,-99.25974756765102,9.546129331243284,223.72558593749994,55.02464444444445,30.00473727125906
in_r45,PXL_20260723_011852390_turnin45.mp4,20260723_102035_myshell_debug_log_in_r45.csv,22.84850215860032,23.184509543285614,6,blue illumination near body centre,2.665973222866438,3.765498902353726,0.0,128.44634259778687,84,156,-44.265376731680746,0.661606437877829,1.5672757919520548,1.244140625,-23.899280901899143,105.79444820999157,113.16699218749999,32.86152222222222,29.761250662290955
in_r135,PXL_20260723_012136776__turnin135.mp4,20260723_102154_myshell_debug_log_in_r135.csv,33.79458806404658,34.52780397865114,12,blue illumination near body centre,19.452087109018432,27.474699306523206,0.0,266.75217864620356,88,206,-135.5988120966489,-0.6562950642131966,1.5564190519957983,1.306640625,-86.64937988727843,81.32694020420088,183.90722656250006,45.79266666666667,30.00480426269126
r_v90,PXL_20260723_012323009_turnv90.mp4,20260723_102414_myshell_debug_log_r_v90.csv,31.128373257467995,31.528309530583215,7,blue illumination near body centre,1.1670012375644498,1.6483068327181494,9.07939709085563,89.03320312499994,164,220,-89.96622186416413,0.037306602529639576,1.5899122807017543,1.533203125,-55.02052496029007,51.766876750780675,89.03320312499999,46.8592,30.004780277939016
out_r45,PXL_20260723_015415798_turnout45.mp4,20260723_105431_myshell_debug_log_out_r45.csv,32.24735831727681,32.64961226718048,7,blue illumination near body centre,1.1154639073872785,1.5755139934848565,0.0,84.0322676997775,173,247,-44.62348234775124,0.3307618792189544,1.6025130208333334,1.501953125,-61.639289590979416,95.94720815026547,118.59765624999999,46.39328888888889,29.831900974183046
out_r135,PXL_20260723_015553139_turnout135.mp4,20260723_105610_myshell_debug_log_out_r135.csv,24.99577760293732,25.66233167234898,11,blue illumination near body centre,14.45116044162936,20.41124356162339,0.0,266.38142332729217,166,296,-135.54500189927305,-0.6126844702871495,1.5575500954198473,1.4404296875,-132.00795409797493,-16.122552123583613,202.46679687500009,42.35951111111111,30.00506773239435
