frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,130.51800537109375,78.14362335205078,132.09231567382812,23.294187545776367,131.35226440429688,50.71890640258789,1.6012066395492919,54.80949401855469,5.419414116539579,0,False
1,0.03330890680167877,True,130.65541076660156,78.03036880493164,132.08251190185547,23.208375930786133,131.39251708984375,50.6193733215332,1.597678368204075,54.767974853515625,5.823469164051403,0,False
2,0.06661781360335754,True,130.74346923828125,77.9171142578125,132.09231567382812,23.1225643157959,131.428466796875,50.519840240478516,1.5958103429162926,54.774810791015625,5.419414116539579,0,False
3,0.0999267204050363,True,130.79281616210938,77.5853042602539,132.11346435546875,22.827627182006836,131.43276977539062,50.20646667480469,1.5941500968588582,54.774810791015625,4.32224243952481,0,False
4,0.13323562720671508,True,130.79281616210938,77.51779174804688,132.11346435546875,22.799884796142578,131.43276977539062,50.158836364746094,1.5941500968588582,54.755855560302734,3.2250707625100405,0,False
5,0.16654453400839386,True,130.74346923828125,77.14481353759766,132.1275634765625,22.399654388427734,131.48524475097656,49.77223205566406,1.5958103429162926,54.72602081298828,4.502516862943606,0,False
6,0.1998534408100726,True,130.74346923828125,76.8466567993164,132.23233032226562,22.307064056396484,131.48524475097656,49.57685852050781,1.5966315866542191,54.570953369140625,4.854147902416016,0,False
7,0.2331623476117514,True,130.699951171875,76.84510803222656,132.27053833007812,22.2967586517334,131.48524475097656,49.5709342956543,1.5995809451152114,54.56947708129883,4.502516862943606,0,False
8,0.26647125441343017,True,130.4265594482422,76.61473083496094,132.27053833007812,22.259719848632812,131.32943725585938,49.42892837524414,1.6029413708924587,54.56947708129883,4.502516862943606,0,False
9,0.2997801612151089,True,130.699951171875,76.59813690185547,132.27053833007812,22.159975051879883,131.48524475097656,49.387351989746094,1.5995809451152114,54.570953369140625,4.502516862943606,0,False
10,0.3330890680167877,True,130.8673858642578,76.58545684814453,132.20166015625,21.834625244140625,131.53451538085938,49.21004104614258,1.5966315866542191,54.6900520324707,4.502516862943606,0,False
11,0.3663979748184665,True,130.64134216308594,76.4128189086914,132.17340087890625,21.73428726196289,131.40737915039062,49.07349395751953,1.5988174916611975,54.6900520324707,4.854147902416016,0,False
12,0.3997068816201452,True,130.85166931152344,76.4126968383789,132.17340087890625,21.56761932373047,131.52755737304688,48.99021911621094,1.5955751193083383,54.6900520324707,4.88518852153939,0,False
13,0.43301578842182403,True,130.8673858642578,76.10428619384766,132.1861572265625,21.443544387817383,131.53451538085938,48.7739143371582,1.595119534015045,54.6900520324707,4.88518852153939,0,False
14,0.4663246952235028,True,130.85166931152344,75.85845947265625,132.20166015625,21.31587028503418,131.52755737304688,48.58716583251953,1.5955751193083383,54.70962905883789,4.88518852153939,0,False
15,0.49963360202518153,True,130.6878662109375,75.81160736083984,132.2034454345703,20.901180267333984,131.52755737304688,48.349891662597656,1.5988174916611975,54.68220901489258,4.88518852153939,0,False
16,0.5329425088268603,True,130.85166931152344,75.59571075439453,132.29017639160156,20.888179779052734,131.54351806640625,48.248443603515625,1.6006077841596047,54.6637077331543,5.0066628804046625,0,False
17,0.5662514156285391,True,130.6957244873047,75.3372573852539,132.5450897216797,20.737464904785156,131.64404296875,48.03736114501953,1.6012411712970487,54.6637077331543,5.0066628804046625,0,False
18,0.5995603224302178,True,130.6957244873047,75.30802917480469,132.60020446777344,20.669652938842773,131.71310424804688,47.98884201049805,1.6038937842475025,54.63327407836914,4.865180939551867,0,False
19,0.6328692292318966,True,130.88111877441406,75.12287139892578,132.7744140625,20.613300323486328,131.73507690429688,47.8585319519043,1.6058066587685487,54.56544494628906,4.865180939551867,0,False
20,0.6661781360335755,True,130.97471618652344,75.10177612304688,132.7802276611328,20.594194412231445,131.8775177001953,47.85753631591797,1.605271560118838,54.56544494628906,4.654679953438362,0,False
21,0.6994870428352542,True,130.9748077392578,74.92543029785156,132.92108154296875,20.3021183013916,131.950439453125,47.57099533081055,1.605271560118838,54.56544494628906,4.654679953438362,0,False
22,0.732795949636933,True,131.03977966308594,74.84501647949219,132.9261474609375,20.296972274780273,131.98043823242188,47.567386627197266,1.6038937842475025,54.580474853515625,4.865180939551867,0,False
23,0.7661048564386117,True,131.5098419189453,74.83642578125,133.0380859375,20.296972274780273,132.27395629882812,47.55143356323242,1.5986218208824616,54.580474853515625,4.865180939551867,0,False
24,0.7994137632402905,True,131.65188598632812,74.83642578125,133.12217712402344,20.10462760925293,132.38702392578125,47.47129821777344,1.5986218208824616,54.580474853515625,4.865180939551867,0,False
25,0.8327226700419693,True,131.67066955566406,74.7784652709961,133.162109375,20.01716423034668,132.4163818359375,47.47052764892578,1.5981784348814847,54.56299591064453,4.621327861682601,0,False
26,0.8660315768436481,True,131.75035095214844,74.51847076416016,133.34030151367188,19.939664840698242,132.54531860351562,47.18486022949219,1.5976534320245155,54.56299591064453,4.865180939551867,0,False
