phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
0.0,0.12176513671875,0.0,147.52197265625,0.0,0.01482674852013588,0.0,-0.008639037609100342,0.022846068309902573,0.0002835449218749897,0.0,-0.008355492687225352,0.022846068309902573,0.028167724609375,0.022877907035413574,0.00433349609375,0.009529110715329588,0.4577992401478861,0.6850324726737731,0.0107421875,0.0107421875,0.0107421875
0.5,0.22576812744140626,2.7755575615628914e-17,184.82879638671875,0.0,0.05549735164269804,6.938893903907228e-18,-0.007282885015010834,0.022062632108222662,0.0002835449218749897,0.0,-0.006999340093135844,0.022062632108222662,0.029555435180664065,0.022109310352955238,0.0049359130859375,0.008421666932764853,0.6641967702301005,0.7831927304298032,0.0101397705078125,0.0101397705078125,0.0101397705078125
1.0,0.35146728515625003,5.551115123125783e-17,220.55908203125,0.0,0.13324782073497768,2.7755575615628914e-17,-0.007737898826599121,0.02191139357247429,0.0002835449218749897,0.0,-0.007454353904724131,0.02191139357247429,0.029105415344238283,0.021948780611697166,0.004637451171875,0.008527102304029453,0.8694130779702021,0.8498136466694286,0.010438232421874999,0.010438232421874999,0.010438232421874999
1.5,0.49842041015625005,5.551115123125783e-17,254.7900390625,0.0,0.254759019613266,5.551115123125783e-17,-0.009441890716552735,0.023730182839531096,0.0002835449218749897,0.0,-0.009158345794677746,0.023730182839531096,0.024509057998657227,0.02239816670818325,0.0037223815917968753,0.01029853892553317,1.0301354326012406,0.8670991781856067,0.011353302001953124,0.011353302001953124,0.011353302001953124
2.0,0.6743261718750001,1.1102230246251565e-16,287.1484375,0.0,0.46390478610992425,1.1102230246251565e-16,-0.010867924690246583,0.02099580678550032,0.0002835449218749897,0.0,-0.010584379768371593,0.02099580678550032,0.0054240036010742175,0.02335754776655726,0.0029693603515625003,0.009014398725305581,0.966944839015154,0.9262740398846714,0.012106323242187501,0.012106323242187501,0.012106323242187501
2.5,0.87432861328125,0.0,316.68701171875,0.0,0.7862127721309662,0.0,-0.011754977703094483,0.019124577317245015,0.0002835449218749897,0.0,-0.011471432781219494,0.019124577317245015,-0.01312432289123535,0.01580625373733131,0.0024887084960937503,0.007511540756209589,1.1027560645328032,0.9134618119573129,0.01258697509765625,0.01258697509765625,0.01258697509765625
3.0,1.0919140625,0.0,344.248046875,0.0,1.2122627639770507,0.0,-0.013963699340820312,0.01959401011145829,0.0002835449218749897,0.0,-0.013680154418945323,0.01959401011145829,-0.02721710205078125,0.019598467625613687,0.0013433837890625007,0.007318188817256409,1.3110013663907756,0.8299257167429812,0.013732299804687499,0.013732299804687499,0.013732299804687499
3.5,1.3287499999999997,2.220446049250313e-16,369.7216796875,0.0,1.7724352645874022,0.0,-0.01928359270095825,0.02293671881721671,0.0002835449218749897,0.0,-0.01900004777908326,0.02293671881721671,-0.03248825073242187,0.022954208358915044,-0.0013674926757812483,0.009301278965556877,1.527930662070684,0.7687033046926506,0.01644317626953125,0.01644317626953125,0.01644317626953125
4.0,1.5887109375,0.0,393.9453125,0.0,2.5558981704711914,0.0,-0.022301087379455565,0.02702032001188447,0.0002835449218749897,0.0,-0.022017542457580575,0.02702032001188447,-0.035513305664062494,0.027085588797620717,-0.0028479003906249994,0.010989421154772064,1.6269212558275064,0.7956198672244053,0.017923583984375,0.017923583984375,0.017923583984375
4.5,1.8628125000000002,2.220446049250313e-16,415.68359375,0.0,3.507365112304687,4.440892098500626e-16,-0.02223117470741272,0.028012358242496448,0.0002835449218749897,0.0,-0.021947629785537732,0.028012358242496448,-0.035449104309082026,0.028094559688630717,-0.002771453857421875,0.011359232956365171,1.8138937072042494,0.8972439000332749,0.017847137451171877,0.017847137451171877,0.017847137451171877
5.0,2.1505859375000003,4.440892098500626e-16,434.765625,0.0,4.633950042724607,8.881784197001252e-16,-0.019826635718345635,0.025077475575341516,0.0002835449218749897,0.0,-0.019543090796470645,0.025077475575341516,-0.03304557800292968,0.025166209823792987,-0.0015274047851562469,0.00993037197427364,2.1096360711228814,0.8861849476909174,0.01660308837890625,0.01660308837890625,0.01660308837890625
5.5,2.45626953125,0.0,451.2890625,0.0,6.068035964965819,0.0,-0.025845552980899807,0.024152664260936336,0.0002835449218749897,0.0,-0.025562008059024817,0.024152664260936336,-0.0391073989868164,0.024210035342176778,-0.004561004638671874,0.009461611098036626,2.463854454058319,0.7574082562142427,0.01963668823242187,0.01963668823242187,0.01963668823242187
6.0,2.7727343749999993,4.440892098500626e-16,466.015625,0.0,7.739941101074217,8.881784197001252e-16,-0.030718008279800414,0.021533069869572003,0.0002835449218749897,0.0,-0.030434463357925424,0.021533069869572003,-0.043923339843750006,0.02158258235452159,-0.006920776367187499,0.007641773916622532,2.647374293187294,0.8275342601096531,0.0219964599609375,0.0219964599609375,0.0219964599609375
6.5,3.0981640625,0.0,479.462890625,0.0,9.629910888671875,0.0,-0.03452781260013581,0.020852969389408414,0.0002835449218749897,0.0,-0.03424426767826082,0.020852969389408414,-0.047647705078125005,0.020872137336960674,-0.008700103759765624,0.006821318783691908,2.8008611719091583,0.9576947970940678,0.023775787353515626,0.023775787353515626,0.023775787353515626
