video,log_stem,motion,target_lateral_mm,target_forward_mm
PXL_20260724_154434571_turm90r.mp4,20260725_004453_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_154531156_turn90r.mp4,20260725_004549_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_154622426_turn90r.mp4,20260725_004640_myshell_debug_log_long_r90,long_r90,-90,90
PXL_20260724_154716903_turn90l.mp4,20260725_004738_myshell_debug_log_long_l90,long_l90,90,90
PXL_20260724_154815290_turn90l.mp4,20260725_004835_myshell_debug_log_long_l90,long_l90,90,90
PXL_20260724_154917161_turn90l.mp4,20260725_004938_myshell_debug_log_long_l90,long_l90,90,90
PXL_20260724_155026946_turn180r.mp4,20260725_005051_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_155128168_turn180r.mp4,20260725_005145_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_155240142_turn180r.mp4,20260725_005301_myshell_debug_log_long_r180,long_r180,-90,0
PXL_20260724_155345908_turn180l.mp4,20260725_005405_myshell_debug_log_long_l180,long_l180,90,0
PXL_20260724_155520131_turn180l.mp4,20260725_005539_myshell_debug_log_long_l180,long_l180,90,0
PXL_20260724_155637677_turn180l.mp4,20260725_005657_myshell_debug_log_long_l180,long_l180,90,0
