run,motion,target_lateral_mm,target_forward_mm,marker_detection_pct,trajectory_fit_rmse_mm,slow_motion_factor,video_lstart_mm,video_lend_mm,video_body_forward_mm,video_body_lateral_mm,video_marker_turn_angle_deg,video_turn_angle_deg,video_target_residual_mm,video_body_apex_forward_mm,log_lstart_mm,log_lend_mm,log_body_forward_mm,log_body_lateral_mm,log_turn_angle_deg,log_target_residual_mm,log_body_apex_forward_mm,accepted
20260724_011348,long_r90,-90.0,90.0,100.0,2.7045833476960777,8.45,18.52623080735932,26.553875031493853,71.64602414489741,-63.44668368320794,-89.65496585997035,-90.37168025284458,0.0,,21.91819982208927,19.812004698596212,68.1171875,-70.18802690505981,-90.10233922881247,0.0,,True
20260724_011546,long_r90,-90.0,90.0,100.0,3.087947944844754,8.425,18.211182545361908,26.027239870402585,71.8427885837925,-63.9728160880073,-90.99545043218326,-90.11881091301488,0.0,,22.87679637554443,20.125062748908668,67.25390625,-69.8753616809845,-90.37211121046046,0.0,,True
20260724_011701,long_r90,-90.0,90.0,100.0,2.6009436327178688,8.325,18.423663031206427,26.314602176879195,71.76312433617287,-63.68606076227273,-89.7216006411174,-90.40670262154971,0.0,,22.745645160398897,19.750389092249584,67.337890625,-70.24978756904602,-90.24233761623022,0.0,,True
20260724_011851,long_r180,-90.0,0.0,99.3006993006993,6.485020281892245,8.0,22.18393031110037,24.73365726765788,2.5620545803466457,-89.17294894075528,-180.57133686218475,-180.71904459511185,1.1375323592567583,72.81606968889963,17.158203125,17.42083424217933,0.146484375,-98.8141508102417,-180.76505449788945,8.582307282127164,77.841796875,True
20260724_012001,long_r180,-90.0,0.0,98.61111111111111,6.070726648173928,7.875,23.3947181049202,26.36819361592869,2.981652882625061,-89.32060354691633,-180.29365085192615,-180.5768854090483,0.9449293338549465,71.6052818950798,16.712890625,18.67570652371599,1.849609375,-98.87550830841064,-180.74084147728178,8.634757658596934,78.287109375,True
20260724_012107,long_r180,-90.0,0.0,99.3006993006993,4.782205762522941,7.95,22.682932408992528,26.334805566862638,3.6404364624985273,-91.22423728488911,-180.83229581659472,-180.6036319927059,0.9468481556393921,72.31706759100747,16.796875,18.65439813213725,1.74609375,-98.62639045715332,-180.7506974402541,8.382704379283378,78.203125,True
20260724_014022,in_r45,-45.0,90.0,100.0,1.4083670454611439,8.45,7.603164324591283,39.864937821886755,54.05960763983365,-16.960478342120105,-43.491697334995116,-44.69744335170702,0.0,,14.562075651766751,31.85629999793365,52.763671875,-22.62362575531006,-44.62116139482974,0.0,,True
20260724_014131,in_r45,-45.0,90.0,100.0,2.312910211808982,8.525,6.439051747245493,39.696550570099326,55.2164244306649,-17.207841097470535,-44.965352528534396,-44.4362481752036,0.0,,14.449540105361528,32.37921655700161,52.41796875,-22.34384149312973,-44.40398186979085,0.0,,True
20260724_014239,in_r45,-45.0,90.0,99.24242424242425,1.9235420696644876,8.375,6.459749383359796,41.00479335165577,54.3150337614243,-16.23752831244162,-43.45447215806447,-44.542786012292595,0.0,,13.944652966092402,32.01574843864853,53.216796875,-22.56322717666626,-44.491565385517916,0.0,,True
20260724_014355,in_r135,-90.0,45.0,100.0,5.859667455448346,8.325,15.952214988692184,20.56396588001916,43.745776750086726,-75.61786762815127,-135.95714977435824,-135.6223046689029,0.0,,12.60246944609249,6.971395706255043,37.380859375,-85.12488031387329,-135.62886951888407,0.0,,True
20260724_014501,in_r135,-90.0,45.0,97.9020979020979,6.317644861264276,8.35,17.434546827834094,20.586922077184724,42.285750802911245,-75.60784247326521,-136.23417690139613,-135.64578019300478,0.0,,12.893258022824988,6.702860909891088,36.8984375,-85.31299686431885,-135.6328071229406,0.0,,True
20260724_014614,in_r135,-90.0,45.0,100.0,5.161589762475545,8.3,18.58626619427415,19.835889157398707,40.59803026451349,-76.13391790613397,-137.08434506871154,-135.64995764598422,0.0,,13.304165144572202,7.062041457412928,36.74609375,-85.0636739730835,-135.65363578481455,0.0,,True
20260724_014747,out_r45,-90.0,45.0,100.0,2.2240965292797332,8.5,21.73563667674219,20.532700179942292,58.942287994778994,-17.568513747206886,-43.30370309732963,-43.95377541480078,0.0,,30.761850202532962,11.460397977349531,56.498046875,-23.813019275665283,-44.31864548630071,0.0,,True
20260724_015229,out_r45,-90.0,45.0,100.0,1.8472934899221443,8.5,20.223111305598206,20.455798489659507,60.493193996223525,-17.639523255352067,-43.18357113821072,-43.88520632610033,0.0,,30.45694577718676,11.369275442455454,56.869140625,-23.87566375732422,-44.32581718492922,0.0,,True
