motion,total_runs,accepted_runs,adopted_lstart_mm,adopted_lend_mm,video_lstart_min_mm,video_lstart_max_mm,video_lend_min_mm,video_lend_max_mm,log_lstart_median_mm,log_lend_median_mm,trajectory_fit_rmse_median_mm,marker_detection_min_pct
long_r90,3,3,18.423663031206427,26.314602176879195,18.211182545361908,18.52623080735932,26.027239870402585,26.553875031493853,22.745645160398897,19.812004698596212,2.7045833476960777,100.0
long_r180,3,3,22.682932408992528,26.334805566862638,22.18393031110037,23.3947181049202,24.73365726765788,26.36819361592869,16.796875,18.65439813213725,6.070726648173928,98.61111111111111
in_r45,3,3,6.459749383359796,39.864937821886755,6.439051747245493,7.603164324591283,39.696550570099326,41.00479335165577,14.449540105361528,32.01574843864853,1.9235420696644876,99.24242424242425
in_r135,3,3,17.434546827834094,20.56396588001916,15.952214988692184,18.58626619427415,19.835889157398707,20.586922077184724,12.893258022824988,6.971395706255043,5.859667455448346,97.9020979020979
out_r45,3,3,21.73563667674219,20.455798489659507,20.223111305598206,22.406694235374864,18.673420918594363,20.532700179942292,30.45694577718676,11.433291350087925,2.051827230965833,100.0
out_r135,3,2,11.129021826255759,36.49911824206991,10.997313548649394,11.260730103862123,36.12793853865285,36.870297945486975,10.774442268873743,18.407971749091494,6.801253960482783,99.3006993006993
r_v90,3,3,6.494759189613021,20.828072583665474,5.861844686888569,7.506770649244632,19.492984608423527,21.875363315056315,13.530219008222575,10.234977244274981,3.0691831769933535,98.49624060150376
