phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,old_trial_omega_mean,old_trial_omega_std,old_trial_alpha_mag_mean,old_trial_alpha_mag_std,old_trial_omega_sq_mean,old_trial_omega_sq_std,old_trial_sp_feedback_mean,old_trial_sp_feedback_std,old_trial_turn_ff_mean,old_trial_turn_ff_std,old_trial_required_turn_voltage_mean,old_trial_required_turn_voltage_std,old_trial_motor_voltage_delta_mean,old_trial_motor_voltage_delta_std,old_trial_speed_error_mean,old_trial_speed_error_std,old_trial_acceleration_mean,old_trial_acceleration_std,current_omega_mean,current_omega_std,current_alpha_mag_mean,current_alpha_mag_std,current_omega_sq_mean,current_omega_sq_std,current_sp_feedback_mean,current_sp_feedback_std,current_turn_ff_mean,current_turn_ff_std,current_required_turn_voltage_mean,current_required_turn_voltage_std,current_motor_voltage_delta_mean,current_motor_voltage_delta_std,current_speed_error_mean,current_speed_error_std,current_acceleration_mean,current_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
0.0,-0.0938720703125,0.0,70.9228515625,0.0,0.008811965584754944,0.0,-0.0067958831787109375,0.01302568218415034,2.3657226562501243e-05,1.7919921875053646e-05,-0.006772225952148436,0.01302494139837102,0.010782877604166666,0.021429473395009502,-0.0021158854166666665,0.00610460059801097,0.03317334249951698,1.0518009479744053,-0.0938720703125,0.0,70.9228515625,0.0,0.008811965584754944,0.0,-0.010394626193576388,0.020904282094495477,-0.006306079101562445,0.0,-0.016700705295138833,0.020904282094495477,0.0184326171875,0.02090093453166978,-0.006022135416666667,0.011400783395898801,0.6566061253561277,1.2451587950683516,-0.0938720703125,0.0,70.9228515625,0.0,0.008811965584754944,0.0,0.0006306966145833334,0.0077846879764574585,-0.011433032226562445,0.0,-0.010802335611979111,0.0077846879764574585,0.0242919921875,0.007781922583256459,8.138020833333333e-05,0.008344547355864967,1.535506052107625,0.6524048645004611,0.0035196940104166665,0.0035196940104166665,0.0035196940104166665
0.5,-0.16524169921875,0.0,89.443359375,0.0,0.027344541549682615,0.0,-0.005886090596516929,0.011702317225747732,2.3657226562501243e-05,1.7919921875053646e-05,-0.0058624333699544276,0.011699477457708253,0.011717936197916666,0.01950321847069396,-0.0016380818684895836,0.00547696528444022,0.15131608774798092,0.8380482355996426,-0.16524169921875,0.0,89.443359375,0.0,0.027344541549682612,3.469446951953614e-18,-0.006562343173556857,0.019740189834175425,-0.008022387695312445,0.0,-0.014584730868869304,0.019740189834175425,0.020639716254340277,0.019778560840499507,-0.003958197699652778,0.011149901647481907,0.5248784734868754,0.9206071482902485,-0.16524169921875,0.0,89.443359375,0.0,0.027344541549682615,0.0,-0.004867884318033854,0.01401667854992477,-0.014377368164062446,0.0,-0.019245252482096298,0.01401667854992477,0.015748291015625,0.014057620376351585,-0.002698160807291667,0.011560653003456762,1.352475039608841,0.6706410388583126,0.0030418904622395836,0.0030418904622395836,0.0030418904622395836
1.0,-0.2552197265624999,5.551115123125783e-17,107.099609375,0.0,0.06525031328201293,0.0,-0.010075893402099608,0.012762807031523436,2.3657226562501243e-05,1.7919921875053646e-05,-0.010052236175537107,0.012754911140357133,0.007495371500651042,0.016537386928462353,-0.0037282307942708335,0.007651393703427461,0.42327762298465205,0.5015176671276271,-0.25521972656249997,0.0,107.099609375,0.0,0.06525031328201293,0.0,-0.016555680168999568,0.01623278269814556,-0.009494555664062446,0.0,-0.026050235833062017,0.01623278269814556,0.009088134765624999,0.016280027588105733,-0.00889431423611111,0.009851613440778582,0.7342464483577805,0.928542350212817,-0.25521972656249997,0.0,107.099609375,0.0,0.06525031328201293,0.0,-0.009999186197916666,0.010931580310579642,-0.017319262695312445,0.0,-0.02731844889322911,0.010931580310579642,0.007862548828125,0.010935742236990027,-0.005209147135416667,0.010543706786976602,0.7120967411494689,0.624449806707338,0.005132039388020833,0.005132039388020833,0.005132039388020833
1.5,-0.36293701171875,0.0,123.773193359375,0.0,0.13194875478744503,2.7755575615628914e-17,-0.011259155273437502,0.012438795055026751,2.3657226562501243e-05,1.7919921875053646e-05,-0.011235498046875,0.012426811759622002,0.006325174967447916,0.013077668729981881,-0.004223836263020833,0.006881381288975267,0.547113900232795,0.6607103661228962,-0.36293701171875,0.0,123.773193359375,0.0,0.13194875478744506,0.0,-0.01628363503350152,0.01877510031164649,-0.010966723632812442,1.734723475976807e-18,-0.027250358666313965,0.01877510031164649,0.0078013102213541664,0.018817503319689986,-0.008565131293402778,0.010722648685626536,0.5611636446597409,0.889695248077871,-0.36293701171875,0.0,123.773193359375,0.0,0.13194875478744506,0.0,-0.010411936442057292,0.00521262486908708,-0.020014575195312443,0.0,-0.03042651163736974,0.005212624869087078,0.0047735595703125,0.005238121101383404,-0.005264078776041667,0.005437774155575974,0.3153226981351859,0.8980799802952156,0.005627644856770833,0.005627644856770833,0.005627644856770833
2.0,-0.48740722656249985,1.1102230246251565e-16,139.6923828125,0.0,0.23794670224189754,2.7755575615628914e-17,-0.010384114583333333,0.010204707329334555,2.3657226562501243e-05,1.7919921875053646e-05,-0.010360457356770832,0.010195053141441429,0.007190043131510418,0.01478582850547056,-0.0036995442708333335,0.00475145007190763,0.40716472112957147,0.880125421546304,-0.48740722656249996,0.0,139.6923828125,0.0,0.23794670224189757,0.0,-0.015601908365885415,0.018877282391657677,-0.012438891601562444,0.0,-0.028040799967447863,0.018877282391657677,0.007079128689236112,0.018882551971002057,-0.008088107638888889,0.009963824778750177,0.14855713586182198,0.8000753581400533,-0.48740722656249996,0.0,139.6923828125,0.0,0.2379467022418976,2.7755575615628914e-17,-0.007170613606770832,0.01122294299673331,-0.022463305664062443,0.0,-0.029633919270833278,0.011222942996733308,0.005493977864583335,0.011318188281005384,-0.0036149088541666667,0.0075946016117561825,0.33197434076340293,1.0252895432482694,0.005103352864583333,0.005103352864583333,0.005103352864583333
2.5,-0.6278686523437499,0.0,154.150390625,0.0,0.39479568600654596,5.551115123125783e-17,-0.010314583778381344,0.01106992677635149,2.3657226562501243e-05,1.7919921875053646e-05,-0.010290926551818843,0.011062206909468658,0.007252883911132814,0.01622811531585431,-0.003585306803385416,0.004116585224139681,0.24948712921735386,1.0495738800082022,-0.6278686523437499,0.0,154.150390625,0.0,0.39479568600654596,5.551115123125783e-17,-0.013769043816460503,0.01822017483812291,-0.013904956054687445,0.0,-0.027673999871147947,0.01822017483812291,0.007578192816840281,0.018243289655305594,-0.007010226779513889,0.009696867214695492,0.15131217523796062,0.9539383268808871,-0.6278686523437499,0.0,154.150390625,0.0,0.39479568600654585,5.551115123125783e-17,-0.010816574096679688,0.015506496679275618,-0.02467155761718744,3.469446951953614e-18,-0.03548813171386713,0.01550649667927562,-0.00046081542968749956,0.015450867921744589,-0.005267333984375001,0.010190869285169046,0.08104112413195134,0.6565530037418654,0.004989115397135416,0.004989115397135416,0.004989115397135416
3.0,-0.7828564453125001,1.1102230246251565e-16,167.8466796875,0.0,0.6136804604530334,0.0,-0.014002704620361328,0.010709458941279627,2.3657226562501243e-05,1.7919921875053646e-05,-0.013979047393798827,0.010698640583081476,0.0035951232910156265,0.013985248628347229,-0.005387980143229166,0.00601461191096254,0.03508762694552937,1.043642205927582,-0.7828564453125,0.0,167.8466796875,0.0,0.6136804604530334,0.0,-0.017138222588433158,0.015142646368365983,-0.015131762695312443,1.734723475976807e-18,-0.032269985283745604,0.015142646368365983,0.0029568142361111106,0.015215863988464792,-0.008485243055555557,0.008066138435629446,0.0947633638063303,0.9655728024667328,-0.7828564453125,0.0,167.8466796875,0.0,0.6136804604530334,0.0,-0.009140930175781251,0.007528467149119399,-0.026872485351562444,0.0,-0.036013415527343696,0.007528467149119397,-0.0010198974609374998,0.00758940972399172,-0.004384765624999999,0.004717406344741684,-0.09926014198473886,0.18351483718082187,0.006791788736979165,0.006791788736979165,0.006791788736979165
3.5,-0.9516015625,1.1102230246251565e-16,180.1318359375,0.0,0.9066360473632814,2.220446049250313e-16,-0.016410444577534995,0.005731850891862654,2.3657226562501243e-05,1.7919921875053646e-05,-0.016386787350972494,0.005726142745278303,0.0011778004964192684,0.01668190478707371,-0.006468607584635417,0.003954922471561465,0.17903479848059756,0.7463082289049623,-0.9516015624999999,0.0,180.1318359375,0.0,0.9066360473632812,0.0,-0.015351426866319443,0.017742135492028178,-0.016350024414062445,0.0,-0.03170145128038189,0.017742135492028178,0.0035261027018229176,0.017763886594601836,-0.007450764973958333,0.008861805836696372,0.1994486949320865,0.886796708777753,-0.9516015624999999,0.0,180.1318359375,0.0,0.9066360473632812,0.0,-0.008707605997721354,0.006834593257641848,-0.02883537597656245,3.469446951953614e-18,-0.037542981974283796,0.006834593257641845,-0.002517191569010416,0.006928145342457961,-0.004080403645833334,0.00532408006947252,0.1311013341042567,0.6871188211112271,0.007872416178385418,0.007872416178385418,0.007872416178385418
4.0,-1.1326953124999997,2.220446049250313e-16,192.7734375,0.0,1.284419898986816,2.220446049250313e-16,-0.009883397420247396,0.0105143901163831,2.3657226562501243e-05,1.7919921875053646e-05,-0.009859740193684895,0.01050464332108794,0.007727864583333335,0.014738925777635897,-0.0031306966145833327,0.004357346765150218,0.2868510070658545,1.0665336896964208,-1.1326953124999999,0.0,192.7734375,0.0,1.2844198989868163,0.0,-0.016829596625434026,0.013601572622444923,-0.017341235351562446,0.0,-0.03417083197699647,0.013601572622444923,0.0008805338541666677,0.01361840347402385,-0.008024088541666665,0.0073063236247003305,0.6386974209239898,1.253801246679957,-1.1326953124999999,0.0,192.7734375,0.0,1.2844198989868163,0.0,-0.009781392415364581,0.006110612940659913,-0.03078850097656245,3.469446951953614e-18,-0.04056989339192703,0.0061106129406599125,-0.005466308593749999,0.006218821002804068,-0.004511718749999999,0.005815219912734474,0.45086911786128986,1.0532338404984067,0.004534505208333333,0.004534505208333333,0.004534505208333333
4.5,-1.3264794921875,2.220446049250313e-16,202.587890625,0.0,1.7613039731979365,0.0,-0.01278354485829671,0.010648658540349278,2.3657226562501243e-05,1.7919921875053646e-05,-0.01275988763173421,0.010638175743774276,0.004784673055013022,0.014249035424502423,-0.004561665852864583,0.004022644497468222,0.3324100521060997,1.0690857780912717,-1.3264794921874998,0.0,202.587890625,0.0,1.7613039731979365,0.0,-0.020825415717230896,0.015120191335393409,-0.018557055664062443,0.0,-0.03938247138129334,0.01512019133539341,-0.004163513183593747,0.015127638161776966,-0.009882405598958331,0.0075879880292573886,0.9641039615404876,1.4002751890201668,-1.3264794921874998,0.0,202.587890625,0.0,1.7613039731979365,0.0,-0.015231221516927088,0.01103781006582955,-0.03249504394531244,0.0,-0.047726265462239535,0.011037810065829552,-0.012521667480468754,0.01112268464869283,-0.0072290039062500025,0.00870730137452349,0.7680598616878055,0.9540878709983821,0.005965474446614583,0.005965474446614583,0.005965474446614583
