phase_pct,alpha_mag_mean,alpha_mag_std,omega2_mean,omega2_std,feedback_mean,feedback_std,turn_ff_mean,turn_ff_std,required_v_mean,required_v_std,motor_v_mean,motor_v_std,speed_error_mean,speed_error_std,speed_delta_mean,speed_delta_std,acceleration_mean,acceleration_std
0.0,748.2198079427084,3.9796164817615716,1.3729482491811116,0.014517501491860018,-0.09372711181640625,0.041611635650071956,-0.0003497500000002596,0.0,-0.09407686181640651,0.041611635650071956,0.4517974853515625,0.7096586517990807,-0.039957682291666664,0.016282347411311092,0.031453450520833336,0.02260023038844229,11.40802556818185,5.015291708266684
0.5,857.439931233724,4.4745692277976135,2.8152257939179735,0.029729165133355426,-0.11129627227783205,0.04069346306442701,-0.0003497500000002596,0.0,-0.11164602227783231,0.04069346306442701,0.434318447113037,0.7027678447261471,-0.04756266276041666,0.014076232680424404,0.03905843098958333,0.023304596004490478,12.723525254042878,5.268941672569079
1.0,965.472412109375,4.967768064275652,4.38977258205414,0.046267303913685394,-0.12848065694173177,0.04378588524004305,-0.0003497500000002596,0.0,-0.12883040694173203,0.04378588524004305,0.4172195434570312,0.6966583394453588,-0.054968261718749994,0.015012281277768099,0.04646402994791667,0.025756021801143007,13.998965579776177,5.598885654241152
1.5,1062.2222900390625,5.342016697927877,7.220877182483672,0.0752353665118714,-0.1420096715291341,0.045082400732898084,-0.0003497500000002596,0.0,-0.14235942152913436,0.045082400732898084,0.40373191833496086,0.6962150524830792,-0.06047973632812501,0.015344931405496155,0.051975504557291684,0.026588800832548297,14.893841984296118,5.747378284105047
2.0,1156.5144856770833,5.728205686950039,10.419861904780072,0.10775030201592703,-0.15668309529622393,0.047837251984713586,-0.0003497500000002596,0.0,-0.1570328452962242,0.047837251984713586,0.3886769612630208,0.6953040643170177,-0.066455078125,0.016536642559156715,0.05795084635416666,0.02809075873148802,15.593514964852872,6.121304000875544
2.5,1240.3615315755208,6.112103248851492,15.182337145010633,0.1551385568214616,-0.1762202580769857,0.05124358010383354,-0.0003497500000002596,0.0,-0.17657000807698595,0.05124358010383354,0.3669608434041341,0.6920218131220748,-0.07440185546875,0.017543511396379392,0.06589762369791667,0.030211840623285434,15.463573393566108,6.518998450814324
3.0,1320.4488118489583,6.4996754731365565,20.644042746225995,0.20962436942925367,-0.1971303304036458,0.05618372056202608,-0.0003497500000002596,0.0,-0.19748008040364606,0.05618372056202608,0.34383157094319666,0.6898277171774808,-0.08298339843750001,0.020000253715495308,0.07447916666666667,0.032872906339800785,15.326439917504416,6.8757141069596495
3.5,1391.1366780598958,6.860860094535218,27.853824249903358,0.28191050253896,-0.2214726765950521,0.05744270540137633,-0.0003497500000002596,0.0,-0.22182242659505236,0.05744270540137633,0.3171694119771322,0.6898163007296031,-0.09315185546874999,0.020214731950189663,0.08464762369791667,0.03362451347328406,15.171326679505446,6.965594122415232
4.0,1456.9173177083333,7.050645239291043,36.16626612345378,0.36469268953957684,-0.24477640787760405,0.06152813110579456,-0.0003497500000002596,0.0,-0.24512615787760447,0.061528131105794547,0.2924418131510417,0.687162478306931,-0.1025553385416667,0.02205157389387974,0.09405110677083335,0.035485069751493875,15.170371078574256,7.000756851310743
4.5,1514.7237141927083,6.981980518065077,46.270531098047904,0.46451124296140567,-0.26639238993326825,0.06874838490387987,-0.0003497500000002596,0.0,-0.2667421399332685,0.06874838490387987,0.2708578745524089,0.6799861742018006,-0.11071573893229164,0.025407470511017792,0.10221150716145833,0.03853555530990892,15.419921637878218,6.917050170330537
5.0,1566.6707356770833,6.903870920305731,57.921896934509284,0.5733555106681891,-0.28824742635091144,0.0792129219777094,-0.0003497500000002596,0.0,-0.2885971763509116,0.07921292197770938,0.2495295206705729,0.6687502200479393,-0.11879475911458333,0.02982797654105368,0.11029052734375,0.04260616778902569,15.616688880238714,7.0098387884911215
5.5,1612.1724446614583,6.852404122862311,71.27507371902468,0.6925209665587931,-0.3103654225667318,0.09387952200791695,-0.0003497500000002596,0.0,-0.31071517256673203,0.09387952200791695,0.22848230997721353,0.6532201351392911,-0.12678426106770832,0.03608602977708863,0.11828002929687499,0.04832662960505289,15.7553944739614,7.263229785909758
