file,turn,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_ripple_rms_mm_s,feedback_rms_v,required_voltage_rms_v,motor_voltage_delta_rms_v,saturation_pct
20260722_021213_myshell_debug_log_long_r180.csv,1,39.6151566386816,124.7539321392969,118.29701157979018,0.40880026533165403,0.6568412866334749,1.0983029977476535,0.0
20260722_021213_myshell_debug_log_long_r180.csv,2,-1.3645153140547193,126.868549869468,126.86121173920498,0.5059923979760806,0.3550149638486655,0.3543459206637579,0.0
20260722_021213_myshell_debug_log_long_r180.csv,3,-1.745909126243774,125.551161115663,125.53902125958314,0.563802523776546,0.4024363072645145,0.40358123468338725,0.0
20260722_021213_myshell_debug_log_long_r180.csv,4,9.738781677549762,111.57047017748152,111.1446172653508,0.4797036802680138,0.3508160930678391,0.351172245106488,0.0
20260722_021213_myshell_debug_log_long_r180.csv,5,2.7821099580223883,124.19365940084869,124.16249393257,0.501994348929834,0.39187780326129146,0.40349296367073095,0.0
20260722_021213_myshell_debug_log_long_r180.csv,6,1.9391567552860696,130.32235055577755,130.30792272713657,0.5574634804759996,0.38350467328666155,0.38300535001867286,0.0
20260722_021321_myshell_debug_log_long_r180.csv,1,44.00895911069652,113.92229302731648,105.07854379746041,0.3870077413686094,0.6392464449580183,1.0560215948346678,0.0
20260722_021321_myshell_debug_log_long_r180.csv,2,-4.562028723569654,146.12282561013103,146.05159382291615,0.5940940808979892,0.3730663208826056,0.3712198158078881,0.0
20260722_021321_myshell_debug_log_long_r180.csv,3,1.561163907027358,160.60651556213114,160.59892779301006,0.6577665017300065,0.46843053377006216,0.4718116879414808,0.0
20260722_021321_myshell_debug_log_long_r180.csv,4,-5.121608753109442,145.55442880816355,145.46429413932074,0.637657299380327,0.4033811319823745,0.38978507581444644,0.0
20260722_021321_myshell_debug_log_long_r180.csv,5,5.783946478544787,125.98070407297345,125.84785958392555,0.5406635062648771,0.4130109223323164,0.4149537816554949,0.0
20260722_021321_myshell_debug_log_long_r180.csv,6,1.2241040889303518,126.90125516954778,126.89535110785638,0.5827530156040482,0.38061092356924636,0.3789537867194578,0.0
