file,turn,speed_error_mean_mm_s,speed_error_rms_mm_s,speed_ripple_rms_mm_s,feedback_rms_v,required_voltage_rms_v,motor_voltage_delta_rms_v,saturation_pct
20260722_024321_myshell_debug_log_long_r180.csv,1,7.334907493781094,52.05721873716947,51.537880774311844,0.11142069356259678,0.23555613037238954,0.8127343457511794,0.0
20260722_024321_myshell_debug_log_long_r180.csv,2,13.292424595771138,51.09051078190599,49.33104235997644,0.12470824683239409,0.23935889185792605,0.28752877374536634,0.0
20260722_024321_myshell_debug_log_long_r180.csv,3,13.0234569340796,45.620829115275676,43.72241551711615,0.12713933746228168,0.23951095190203292,0.2877603445767906,0.0
20260722_024321_myshell_debug_log_long_r180.csv,4,11.67453746890547,44.035157119301395,42.45939516065534,0.11271999079654857,0.22531080075989418,0.27770773611151806,0.0
20260722_024321_myshell_debug_log_long_r180.csv,5,14.873872823383078,52.72174155990963,50.58013385059127,0.13981113723553118,0.25633148849955417,0.3081315983025857,0.0
20260722_030137_myshell_debug_log_long_r180.csv,1,9.482664800995021,55.24966288522331,54.42981092381997,0.11862840072292283,0.23898991105680883,0.8175508179005435,0.0
20260722_030137_myshell_debug_log_long_r180.csv,2,13.72308379975124,49.39936136047326,47.45496679850934,0.12393307273905116,0.23574238851565318,0.2843513774060804,0.0
20260722_030137_myshell_debug_log_long_r180.csv,3,19.07304298818408,49.36115281887889,45.52738119834698,0.15001020894100192,0.26035800053001285,0.3078250971941044,0.0
20260722_030137_myshell_debug_log_long_r180.csv,4,10.890615282960196,46.870925776870756,45.58813641661042,0.12127631200762662,0.23660689762336506,0.2851443081197627,0.0
20260722_030137_myshell_debug_log_long_r180.csv,5,13.19389381218905,46.9292659901643,45.03639830679483,0.12867497998416777,0.24236512030766033,0.27830153109179334,0.0
20260722_030218_myshell_debug_log_long_r180.csv,1,7.698373367537307,49.04517946700817,48.4372240786467,0.10245075029829825,0.22596905477968202,0.8203013896799655,0.0
20260722_030218_myshell_debug_log_long_r180.csv,2,7.187499999999998,47.914237341833676,47.37208021397802,0.11548627842153644,0.22997363962377892,0.27873545032006325,0.0
20260722_030218_myshell_debug_log_long_r180.csv,3,9.467749144900495,51.05372442502789,50.1681622525275,0.12322775278381394,0.24169511629267781,0.28606690054830447,0.0
20260722_030218_myshell_debug_log_long_r180.csv,4,6.425441153606959,47.525764429062036,47.089404228002635,0.10925928413435852,0.22550965637011117,0.2648725062228448,0.0
20260722_030218_myshell_debug_log_long_r180.csv,5,15.838289023631837,45.82134665307716,42.997027919443084,0.12413194065615116,0.23702484763813797,0.28639822414967764,0.0
