phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,current_omega_mean,current_omega_std,current_alpha_mag_mean,current_alpha_mag_std,current_omega_sq_mean,current_omega_sq_std,current_sp_feedback_mean,current_sp_feedback_std,current_turn_ff_mean,current_turn_ff_std,current_required_turn_voltage_mean,current_required_turn_voltage_std,current_motor_voltage_delta_mean,current_motor_voltage_delta_std,current_speed_error_mean,current_speed_error_std,current_acceleration_mean,current_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
0.0,0.12176513671875,0.0,147.52197265625,0.0,0.01482674852013588,0.0,-0.007510850826899211,0.015459380481308222,2.4593098958284692e-05,0.00011580677578784806,-0.007486257727940926,0.015456034344735243,-0.001361846923828125,0.020321614394820164,0.0037740071614583335,0.006286514100251709,0.304096876972858,0.9502960060853796,0.12176513671875,0.0,147.52197265625,0.0,0.01482674852013588,0.0,0.004047393798828125,0.016195209522254606,-0.01900356445312501,0.0,-0.014956170654296885,0.016195209522254606,0.0218505859375,0.01609130285231416,0.00946044921875,0.007624021545542828,0.0240441524621271,1.0120406632371037,0.0054931640625,0.0054931640625,0.0054931640625
0.5,0.21316729227701806,0.028177933072745482,180.3087615966797,10.107682239995999,0.05056976674900698,0.011019044018376487,-0.008032798307637375,0.015202669504636411,2.4593098958284692e-05,0.00011580677578784806,-0.00800820520867909,0.015205664991777978,-0.002622866630554196,0.02255547321082204,0.0034949747721354156,0.006200594200968311,0.38889472208564174,0.9046720033205372,0.22576812744140623,0.0,184.82879638671875,0.0,0.05549735164269805,0.0,0.006507487297058106,0.02044767218934161,-0.02382290039062501,0.0,-0.017315413093566902,0.020447672189341605,0.019494705200195313,0.020398150836688958,0.0105792236328125,0.009353295175276869,0.6077045716327991,0.6743949477015833,0.005772196451822916,0.005772196451822916,0.005772196451822916
1.0,0.3226495869954428,0.0644411463945507,211.78176879882812,19.62785798032718,0.11721267328597601,0.03585645318741319,-0.00871117485066255,0.01481274318160547,2.4593098958284692e-05,0.00011580677578784806,-0.008686581751704265,0.01481659827402264,-0.010021645228068034,0.025640105942219788,0.003132527669270833,0.006034219844753294,0.4883022945614499,0.8476625286667543,0.35146728515625,0.0,220.55908203125,0.0,0.1332478207349777,0.0,0.009586544036865234,0.021716782039866763,-0.02844204101562501,0.0,-0.018855496978759774,0.021716782039866763,0.017977142333984376,0.021646701317631706,0.011973266601562501,0.009715315566897588,1.034131172375806,0.6074945342221086,0.0061346435546874994,0.0061346435546874994,0.0061346435546874994
1.5,0.44984352111816395,0.1086249826032584,242.00533548990884,28.58930284101631,0.22032285464461876,0.07700241612213021,-0.009617119381825126,0.015364199294999582,2.4593098958284692e-05,0.00011580677578784806,-0.009592526282866842,0.01536522637316821,-0.022549122174580882,0.03311359146610796,0.002652740478515625,0.006503837385686525,0.5921700691750736,0.8615127228383829,0.49842041015625,0.0,254.7900390625,0.0,0.25475901961326597,0.0,0.012484283447265626,0.020064343880546103,-0.03286098632812501,0.0,-0.020376702880859382,0.0200643438805461,0.012161712646484378,0.01746032251224689,0.01324951171875,0.00859107591466251,1.2928690165628685,0.6185224527235881,0.006614430745442709,0.006614430745442709,0.006614430745442709
2.0,0.6011646525065099,0.1635985648786601,270.66843668619794,36.852934999768955,0.3964618423519038,0.1508077424412882,-0.011113142768541973,0.013473045344973688,2.4593098958284692e-05,0.00011580677578784806,-0.011088549669583688,0.013474485591086221,-0.038732064565022796,0.030102498706002657,0.0018788655598958332,0.00584244685665059,0.6649901205565274,0.9271051859622146,0.674326171875,0.0,287.1484375,0.0,0.46390478610992436,0.0,0.01216693878173828,0.020642633191659477,-0.03699184570312501,0.0,-0.02482490692138673,0.020642633191659477,-0.0187982177734375,0.005391719903875324,0.0129052734375,0.008756795696541725,1.2717051828379913,0.5750157234686835,0.0073883056640625,0.0073883056640625,0.0073883056640625
2.5,0.772566350301107,0.22755231878733417,296.981684366862,44.065761356728636,0.666902679662841,0.2667861268697629,-0.01074106755355994,0.01321964644045237,2.4593098958284692e-05,0.00011580677578784806,-0.010716474454601653,0.013216181054574163,-0.04429727395375572,0.026457482700538087,0.002060953776041666,0.005338572728834268,0.7158098613558223,0.9337312410420862,0.87432861328125,0.0,316.68701171875,0.0,0.7862127721309662,0.0,0.00814056396484375,0.022358614597860586,-0.04073818359375001,0.0,-0.03259761962890626,0.022358614597860586,-0.03998889923095703,0.012173623341615857,0.01073455810546875,0.00982189311623761,1.278401977254511,0.4554884015933122,0.007206217447916667,0.007206217447916667,0.007206217447916667
3.0,0.9599875895182296,0.2950067757920229,321.5476481119792,50.76319269991619,1.0261315215130649,0.41620606479147704,-0.011014271676540373,0.014153414156550165,2.4593098958284692e-05,0.00011580677578784806,-0.010989678577582089,0.014143091586639126,-0.04710326512654623,0.023879782203837744,0.0019191487630208332,0.0054808914607335345,0.7914347970958109,0.91826178546116,1.0919140625,0.0,344.248046875,0.0,1.2122627639770507,0.0,0.0033378028869628907,0.02395924094784321,-0.04429653320312501,0.0,-0.040958730316162116,0.023959240947843203,-0.05431007385253906,0.023911308061806802,0.00817626953125,0.010627863021398938,1.4634843306107932,0.3403734647272667,0.007348022460937499,0.007348022460937499,0.007348022460937499
3.5,1.1637816365559892,0.36889159285858286,344.35007731119794,56.73696050066035,1.4976943625261379,0.6143429792080259,-0.013953081816434858,0.015152578857208816,2.4593098958284692e-05,0.00011580677578784806,-0.013928488717476574,0.015134791674449968,-0.050832452774047826,0.023638809731689355,0.00042490641276041733,0.006156150234900491,0.9359554773907242,0.956611362605515,1.3287499999999999,0.0,369.7216796875,0.0,1.7724352645874022,0.0,-0.0004420948028564433,0.02340452545958435,-0.04773891601562501,0.0,-0.048181010818481446,0.02340452545958435,-0.06136157989501952,0.02340788767265864,0.006110839843750001,0.009696843156322793,1.9972442413543545,0.38121230090134195,0.008842264811197915,0.008842264811197915,0.008842264811197915
4.0,1.386846516927082,0.45139443401460094,366.11083984375,62.24493149533219,2.1553325412670774,0.895695242609418,-0.015808263619740807,0.016149175335636822,2.4593098958284692e-05,0.00011580677578784806,-0.01578367052078252,0.016128755184795788,-0.05346138000488282,0.023646062883937186,-0.0005094401041666664,0.006360143133454841,1.2107186365609233,0.9808685664979666,1.5887109375,0.0,393.9453125,0.0,2.5558981704711914,0.0,-0.0032063674926757816,0.021933213803820874,-0.05071254882812501,0.0,-0.05391891632080079,0.021933213803820874,-0.06705078125,0.021852452169670827,0.00463134765625,0.008847188368798574,2.5723885489510576,0.20548627949500953,0.009776611328125004,0.009776611328125004,0.009776611328125004
4.5,1.6216952514648435,0.5391671328050064,385.80047607421875,66.82676364729201,2.9529740832994364,1.2396590138218884,-0.01808843550582727,0.016649250300151193,2.4593098958284692e-05,0.00011580677578784806,-0.018063842406868983,0.01663676166864079,-0.056522099177042644,0.024578525708036036,-0.0016448720296223945,0.006659555202920053,1.5062746523699266,1.0343889569170357,1.8628125,0.0,415.68359375,0.0,3.5073651123046874,0.0,-0.003083343505859375,0.02444968282586474,-0.053385888671875006,0.0,-0.056469232177734384,0.02444968282586474,-0.06966415405273438,0.024362772228068905,0.004622192382812499,0.010102230729218781,2.7113032841182383,0.17950050388060362,0.01091204325358073,0.01091204325358073,0.01091204325358073
5.0,1.8679372151692697,0.6320349999527627,403.2765706380208,70.41879076459199,3.896547282487156,1.6488854709854974,-0.02078466390570004,0.015788153820597024,2.4593098958284692e-05,0.00011580677578784806,-0.02076007080674176,0.0157917207906662,-0.06000808080037436,0.025555833492935987,-0.002978769938151042,0.006540233120635604,1.8105516530046553,1.1129583867989878,2.1505859375,0.0,434.765625,0.0,4.633950042724608,0.0,-0.0010638236999511602,0.030211272721142657,-0.05577114257812501,0.0,-0.056834966278076174,0.030211272721142657,-0.07018890380859374,0.0301655003014929,0.005578613281250006,0.012951038859833001,2.3995957452378525,0.10918158631384553,0.012245941162109373,0.012245941162109373,0.012245941162109373
5.5,2.1300653076171883,0.7294363337733688,418.558349609375,73.19535465248087,5.099280082682766,2.1662142478901507,-0.021436410024762154,0.016560824973889974,2.4593098958284692e-05,0.00011580677578784806,-0.021411816925803868,0.016547435837093893,-0.06179763476053873,0.023795140375727008,-0.003294703165690103,0.006849984035798117,2.117266710543691,1.1850767031016936,2.45626953125,0.0,451.2890625,0.0,6.068035964965819,0.0,-0.012258291244506829,0.023807792973073668,-0.05783657226562501,0.0,-0.07009486351013183,0.023807792973073668,-0.08350662231445312,0.02373431371369134,-0.0001013183593749974,0.00970020914110377,2.205259594328202,0.36523625826168005,0.012561874389648437,0.012561874389648437,0.012561874389648437
6.0,2.4017911783854156,0.8294767201265527,432.3030598958333,75.3919705900592,6.502052225669225,2.768013212357579,-0.023770085374514267,0.015348761629569729,2.4593098958284692e-05,0.00011580677578784806,-0.023745492275555984,0.015325737302001064,-0.06492931365966796,0.02123082032809515,-0.0044376627604166665,0.006255533894397295,2.3179685745298584,1.2335676687124066,2.7727343749999998,0.0,466.015625,0.0,7.739941101074218,0.0,-0.016443257331848146,0.02621836730184791,-0.05967739257812501,0.0,-0.07612064990997315,0.026218367301847907,-0.08946838378906251,0.026137352187029703,-0.0021875000000000006,0.010610612777394635,2.305232405940416,0.48135462948442137,0.013704833984375,0.013704833984375,0.013704833984375
6.5,2.680987752278647,0.9328580855191105,444.981689453125,77.1119291397212,8.086544911563395,3.4510802176219992,-0.02751339447995027,0.015909734795742474,2.4593098958284692e-05,0.00011580677578784806,-0.02748880138099198,0.015887306692344314,-0.06946709632873536,0.020794968726096437,-0.006271031697591147,0.006788349634003378,2.466260173474537,1.3326915711893335,3.0981640625,0.0,479.462890625,0.0,9.629910888671875,0.0,-0.018468700647354126,0.030187672295861216,-0.06131801757812501,0.0,-0.07978671822547914,0.03018767229586122,-0.09303298950195313,0.030113523372248187,-0.0031552124023437505,0.01232053832870388,2.6120290333852405,0.6865660274836379,0.015538202921549478,0.015538202921549478,0.015538202921549478
7.0,2.968973388671874,1.040170001127505,456.7814127604167,78.43894098063473,9.920310516158734,4.245625506534569,-0.03268314257264137,0.018650400486699897,2.4593098958284692e-05,0.00011580677578784806,-0.03265854947368308,0.01863916283218257,-0.07546743392944336,0.023025077069377363,-0.008793792724609376,0.008213368248196028,2.6285119638391237,1.4388480846383123,3.434140625,0.0,491.85546875,0.0,11.819008178710936,0.0,-0.02564475774765014,0.0228372702466599,-0.062694970703125,0.0,-0.08833972845077515,0.022837270246659908,-0.10157440185546875,0.02278494752393955,-0.006726684570312497,0.008419056333131327,3.0826986530721925,0.783704601093791,0.018060963948567706,0.018060963948567706,0.018060963948567706
7.5,3.2653818766276044,1.1512486970267175,465.7735188802083,78.51061145998209,12.038795190552868,5.167501067583196,-0.03693805312116941,0.020043100667702186,2.4593098958284692e-05,0.00011580677578784806,-0.036913460022211124,0.02002122625836221,-0.08055383364359536,0.02222894659275308,-0.010866165161132812,0.008944223283847077,2.824928414108418,1.4736036802074282,3.780224609375,0.0,500.87890625,0.0,14.349768352508544,0.0,-0.024470758438110356,0.02398940949512163,-0.06379116210937501,0.0,-0.08826192054748536,0.02398940949512163,-0.10135955810546875,0.023905535374428927,-0.0060516357421875,0.009020482462919336,3.291667591441761,0.639107192503642,0.020133336385091145,0.020133336385091145,0.020133336385091145
8.0,3.567117513020833,1.2628708810696831,472.68310546875,77.86476224965918,14.363388621807106,6.1728874403947955,-0.041038884917895,0.021820060821376646,2.4593098958284692e-05,0.00011580677578784806,-0.04101429181893672,0.021791659329286762,-0.08491002400716147,0.02269889354078744,-0.012846679687499996,0.009896245378984094,3.0017623367843203,1.4993780930385792,4.131875,0.0,507.5,0.0,17.12397918701172,0.0,-0.02522315979003906,0.029065097135621686,-0.064618798828125,0.0,-0.08984195861816408,0.029065097135621682,-0.102882080078125,0.02891489041557008,-0.006313476562499999,0.011525747293998754,3.2409326513330425,0.6982200824370429,0.022113850911458333,0.022113850911458333,0.022113850911458333
8.5,3.873711140950523,1.3747610022177827,477.4346923828125,76.47788560822153,16.901534785330306,7.264852075986959,-0.04524602654079595,0.02300973155729035,2.4593098958284692e-05,0.00011580677578784806,-0.045221433441837676,0.02298372817662772,-0.08915164947509763,0.023958270542042217,-0.014855728149414065,0.010498967831620978,3.1346276201012633,1.5076062293885777,4.4885058593750005,0.0,511.630859375,0.0,20.150465679168704,0.0,-0.0317650318145752,0.03676391299096301,-0.06513515625,0.0,-0.0969001880645752,0.03676391299096301,-0.11004653930664063,0.0365530475635014,-0.00945465087890625,0.015157339715003795,2.885811545632113,1.115920651096905,0.024122899373372402,0.024122899373372402,0.024122899373372402
9.0,4.18375040690104,1.4879846934894174,483.3003743489583,75.6138873068903,19.768042265375446,8.50269702054999,-0.049597587088743844,0.02314618668725861,2.4593098958284692e-05,0.00011580677578784806,-0.04957299398978555,0.023114611323792153,-0.09345855712890623,0.023425424600698175,-0.016910756429036455,0.010459596792167207,3.198046028475114,1.5325889533876402,4.8491796874999995,0.0,517.109375,0.0,23.57055465698242,0.0,-0.041481924057006826,0.033263903826027515,-0.06531459960937501,0.0,-0.10679652366638183,0.033263903826027515,-0.119969482421875,0.03308888836551976,-0.014280395507812495,0.013181987565709248,3.009703309385942,0.8926719057500562,0.02617792765299479,0.02617792765299479,0.02617792765299479
9.5,4.496434529622401,1.6023912039980708,486.6188557942708,73.61113369430167,22.842477115492006,9.833530065253255,-0.0541000022490819,0.023979802294559614,2.4593098958284692e-05,0.00011580677578784806,-0.054075409150123634,0.023948586816014295,-0.0979378890991211,0.024171067251725957,-0.019036712646484363,0.010996855950533818,3.1877187211659965,1.5839059158550683,5.213027343749999,0.0,519.53125,0.0,27.24015647888183,0.0,-0.0483453893661499,0.03451627700578208,-0.06539028320312501,0.0,-0.11373567256927491,0.03451627700578208,-0.1269146728515625,0.03438385945994706,-0.01757568359375,0.013776279094671549,3.17390566383488,0.5957116002510591,0.028303883870442702,0.028303883870442702,0.028303883870442702
