phase_pct,baseline_omega_mean,baseline_omega_std,baseline_alpha_mag_mean,baseline_alpha_mag_std,baseline_omega_sq_mean,baseline_omega_sq_std,baseline_sp_feedback_mean,baseline_sp_feedback_std,baseline_turn_ff_mean,baseline_turn_ff_std,baseline_required_turn_voltage_mean,baseline_required_turn_voltage_std,baseline_motor_voltage_delta_mean,baseline_motor_voltage_delta_std,baseline_speed_error_mean,baseline_speed_error_std,baseline_acceleration_mean,baseline_acceleration_std,trial_omega_mean,trial_omega_std,trial_alpha_mag_mean,trial_alpha_mag_std,trial_omega_sq_mean,trial_omega_sq_std,trial_sp_feedback_mean,trial_sp_feedback_std,trial_turn_ff_mean,trial_turn_ff_std,trial_required_turn_voltage_mean,trial_required_turn_voltage_std,trial_motor_voltage_delta_mean,trial_motor_voltage_delta_std,trial_speed_error_mean,trial_speed_error_std,trial_acceleration_mean,trial_acceleration_std,predicted_speed_error_unconstrained,predicted_speed_error_constrained,predicted_speed_error_conservative
0.0,-0.051849365234375,0.0,63.262939453125,0.0,0.002688356675207615,0.0,-0.0008977254231770834,0.01599301242306796,6.40869140625111e-05,0.0,-0.0008336385091145723,0.01599301242306796,0.034464518229166664,0.015916905695932886,0.001708984375,0.009552733177008716,0.4648061899038547,0.764613323090033,-0.051849365234375,0.0,63.262939453125,0.0,0.002688356675207615,0.0,-0.023801167805989582,0.012944881382229793,-0.007015991210937489,0.0,-0.03081715901692707,0.012944881382229793,0.004679361979166667,0.01296393359930154,-0.012532552083333334,0.004487732968412186,0.7907064181478286,0.8565208373972684,0.0006510416666666666,0.0006510416666666666,0.0006510416666666666
0.5,-0.11163284301757813,0.0,85.49789428710938,0.0,0.012669905959628523,0.0,-0.0072062810262044285,0.010624022710097275,6.40869140625111e-05,0.0,-0.007142194112141917,0.010624022710097275,0.02815836588541666,0.010585620487497938,-0.001444091796875,0.006816200318819139,0.28800697593422697,1.1151001278237778,-0.11163284301757813,0.0,85.49789428710938,0.0,0.012669905959628523,0.0,-0.026677869160970053,0.011610844751883745,-0.009323120117187488,1.734723475976807e-18,-0.03600098927815754,0.011610844751883745,-0.0006270345052083338,0.01167005601466225,-0.013763020833333334,0.0033391933043254956,0.5564530616410583,0.9421057223571917,0.003804117838541667,0.003804117838541667,0.003804117838541667
1.0,-0.192357177734375,0.0,106.673583984375,0.0,0.03773874983191491,0.0,-0.012541580200195315,0.00826196531873527,6.40869140625111e-05,0.0,-0.012477493286132804,0.00826196531873527,0.022793782552083332,0.00822205069862593,-0.0040901692708333335,0.005158920495628893,0.21140880332774178,1.274021263626739,-0.192357177734375,0.0,106.673583984375,0.0,0.03773874983191491,0.0,-0.02156707763671875,0.011133555292702806,-0.01163024902343749,0.0,-0.03319732666015624,0.011133555292702806,0.0021604410807291668,0.011175893279151939,-0.010973714192708333,0.004555590012159659,0.027674487513352348,0.8516506685245754,0.0064501953125,0.0064501953125,0.0064501953125
1.5,-0.29302856445312503,0.0,126.866455078125,0.0,0.08750657707452775,0.0,-0.008590062459309895,0.00919951499314524,6.40869140625111e-05,0.0,-0.008525975545247384,0.00919951499314524,0.02677988688151042,0.009199235173813904,-0.002016194661458333,0.00738485148921206,0.5541427837570421,1.095292429976582,-0.29302856445312503,0.0,126.866455078125,0.0,0.08750657707452775,0.0,-0.025926208496093752,0.008827104400475402,-0.01393737792968749,0.0,-0.03986358642578124,0.008827104400475402,-0.0044050089518229175,0.00885865256152549,-0.012930501302083333,0.0028164625216603252,-0.06993172978281235,0.6999313427004774,0.004376220703124999,0.004376220703124999,0.004376220703124999
2.0,-0.41272460937500005,0.0,145.986328125,0.0,0.1732582235336304,0.0,-0.012196706136067709,0.011404083895460767,6.40869140625111e-05,0.0,-0.012132619222005198,0.011404083895460767,0.023127237955729168,0.011384260053205884,-0.0037679036458333343,0.008135373104433076,0.7797011202772984,0.7673538282746192,-0.41272460937500005,0.0,145.986328125,0.0,0.1732582235336304,0.0,-0.022988891601562495,0.004215380874528153,-0.016054077148437488,0.0,-0.03904296874999999,0.004215380874528152,-0.003580118815104166,0.004241546417130952,-0.011165364583333332,0.0023858234441820735,0.07140022520881743,0.7755572788731931,0.006127929687500001,0.006127929687500001,0.006127929687500001
2.5,-0.550439453125,0.0,163.8427734375,0.0,0.3074929237365722,0.0,-0.013931210835774739,0.007542366371379299,6.40869140625111e-05,0.0,-0.013867123921712228,0.007542366371379299,0.02139053344726562,0.0075551633105391544,-0.0045715332031249995,0.006199577707347535,0.6947918279095062,0.43115119346781383,-0.550439453125,0.0,163.8427734375,0.0,0.3074929237365722,0.0,-0.024003283182779948,0.0066829222364557465,-0.017953491210937488,0.0,-0.04195677439371744,0.006682922236455749,-0.006559244791666668,0.006679680899721521,-0.011482747395833333,0.002962378613908753,0.28028866072079667,0.9395228671243557,0.0069315592447916664,0.0069315592447916664,0.0069315592447916664
3.0,-0.704990234375,1.1102230246251565e-16,180.72265625,0.0,0.5033219814300538,0.0,-0.012152379353841143,0.006912023257062321,6.40869140625111e-05,0.0,-0.012088292439778632,0.006912023257062321,0.023189595540364583,0.0069555681327644215,-0.0035754394531249995,0.005702198380046152,0.5536950977624828,0.8354331280898923,-0.704990234375,1.1102230246251565e-16,180.72265625,0.0,0.5033219814300538,0.0,-0.026730244954427083,0.008102231200491304,-0.01979919433593749,0.0,-0.04652943929036457,0.008102231200491306,-0.011209513346354167,0.008082141643053148,-0.012631429036458334,0.003861202506581511,0.6617453455832386,0.7878205978289465,0.005783370148587358,0.00583139168331954,0.005883428589055603
3.5,-0.8754541015625001,0.0,196.1328125,0.0,0.7746575212478639,0.0,-0.012040608723958334,0.007768890440047698,6.40869140625111e-05,0.0,-0.011976521809895823,0.007768890440047698,0.02331517537434896,0.007739522360676885,-0.0034771728515625,0.005333145209219422,0.5131650508237451,0.8218612084423237,-0.8754541015625001,0.0,196.1328125,0.0,0.7746575212478639,0.0,-0.028751386006673176,0.008276453853537964,-0.02164489746093749,0.0,-0.050396283467610666,0.008276453853537964,-0.015023447672526044,0.008317706673889346,-0.013396199544270834,0.004104000845212121,0.88075911989486,0.42050806745714847,0.0054812279215817414,0.005593622241882543,0.0057154105675558545
4.0,-1.06046875,0.0,210.3515625,0.0,1.1346628570556643,0.0,-0.016766662597656256,0.009195034574888154,6.40869140625111e-05,0.0,-0.016702575683593745,0.009195034574888154,0.01858235677083333,0.009133823795271372,-0.005794270833333336,0.005666555740168313,0.5565818187888477,0.759679727859282,-1.06046875,0.0,210.3515625,0.0,1.1346628570556643,0.0,-0.03152750651041667,0.009707623563246918,-0.02335388183593749,0.0,-0.05488138834635415,0.009707623563246918,-0.019497070312500003,0.009756622437351993,-0.014519856770833334,0.0037446573840857005,0.8458059410207893,0.25099575065493945,0.0075458051575175355,0.00773793780465024,0.007946117339825122
4.5,-1.2588964843750003,2.220446049250313e-16,223.701171875,0.0,1.5965694046020509,0.0,-0.019832890828450522,0.010557096525065868,6.40869140625111e-05,0.0,-0.01976880391438801,0.010557096525065868,0.015494893391927084,0.01052263568291518,-0.007220662434895834,0.006297855407232044,0.7854738509645705,0.9018118524348802,-1.2588964843750003,2.220446049250313e-16,223.701171875,0.0,1.5965694046020509,0.0,-0.034401588439941407,0.008856763776473639,-0.024968872070312485,3.469446951953614e-18,-0.05937046051025389,0.008856763776473639,-0.024033050537109375,0.008883291009188757,-0.015690714518229166,0.003345168734959511,0.8698652692793378,0.4110810129116265,0.008673962114201522,0.00896027992540034,0.00927048420098142
