run,front_marker,detection_rate_pct,marker_separation_mean_mm,marker_separation_std_mm,turn_fit_rmse_mm,video_heading_deg,log_heading_deg,heading_abs_error_deg,video_turn_radius_mm,log_turn_radius_mm
20260723_230706,blue,90.60,51.20,7.60,4.88,-136.96,-135.64,1.31,37.37,39.99
20260724_003314,red,97.97,54.65,1.19,4.75,-136.49,-135.73,0.76,36.66,40.79
