frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,162.351806640625,225.54457092285156,107.84435272216797,224.87088012695312,135.1331329345703,225.20474243164062,0.012420225416311772,54.413414001464844,0.20693676757812499,0,False
1,0.03332888948140248,True,162.3936538696289,225.5513687133789,107.84976959228516,224.86790466308594,135.1416473388672,225.21189880371094,0.012455441872707758,54.50458335876465,0.2703272760025211,0,False
2,0.06665777896280496,True,162.4355010986328,225.55816650390625,107.85518646240234,224.869140625,135.15016174316406,225.21905517578125,0.012490658329103744,54.413414001464844,0.3337177844269172,0,False
3,0.09998666844420744,True,162.4355010986328,225.55816650390625,107.85518646240234,224.86492919921875,135.13636779785156,225.21905517578125,0.012787201247322131,54.413414001464844,0.3337177844269172,0,False
4,0.13331555792560992,True,162.4355010986328,225.55816650390625,107.8642578125,224.85914611816406,135.13636779785156,225.21905517578125,0.012787201247322131,54.360069274902344,0.3337177844269172,0,False
5,0.1666444474070124,True,162.25828552246094,225.64492797851562,107.88829803466797,224.84963989257812,135.13636779785156,225.2059783935547,0.014567364694293218,54.337852478027344,1.1281172386092917,0,False
6,0.19997333688841487,True,162.19863891601562,225.5528106689453,107.88829803466797,224.78802490234375,135.0314483642578,225.1944580078125,0.014718041991030426,54.24826431274414,1.1281172386092917,0,False
7,0.23330222636981734,True,162.12510681152344,225.5528106689453,107.8642578125,224.709716796875,135.00669860839844,225.1944580078125,0.014718041991030426,54.246864318847656,1.616677513275806,0,False
8,0.26663111585121985,True,161.7569122314453,225.71670532226562,107.83267974853516,224.709716796875,134.7947998046875,225.1944580078125,0.01925537846736107,53.93007278442383,1.6646191716111165,0,False
9,0.2999600053326223,True,161.7569122314453,225.8153533935547,107.80464172363281,224.709716796875,134.7806396484375,225.268310546875,0.020202009852305684,53.93007278442383,1.6646191716111165,0,False
10,0.3332888948140248,True,161.7569122314453,225.8153533935547,107.80464172363281,224.709716796875,134.7806396484375,225.268310546875,0.020202009852305684,53.93007278442383,1.6646191716111165,0,False
11,0.36661778429542724,True,161.7691192626953,225.8153533935547,107.80464172363281,224.709716796875,134.7806396484375,225.268310546875,0.020202009852305684,53.88079071044922,1.1281172386092917,0,False
12,0.39994667377682974,True,161.814697265625,225.65965270996094,107.81930541992188,224.709716796875,134.8424072265625,225.17613220214844,0.01787691008725512,53.95270538330078,0.9849157714625659,0,False
