frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,True,133.26150512695312,74.99760437011719,132.87025451660156,21.5034236907959,133.06503295898438,48.246551513671875,1.5634836494518494,53.503536224365234,2.5036323141069454,0,False
1,0.033760972316002696,True,133.25680541992188,74.96380996704102,132.8612289428711,21.49946117401123,133.0556411743164,48.23240661621094,1.5632878779643027,53.47197341918945,2.5031330781791583,0,False
2,0.06752194463200539,True,133.2530059814453,74.93001556396484,132.87025451660156,21.495498657226562,133.06503295898438,48.21826171875,1.5634836494518494,53.49037170410156,2.5026338422513708,0,False
3,0.1012829169480081,True,133.25502014160156,74.7830810546875,132.87025451660156,21.344253540039062,133.06588745117188,48.06366729736328,1.5634836494518494,53.49037170410156,2.078839440540773,0,False
4,0.13504388926401079,True,133.25502014160156,74.69184112548828,132.8815155029297,21.2027587890625,133.0672607421875,47.94729995727539,1.563851273907921,53.49037170410156,2.0336467401562155,0,False
5,0.1688048615800135,True,133.25502014160156,74.6482925415039,132.8815155029297,21.09207534790039,133.08544921875,47.87018585205078,1.563851273907921,53.55707931518555,2.5026338422513708,0,False
6,0.2025658338960162,True,133.26202392578125,74.63021850585938,132.94332885742188,20.956893920898438,133.10267639160156,47.78207015991211,1.563851273907921,53.59618377685547,2.5026338422513708,0,False
7,0.2363268062120189,True,133.2965850830078,74.61065673828125,132.94332885742188,20.93391990661621,133.10317993164062,47.759849548339844,1.563659712001598,53.647640228271484,2.5026338422513708,0,False
8,0.27008777852802157,True,133.34375,74.55171203613281,132.94332885742188,20.909046173095703,133.15249633789062,47.754302978515625,1.5629334756936868,53.647640228271484,2.5026338422513708,0,False
9,0.3038487508440243,True,133.42625427246094,74.47955322265625,132.9612579345703,20.834646224975586,133.19427490234375,47.657100677490234,1.562502353931191,53.59618377685547,2.5026338422513708,0,False
10,0.337609723160027,True,133.46517944335938,74.371337890625,132.9819793701172,20.80657386779785,133.20411682128906,47.58895492553711,1.5611685950680116,53.56660842895508,2.565366164027289,0,False
11,0.3713706954760297,True,133.51010131835938,74.27191925048828,132.9916534423828,20.74587059020996,133.25242614746094,47.50889587402344,1.5606964689152432,53.528526306152344,2.565366164027289,0,False
12,0.4051316677920324,True,133.56784057617188,74.09580993652344,132.9947509765625,20.662931442260742,133.27980041503906,47.379371643066406,1.5611685950680116,53.528526306152344,2.565366164027289,0,False
13,0.4388926401080351,True,133.5679473876953,74.05239868164062,133.0577850341797,20.563615798950195,133.3358154296875,47.308006286621094,1.5611685950680116,53.528526306152344,2.959239047175997,0,False
14,0.4726536124240378,True,133.61383056640625,73.96237182617188,133.1099395751953,20.368223190307617,133.33889770507812,47.16529846191406,1.5618374368163512,53.53572463989258,3.221316244025067,0,False
15,0.5064145847400405,True,133.61770629882812,73.91932678222656,133.13809204101562,20.315521240234375,133.37789916992188,47.112674713134766,1.5618374368163512,53.56204605102539,3.255875554724091,0,False
16,0.5401755570560431,True,133.63229370117188,73.8490982055664,133.1649627685547,20.306020736694336,133.39862060546875,47.08230972290039,1.5618374368163512,53.56204605102539,3.255875554724091,0,False
17,0.5739365293720459,True,133.72354125976562,73.80391693115234,133.1649627685547,20.244211196899414,133.47332763671875,47.02406311035156,1.5614535307025783,53.55503463745117,3.255875554724091,0,False
18,0.6076975016880486,True,133.75790405273438,73.65032958984375,133.20162963867188,20.105655670166016,133.47976684570312,46.87799072265625,1.5614535307025783,53.54756164550781,3.255875554724091,0,False
19,0.6414584740040513,True,133.84906005859375,73.52977752685547,133.22312927246094,19.979347229003906,133.49789428710938,46.75456237792969,1.5614535307025783,53.55503463745117,3.8652158932111735,0,False
20,0.675219446320054,True,133.88063049316406,73.47553253173828,133.4483642578125,19.941389083862305,133.66448974609375,46.69362258911133,1.5627174338384178,53.55503463745117,3.8652158932111735,0,False
21,0.7089804186360567,True,133.9680633544922,73.44585418701172,133.57296752929688,19.85770034790039,133.7705078125,46.66661834716797,1.5627174338384178,53.57480239868164,3.8652158932111735,0,False
22,0.7427413909520594,True,134.0488739013672,73.38749694824219,133.6290740966797,19.813674926757812,133.85052490234375,46.6005859375,1.562904831868615,53.619285583496094,3.8652158932111735,0,False
23,0.7765023632680621,True,134.0719757080078,73.2431869506836,133.67410278320312,19.555150985717773,133.8802032470703,46.399169921875,1.5630919472120204,53.619285583496094,3.245525521689722,0,False
24,0.8102633355840648,True,134.0863037109375,73.11399841308594,133.67410278320312,19.429580688476562,133.88687133789062,46.25044631958008,1.562904831868615,53.57480239868164,3.080511966080254,0,False
25,0.8440243079000674,True,134.0989532470703,72.93067932128906,133.67410278320312,19.386892318725586,133.886962890625,46.18013000488281,1.562904831868615,53.502689361572266,2.476336847134513,0,False
26,0.8777852802160702,True,134.10635375976562,72.8818359375,133.67495727539062,19.382875442504883,133.88970947265625,46.132354736328125,1.56295144675477,53.50071716308594,2.0878633240590063,0,False
27,0.9115462525320729,True,134.126953125,72.8230209350586,133.7082977294922,19.365283966064453,133.91815185546875,46.08782958984375,1.5630919472120204,53.50071716308594,1.74944136897146,0,False
28,0.9453072248480756,True,134.12799072265625,72.81037139892578,133.7952423095703,19.325151443481445,133.96685791015625,46.0740852355957,1.5634995019861349,53.499515533447266,1.74944136897146,0,False
29,0.9790681971640783,True,134.1384735107422,72.77227020263672,133.81387329101562,19.162933349609375,133.9704132080078,45.9568977355957,1.56437428692064,53.499515533447266,1.74944136897146,0,False
30,1.012829169480081,True,134.20101928710938,72.64535522460938,133.81387329101562,19.162933349609375,133.98834228515625,45.90826416015625,1.56437428692064,53.48384475708008,2.0878633240590063,0,False
31,1.0465901417960837,True,134.22586059570312,72.64535522460938,133.83560180664062,19.162933349609375,134.03073120117188,45.90826416015625,1.5634995019861349,53.48384475708008,2.476336847134513,0,False
32,1.0803511141120863,True,134.24725341796875,72.64535522460938,133.84246826171875,19.19913101196289,134.04486083984375,45.90826416015625,1.5631988948751814,53.41995620727539,5.059139230271712,0,False
33,1.1141120864280891,True,134.2568817138672,72.8766860961914,133.84918212890625,19.6215877532959,134.05303955078125,46.24913787841797,1.5631988948751814,53.32289505004883,10.110851070852549,0,False
34,1.1478730587440917,True,134.2568817138672,73.23001098632812,133.84918212890625,19.951826095581055,134.05303955078125,46.590919494628906,1.5631988948751814,53.279720306396484,14.605494283849891,0,False
35,1.1816340310600946,True,134.29647827148438,73.89391326904297,133.94369506835938,20.572185516357422,134.12008666992188,47.23304748535156,1.5641802985704523,53.256656646728516,23.26632800606097,0,False
36,1.2153950033760972,True,134.37942504882812,74.73029327392578,134.10438537597656,21.560523986816406,134.28012084960938,48.145408630371094,1.5641802985704523,53.279720306396484,29.723713093777064,0,False
